SynergyID,Name,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7
S10001,마스코트,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10002,수호대,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10003,선봉장,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10004,마법사,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10005,책사,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10006,사냥꾼,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10007,그림자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10008,추격자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10009,싸움꾼,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10010,저격수,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10011,방해꾼,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10012,숭고한 영혼,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10013,전설의 궁수,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10014,여제,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10015,시간의 신전,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10016,엘나스,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10017,빅토리아아일랜드,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10018,슬리피우드,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10019,루디브리엄,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10020,아케인 리버,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10021,오르비스,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10022,시그너스,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10023,모험가,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10024,전직교관,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10025,기사단장,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10026,예티와 페페,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10027,발록,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10028,악마의 나무,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10029,악몽의 지배자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10030,시계탑의 근원,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
S10031,아랫마을,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
S10032,마가티아,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
S10033,미우미우,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
S10034,처형자,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
S10035,결투가,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
S10036,판타스틱테마파크,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
S10037,분노,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
S10038,여우신의 가호,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
S10039,보물찾기,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
