CoachID,Name,LocalNameID,Cost,Scale,OffsetX,OffsetY,ShadowSize,HowToObtain,Desc,LocalDescID,format,Tags,ProfileRUID,IdleRUID,MoveRUID,LoveRUID,AngryRUID,SadRUID,SleepRUID,InteractionRUID_1,InteractionRUID_2,InteractionRUID_3,InteractionRUID_4,InteractionRUID_5
COP10001,빨간달팽이,Coach_COP10001_Name,1,1.5,0.02,0,2_medium,,4골드를 추가로 들고 게임을 시작합니다.,Coach_Desc1,4,,1112c86251ec4192936c4d3b0662196c,791308a26d594d3f97d785f59336d219,48bebe02ca7b490abb99f961a8931f84,9890df1fb10d464daf3f5a49d9b3696c,763517e8afcf416b9c41893c5e8801c2,3980735003d8422db819258c65c80f4c,1333102b40da4f3aa2d0ee84607f0355,13f6cc3beae84d388646d66cf8e893fe,8ae6627c0c9e4852b89324c3c162e83d,1d17b9fcf2444e6a8c67b5490dcb1c6a,f1f5e82e912f415690e9d94802d52b14,68ef2089106446779fa610f8e1089ddf
COP10002,아기백호,Coach_COP10002_Name,1,1.5,0.1,0,2_medium,,재료 아이템 '카알 대검'을 가진 상태로 게임을 시작합니다.,Coach_Desc2,Item_MI10001_Name,,00cd5a16b6b446d78e074353b85b2ac5,496833d983524321807ee19566242a00,6d404ce4509f40f7a522dbcb464a08e3,84eb259cc91c44a5ac58f0e4a83ff915,8f60dbd7b514479788f8c2f77c78784d,8504e4a09d0243e7801aba42ff4c4287,b40ac7502cc04e9ab04a6fc5b4bc2221,717280c8b9484b33a2ccfa63510ad233,e62d8c22b1e943aa84a2b6969ac4e5dd,8f60dbd7b514479788f8c2f77c78784d,07cf5572cce74e96a66057252d76361e,
COP10003,알바트로스,Coach_COP10003_Name,1,1.5,0,0,1_small,,재료 아이템 '워보우'를 가진 상태로 게임을 시작합니다.,Coach_Desc2,Item_MI10002_Name,,05d01bff01324ef88ea28046dab2a656,a9e79639eb2f47dc82fc57f5b60d5d98,af7d1f4c686c4773a1e432a15bca522b,a34498f36e83409cad81289ce714bbd4,f24c0ab0fab541468e7042e1c78f6350,228d093b567a4048ae8de7dcdc673943,b2a998dfe6b64a8b9e391a86a404ffee,f24c0ab0fab541468e7042e1c78f6350,a0aec946f9ff48b4827546c0319a3ac3,9a9500623ca64c6fa4060371d404b32c,736554fd331145c5b78738078d5ed835,189a39aae49b4d2cb81bfa9228e96e24
COP10004,디노보이,Coach_COP10004_Name,1,1.5,0.06,0,2_medium,,재료 아이템 '나무 방패'를 가진 상태로 게임을 시작합니다.,Coach_Desc2,Item_MI10003_Name,,0eb7649c98034192b9b3bfea9afffc21,3725fdbd6eb84191afe6683fdd6f51bd,617bb82b2b644b6e92078628f0382283,fca9b3ae72b549f9b0d81e348625393a,fca9b3ae72b549f9b0d81e348625393a,1cc28720f6f34e068c0f04c72869d572,f483057cad4249aa909312241e99b4db,6e38230a900c4b34baf2bd2a65510fb3,80eb2af215a84f11aa56432e12f5a1fb,,,
COP10005,디노걸,Coach_COP10005_Name,1,1.5,0.06,0,2_medium,,[마법사 모자]를 가진 상태로 시작,Coach_Desc2,Item_MI10004_Name,,135b7a2427764c6696efd79c5e84d58e,6a0a4d788a2a47e7a36a3569f074be10,a7e2d6b75288418fbd3f7c0e6065f6b5,c5ce38c88b9a498795fade37c2d6c450,c5ce38c88b9a498795fade37c2d6c450,8ef1e248f1634e0e941e7c7d9366d792,e83410f74b1d43fb9fccb5c2b57d239b,7f54e195975c43d79a56389322f3f60c,96359c223d1549cd9b6d2b748e82b98b,,,
COP10006,칠면조,Coach_COP10006_Name,1,1.5,0.01,0,1_small,,[지팡이]를 가진 상태로 시작,Coach_Desc2,Item_MI10005_Name,,4c2a45be2b144d6e9c6c37d2f2152abe,1bbd870419e64237bf3a4a5a1c7330ff,b4376a956a0f43b4a66283259e245989,84290a9166104003bded1ff4d670973e,71e08a44907d447da4ed41a0b086056e,71e08a44907d447da4ed41a0b086056e,2dc88c77438d4aedb5722ff292b7bcb0,9351cc522f1d48d6a32c1a15d4de4ac6,41bdb5bb4ae24731a4aaa7dbfd7a64f2,3f743230994d4ce692bf6517abb70f98,000655a3548c47b293e41b615b862a43,0fd7d4492f1e4d6087412cfbd17edbac
COP10007,갈색강아지,Coach_COP10007_Name,1,1.5,0.01,0,2_medium,,[허름한 망토]를 가진 상태로 시작,Coach_Desc2,Item_MI10006_Name,,14248b1df94e4f86a0ac8d9031354c3d,604560fccc244f4a9fd65a0b485e2c10,fefcffdd98274b81bfbf2b66029a2de9,d1e23d891b0d4ca383ac59243f2932f0,7a736ade1f4b4ce5856e14e70b044533,19d3643c673e447d9cdec07ee0284546,dc60b1ec8f9942988bd43548cd0ee5f2,7a736ade1f4b4ce5856e14e70b044533,25be7845be114a08bb87163791f8d84f,,,
COP10008,사막여우,Coach_COP10008_Name,1,1.5,0,0,2_medium,,[노가다 목장갑]을 가진 상태로 시작,Coach_Desc2,Item_MI10007_Name,,0a78dcfc0d9f4c1bb08e1ecd27f9eee5,118c837e3fb34291a0684513d59d0f2f,2f783f80ac97434f82d6830b9a66db9f,7958057fae1d4fb49caa698ad68d137c,48c92b9999c646bb9424e77ec831878d,4f21aa4711804cff9eb5c53bc02c28c9,0663158c0c8a4b8db182d915e13ac115,3e7f9aa628ec4ce1bea72fdea850ac05,48c92b9999c646bb9424e77ec831878d,b5625198b55440e7807051858216836a,b863fe33ceff4dc9b254ac79e4f1f0e5,
COP10009,고슴도치,Coach_COP10009_Name,1,1.5,0,0,2_medium,,[추 귀고리]를 가진 상태로 시작,Coach_Desc2,Item_MI10008_Name,,0306eb8d80234c55bf0bc2be31c55393,c0f86415b1b641ea8040944d310c91c8,3f78e66d03234299a484edcb98d44ddd,0fb35a2955494c78b4b9a071ff9fd487,d6950837064d4e6db1ce953b2c8468d1,3075d133cec845acba5afc09e8fcdd90,bee5c74d5e8248569c131b25888c6cf9,4238d0df0698426090ef97c79bb03bac,b17f273723b940c2b3ff3c109eaa4fc1,d6950837064d4e6db1ce953b2c8468d1,db98cdbb9e664a35ad90e178b6b1a8ce,
COP10010,팬더,Coach_COP10010_Name,1,1.5,0.01,0,2_medium,,[카르마의 가위]를 가진 상태로 게임 시작,Coach_Desc3,Item_CI0001_Name,,0760853b2ee04e89bc02f8053d7bcc12,f91fbd1694984031814cf6d785e715dd,e6efc582a5ea496bb40ee0e503964726,18248fd26e0f4dd19ff70f6c7389af43,9ad604b20be24992ae8461bbf8747bee,a09106bde17e4c2490f3ece0ce11df8e,a09106bde17e4c2490f3ece0ce11df8e,2238b8fb416641dca7a0e3bb2b0b927b,9ad604b20be24992ae8461bbf8747bee,15524140dc7a4cb09298c7213f4704d8,,
COP10011,갈색고양이,Coach_COP10011_Name,1,1.5,0.07,0,2_medium,,"전투 시작 시,  모든 아군의 공격력 +5%",Coach_Desc4,"Status_PhysicalAttack,5",,a92ef7dd16d44f64bd7aa2cea37249ce,554c33f3e79e49e6ae4b2bb90370622f,dc35c40c75f94eb69ab6329f4226e660,918f48752f45437f8a666f1acc89e8ec,a7ba4e31794040a8ac0df59b518fc5b3,a7ba4e31794040a8ac0df59b518fc5b3,918f48752f45437f8a666f1acc89e8ec,918f48752f45437f8a666f1acc89e8ec,a7ba4e31794040a8ac0df59b518fc5b3,,,
COP10012,검은색고양이,Coach_COP10012_Name,1,1.5,0.07,0,2_medium,,"전투 시작 시,  모든 아군의 마력 +5%",Coach_Desc4,"Status_MagicalAttack,5",,5ffed2bc77e24570a2c449ac77cada8b,7a2a3975158b408b8cf5f8fd1dc936ae,6334e1be7706458da0b48d8927179217,ad994c4406f54abe84e9c73a950cbf59,5bdf3df08bf94d719d1dc775ba7f312d,5bdf3df08bf94d719d1dc775ba7f312d,c8995be2cc2a48ae9b21291bc126ecb0,3f36e289516c4acf9314d1b1013ddd4a,,,,
COP10013,주니어 산초,Coach_COP10013_Name,1,1.5,0,0,1_small,,"전투 시작 시,  모든 아군의 흡혈 + 5%",Coach_Desc4,"Status_BloodAbsorptionPercent,5",,14b9f5c1dc59450986550793bfb02f62,ab27c855984341aa919879080e5afd6c,cc12640094ed4d13a6506c68b4b41a1d,42a50442afb748f69a4ae0fc9e2cb72d,43d9eaba126041528f17658d1ae9a62f,7872e77b367147939fcf37edaa6071da,3259b2ac10aa4305b0cadd05764cb741,43d9eaba126041528f17658d1ae9a62f,70841e0c93b54178b7a429059029fff4,,,
COP10014,병아리,Coach_COP10014_Name,1,2,0,0,1_small,,"전투 시작 시,  모든 아군의 최대 체력이 70 증가합니다. ",Coach_Desc9,"Status_MaxHP,70",,2299703be96d481baa8eb07d442c4b12,d383999fd7304fc9ae6865c51608e80b,f561128d31f14e59b2e8222c0f06f1f6,4f8e94f6b6ef4651ae9ae114d5a1b0bc,bf3dfd65cd5046eeaa3eda289d8b0f03,32c46226f2c64930a34c0da324589664,99fdbd0b816f401f888ea7d88c40c1be,3a3330c9ae8048b886d0541055d83f94,71b2185a3b5d40029bb22d6f69e2d741,7863468c465944d6aac8d657ac734335,d54c71f5d0c94cb886ef99b3ab03239e,9e68b52ff0674753b4b201e2cbcdcfad
COP20001,미니 꼬꼬,Coach_COP20001_Name,2,2,0.01,0,1_small,,매 스테이지마다 코인 +4,Coach_Desc5,4,,008c0e282022477591905a7c999f05d1,f2b16f2551f24b7aa8ecd897f0be0f61,06f23b5b24824366928c2173dd9852f2,3bc7906867594b64bff251662abfff56,b1f3830bd2e94b47b8529a8c3f745c4c,64baf1281d144148acb0f91c7f315005,5f948bbf4be74cde8dd6fb7be3b26581,b1f3830bd2e94b47b8529a8c3f745c4c,a343f4e149df431fabf8a296fe89e57e,803547d173f344f6861bed55a328f368,5615bb450a4745b287cc4ce3310fca17,cc8acf1df19f479889c7b157d764712c
COP20002,미니 미요,Coach_COP20002_Name,2,1.5,0,0,1_medium,,매 스테이지마다 현재 활성화된 시너지를 가진 유닛들 중 무작위로 유닛을 1기 소환합니다.,Coach_Desc6,1,,00cc2b0a64e44086b1dda3ff04a82936,75f7c950ebbd4cfcb74d6e19f2c07e79,3cfa33ddbdca4ebb9dfb17a9ad66782a,ded170c3e6ca4d4c8d09ef430642f698,90e99387c19b490a9c6573a3d5994713,638a310cc5364f86998a6af213c920bc,dda302259c544ea0a8644441960879ec,93731b58c8ca438ca99ba32d5189ed40,be0a06806e9449828d671255c72a1aec,e2abdb5d04844a38a6bcc4eda2e0145b,543c4a9c49b44697a68d0cb0efd46c8a,41206fc028fa4f68adbe76429c9aa66f
COP20003,루돌프,Coach_COP20003_Name,2,1.5,0.07,0,1_medium,,매 스테이지마다 무작위 재료 아이템 획득,Coach_Desc7,,,01bdbaff3c3e4c8c8b0c60d4630bd679,038f7fc63f4341ebb40a844786f0ff55,2509c1edfd734852b02bdf9ff30ba319,94f38e1cec19451b904c6ce23a34c9be,b1ae30d55c3f485eaccd6d6a26fcbc24,b08b407182f0454cbaadb2d3ce9d8529,b1ae30d55c3f485eaccd6d6a26fcbc24,637eda3de80c4d3195ede4bc90322ba1,6a622bb20d064a57a5393b890d54ba70,390d7bd1269d4a008723bb2ae9c6a82f,36408a36d12b437fa42a826ef783b78d,
COP20004,미니 마르,Coach_COP20004_Name,2,1.5,0,0,1_medium,,매 라운드마다 캐릭터 상점 무료 새로고침 +1,Coach_Desc8,1,,026d57e04471488d92fd42168f95df39,d09bffa961a84a6c986b5fcf0c9685e8,99c91cbd210b46e5bb2df508c09a3b6a,f6ea1a6d8229458e84a82c42171f3b68,b598aa355ace44f9acb7c00bba0c6f4f,49118860ed004ae58f84006956a6733d,8907493be12046678fd79fb1a1a57bf6,3887430a9c064407a507bfa6554231ca,b598aa355ace44f9acb7c00bba0c6f4f,dcb743327463406ca6471faf4b13dc23,2bddb93744e94faeac1166159deec95c,0430298fbd4d447d8ad9298a888d5656
COP20005,핑키 드래곤,Coach_COP20005_Name,2,1.5,0,0,1_small,,"전투 시작 시,  모든 아군의 공격력 +15%",Coach_Desc4,"Status_PhysicalAttack,15",,0482fcf1839247eb9efe06f63c17e25c,46329e8d8ae440668d832767c7305305,8b824ff371974cbaaa84b7819db670e3,c36e1d74ba414fc69810431ef4cec3ec,7f1cbfd928234b5194e5aa94a88d7bc2,0b92c1479a264f08a32aacd32d87f85e,e8e946420c28413d921ed2ae47b9fe78,7f1cbfd928234b5194e5aa94a88d7bc2,1078945565984f438454d03171018f03,fc69e0f67d944340a3e8180ae4dc900a,f45c79a47d80460fa0ad6497529f6abe,
COP20006,아이스드래곤,Coach_COP20006_Name,2,1.5,0,0,1_small,,"전투 시작 시,  모든 아군의 마력 +15%",Coach_Desc4,"Status_MagicalAttack,15",,08fa56e1fd9d45b28337495089f27423,8b9997faaaf44efaac647da1fae4eb78,409d813357ab4003910340645da9d248,546d418ed1ec4dafabf3f1fdf8840270,7c209e90feeb49b2ab163d172c5f51b0,bb88b824c67049c3a29fbd4060b1b39f,8a035f178a574374abfa01bb63dddfb8,8965e0df8a9a4d2f8fd84038b830d23a,7c209e90feeb49b2ab163d172c5f51b0,789f36f5085b4295bfd283714520385b,3fc0ede1a59d4ebdbc6b9f9efc5ff68f,
COP20007,레드 드래곤,Coach_COP20007_Name,2,1.5,0,0,1_small,,"전투 시작 시,  모든 아군의 공격속도 +15%",Coach_Desc4,"Status_AttackSpeed,15",,035e4fa3f1b74fd6aafd3f653c696e28,db3f9b67eed542648de521dee8558fae,2bc828f15a0f416daffdcd307c46e87d,1fd3be6829c64489866d3bca70608464,3a3f2ac98165479b8142520d65d7c6d5,1d57545695cd4341b2e3aa45351b1f0f,5b755cb682dd474b80eb1f2e8ba42d85,95eab5b7aab049bfbd274d169421b717,c3767eb0b33b4273b328a5520bf21c21,4ccf31df36bd4a41816c7f7d3508db40,47d22650186c47cfbc087f02886ebb19,
COP20008,핑크곰돌이,Coach_COP20008_Name,2,1.5,0.01,0,1_small,,"전투 시작 시,  모든 아군의 물리 방어력 +25",Coach_Desc9,"Status_Defence,25",,008dedd7be3448e18b1b0f15da6f6464,cc3dc47eef524c0f8f4c61e63feb29b4,c3b7eb0f8dab43f0b917e25b5905a437,658392061b4f48cdaa1b1ad2d6e54244,692c8938d3764b6085787b100281a23b,013a0f061d114c90b48eb1fdf116afe6,d423b8d235964c30840850ec7a1cf89c,2ce24b7db46d4387a2b284ea2b7a07c8,bd6e2f4700894965a2f176bfdf318a66,b20e12ba9c42457e94960b6fc30b9d4b,692c8938d3764b6085787b100281a23b,
COP20009,하늘곰돌이,Coach_COP20009_Name,2,1.5,0.01,0,1_small,,"전투 시작 시,  모든 아군의 마법 방어력 +25",Coach_Desc9,"Status_MagicalResistance,25",,68ef60b350ab4f2c80cccfc400dede21,043057ceef814b5ba2d2f9d9c4e14e9b,92a0d7438e4445239099a21b88ae254a,42401fc40b9f457aa54fea0555ecda1f,4dbe496ede6748a8bac780f59e9058ec,c6e798084d2348fca266fb30137094d6,05a53bcae0a744a9b00e69fb7899bff2,f5f9b4d0e6ac455391cc99aac00110fb,4dbe496ede6748a8bac780f59e9058ec,cc9a8352255c4609911247aefd8e3ddc,1d4200a969214040b5eba74813269d00,
COP20010,베이지곰돌이,Coach_COP20010_Name,2,1.5,0.01,0,1_small,,"전투 시작 시,  모든 아군의 크리티컬 확률 +25%",Coach_Desc4,"Status_CriticalPercent,25",,35c26db8d7cb42d99065ed4aeb10ec4f,d92c2ac312ac4258ac99d72412c0cc82,112e6902154f48239320450f3974acf4,ec6ab4669fd843ef882e1d7d234e8c83,32911c7370cd46fda8aab7cb7d9c97c9,e8f669ef988d4ca48396f8560a9dcfc6,b727d8403012467bb0a31ca713a96639,c96e5969dca349929ab51e9d7fd5841d,32911c7370cd46fda8aab7cb7d9c97c9,0fd872626eb04feba800521bbb315160,c45e9cb697d94c8cbfd38b0d0a893e68,
COP20011,쿠키 와와,Coach_COP20011_Name,2,1.5,0.02,0,2_medium,,"전투 시작 시,  모든 아군의 최대 체력 200 증가",Coach_Desc9,"Status_MaxHP,200",,02c3b7fa5c5740d3ba4d3d0e7caecefc,e4aaf985e8bd425fbd68cc18c2673cd6,3113c724466f49e084b8137a53f23aaa,5e9bad003ae04547a00cbe756a02568d,9f2f0566cb38499093497c3f9d514b46,6318d73570ca4c46b783dc7029d38849,8a22aa554d7c40199dd0cb62e3e37564,1f6460225b5749f2a554372e47d600e0,263165bb0f524463ab6ea4ec14ccd445,ab945d3a9b8844bfbdb0a321ab69ba67,b559119d6b7f46b39e57c96750cc8464,
