ItemID,Type,Probability,Cost
IB00001,ItemBox,40,12
IB00002,ItemBox,30,13
IB00003,ItemBox,20,14
IB00004,ItemBox,10,15
CI0001,Consumable,31,4
CI0003,Consumable,18,10
CI0004,Consumable,9,16
CI0005,Consumable,3,28
CI0006,Consumable,20,5
CI0007,Consumable,5,7
CI0008,Consumable,10,12
IB00005,Consumable,4,15
MI10001,Equippable,Material,6
MI10002,Equippable,Material,6
MI10003,Equippable,Material,6
MI10004,Equippable,Material,6
MI10005,Equippable,Material,6
MI10006,Equippable,Material,6
MI10007,Equippable,Material,6
MI10008,Equippable,Material,6
NI10001,Equippable,Normal,10
NI10002,Equippable,Normal,10
NI10003,Equippable,Normal,10
NI10004,Equippable,Normal,10
NI10005,Equippable,Normal,10
NI10006,Equippable,Normal,10
NI10007,Equippable,Normal,10
NI10008,Equippable,Normal,10
NI10009,Equippable,Normal,10
NI10010,Equippable,Normal,10
NI10011,Equippable,Normal,10
NI10012,Equippable,Normal,10
NI10013,Equippable,Normal,10
NI10014,Equippable,Normal,10
NI10015,Equippable,Normal,10
NI10016,Equippable,Normal,10
NI10017,Equippable,Normal,10
NI10018,Equippable,Normal,10
NI10019,Equippable,Normal,10
NI10020,Equippable,Normal,10
NI10021,Equippable,Normal,10
NI10022,Equippable,Normal,10
NI10023,Equippable,Normal,10
NI10024,Equippable,Normal,10
NI10025,Equippable,Normal,10
NI10026,Equippable,Normal,10
NI10027,Equippable,Normal,10
NI10028,Equippable,Normal,10
NI10029,Equippable,Normal,10
NI10030,Equippable,Normal,10
NI10031,Equippable,Normal,10
NI10032,Equippable,Normal,10
NI10033,Equippable,Normal,10
NI10034,Equippable,Normal,10
NI10035,Equippable,Normal,10
NI10036,Equippable,Normal,10
EI10001,Equippable,Emblem,11
EI10002,Equippable,Emblem,11
EI10003,Equippable,Emblem,11
EI10004,Equippable,Emblem,11
EI10005,Equippable,Emblem,11
EI10006,Equippable,Emblem,11
EI10008,Equippable,Emblem,11
EI10009,Equippable,Emblem,11
EI10010,Equippable,Emblem,11
EI10011,Equippable,Emblem,11
EI10015,Equippable,Emblem,11
EI10016,Equippable,Emblem,11
EI10017,Equippable,Emblem,11
EI10018,Equippable,Emblem,11
EI10019,Equippable,Emblem,11
EI10021,Equippable,Emblem,11
EI10022,Equippable,Emblem,11
EI10023,Equippable,Emblem,11
EI10025,Equippable,Emblem,11
