Stage,Key,Monster1_ID,Monster2_ID,Monster3_ID,Monster4_ID,Monster1_Tile,Monster2_Tile,Monster3_Tile,Monster4_Tile
1-2,RoundType_Monster1,C90001,C90001,,,"4,3","4,5",,
1-3,RoundType_Monster2,C90001,C90001,C90002,,"4,3","4,5","2,3",
1-4,RoundType_Monster3,C90001,C90001,C90002,C90002,"4,3","4,5","2,3","2,5"
3-4,RoundType_Monster4,C90003,,,,"2,4",,,
5-4,RoundType_Monster5,C90004,C90005,,,"3,2","3,6",,
7-4,RoundType_Monster6,C90006,,,,"2,4",,,
9-4,RoundType_Monster7,C90007,,,,"2,4",,,
11-4,RoundType_Monster7,C90007,,,,"2,4",,,
13-4,RoundType_Monster7,C90007,,,,"2,4",,,
15-4,RoundType_Monster7,C90007,,,,"2,4",,,
17-4,RoundType_Monster8,C90008,,,,4.4,,,
