PresetID,UnitCount,CharID_1,CharID_2,CharID_3,CharID_4,CharID_5,CharID_6,CharID_7,CharID_8,CharID_9,CharID_10,CharID_11,CharID_12,NeedSynergy,UseRuneType,Explain
PR20001,2,C10001,C10002,,,,,,,,,,,S10001_Rune,Battle/Synergy_S10001_Normal,3 마스코트
PR20002,2,C10001,C10004,,,,,,,,,,,S10001_Rune,Battle/Synergy_S10001_Normal,3 마스코트
PR20003,2,C10001,C20002,,,,,,,,,,,S10001_Rune,Battle/Synergy_S10001_Normal,3 마스코트
PR20004,2,C10002,C10004,,,,,,,,,,,S10001_Rune,Battle/Synergy_S10001_Normal,3 마스코트
PR20005,2,C10002,C20002,,,,,,,,,,,S10001_Rune,Battle/Synergy_S10001_Normal,3 마스코트
PR20006,2,C10004,C20002,,,,,,,,,,,S10001_Rune,Battle/Synergy_S10001_Normal,3 마스코트
PR20007,2,C10005,C20003,,,,,,,,,,,S10002_Rune,Battle/Synergy_S10002_Normal,3 수호대
PR20008,2,C10005,C20004,,,,,,,,,,,S10002_Rune,Battle/Synergy_S10002_Normal/Synergy_S10024_Normal,"3 수호대, 1 전직교관"
PR20009,2,C20003,C20004,,,,,,,,,,,S10002_Rune,Battle/Synergy_S10002_Normal/Synergy_S10024_Normal,"3 수호대, 1 전직교관"
PR20010,2,C10003,C10006,,,,,,,,,,,-,Battle/Synergy_S10003_Normal,2 선봉장
PR20011,2,C10007,C20005,,,,,,,,,,,S10004_Rune,Battle/Synergy_S10004_Normal,3 마법사
PR20012,2,C10007,C20006,,,,,,,,,,,S10004_Rune,Battle/Synergy_S10004_Normal,3 마법사
PR20013,2,C20005,C20006,,,,,,,,,,,S10004_Rune,Battle/Synergy_S10004_Normal,3 마법사
PR20014,2,C10009,C10010,,,,,,,,,,,-,Battle/Synergy_S10006_Normal,2 사냥꾼
PR20015,2,C10011,C20008,,,,,,,,,,,-,Battle/Synergy_S10008_Normal,2 추격자
PR20016,2,C20001,C20009,,,,,,,,,,,S10009_Rune,Battle/Synergy_S10009_Normal,3 싸움꾼
PR20017,2,C20001,C20010,,,,,,,,,,,S10009_Rune,Battle/Synergy_S10009_Normal,3 싸움꾼
PR20018,2,C20009,C20010,,,,,,,,,,,S10009_Rune,Battle/Synergy_S10009_Normal,3 싸움꾼
PR20019,2,C10012,C20011,,,,,,,,,,,-,Battle/Synergy_S10010_Normal,2 저격수
PR20020,2,C10013,C20012,,,,,,,,,,,S10011_Rune,Battle/Synergy_S10011_Normal,3 방해꾼
PR20021,2,C10013,C20013,,,,,,,,,,,S10011_Rune,Battle/Synergy_S10011_Normal,3 방해꾼
PR20022,2,C20012,C20013,,,,,,,,,,,S10011_Rune,Battle/Synergy_S10011_Normal,"3 방해꾼, 2 아케인리버"
PR20023,2,C10003,C10008,,,,,,,,,,,S10015_Rune,Battle/Synergy_S10015_Normal,"3 시간의 신전, 1 책사"
PR20024,2,C10003,C20003,,,,,,,,,,,S10015_Rune,Battle/Synergy_S10015_Normal,3 시간의 신전
PR20025,2,C10003,C20005,,,,,,,,,,,S10015_Rune,Battle/Synergy_S10015_Normal,3 시간의 신전
PR20026,2,C10008,C20003,,,,,,,,,,,S10015_Rune,Battle/Synergy_S10015_Normal,"3 시간의 신전, 1 책사"
PR20027,2,C10008,C20005,,,,,,,,,,,S10015_Rune,Battle/Synergy_S10015_Normal,"3 시간의 신전, 1 책사"
PR20028,2,C20003,C20005,,,,,,,,,,,S10015_Rune,Battle/Synergy_S10015_Normal,3 시간의 신전
PR20029,2,C10011,C20002,,,,,,,,,,,-,Battle/Synergy_S10016_Normal,2 엘나스
PR20030,2,C10011,C20009,,,,,,,,,,,-,Battle/Synergy_S10016_Normal,2 엘나스
PR20031,2,C20002,C20009,,,,,,,,,,,-,Battle/Synergy_S10016_Normal,2 엘나스
