Level,Tier,Tier_Grade,IconRUID,BigIconRUID,PresetLevel,AddPenalty,EnemyLevel
1,Iron,-,ea216e4763e14908aa4f115fdf356a43,908a0bc79bd44d669a209a71005b9fc3,1,-,4
2,Bronze,1,5d82d481408246eaab4fb99728cef653,388ebc04c2ff4f2eaec200ecf0fd46a3,1,1,4
3,Bronze,2,e4ce09471d51478984cce4177dc9c836,188610a95ba346fcb9314674a95fd914,1,2,4
4,Bronze,3,a9d9e58215bd4e5988840c828aa40380,ba306fd75c924ad89bf563995a498039,1,3,4
5,Silver,1,dc911541c7d049c68864663889a7f2f5,4883e3b483494627b3a870f6832fa769,2,-,6
6,Silver,2,e72918e57e7944f98d711290f4b0a84c,dfec15ac629e4c1b86dd796df8c49774,2,1,6
7,Silver,3,2ab5b7d9d0024a98af033b4ec6896403,96c7691373984a138d5425d5a4c469e3,2,1,6
8,Gold,1,022fe3336c974ea2a4e2f006cb48fce3,f8dec74713434792aba21bb5e3efdccb,2,2,6
9,Gold,2,5d6930e7d58342deafe9dbc06b16efd0,9aedc57d33b64dbf8c356dc1ce537f68,2,2,6
10,Gold,3,31f2fef371474d649599a50ba0cfa709,2917c7e9dddc4179961dcc92643c5ead,2,3,6
11,Platinum,1,1b4e3d219d384698af478ab886c25e02,4e53deb7bb8048a08eb353c120a342c6,3,-,8
12,Platinum,2,48ad635267674df79b3a2745e1977355,4a295d55ce9a47c4b3a4113d941a1f47,3,"2,2",8
13,Platinum,3,15032a49a16c49fab569888a06ddaa09,4fa690ec2bca4d0787508a54a755ca7d,3,"3,3",8
14,Diamond,1,02dfa1a086fe4484b135c4f272893e8a,eae1626a19a046bc9a11b3a8f9f03678,4,-,10
15,Diamond,2,28dfc9d2477c48bcb3a4eec3d1971620,264100dabb1a4b3ebaafae3518e07c0a,4,"2,2",10
16,Diamond,3,b990cf084fc942b090d24a3d268aad0e,bbe1e6fa1a524a4c92150ffeff546d7b,4,"3,3",10
17,Master,1,4f5eef281c314c4d88d7ff0597ffd2f4,c5a708220a10441da486c998472097d4,5,-,12
18,Master,2,bb5b89e72a994ea2bf551bbdd1e6325f,938664f857f34f08a74c937a5af9d408,5,"2,2",12
19,Master,3,39432399982d474199bee727aace3216,391d50cd36da4bc0b5fa4187f0cfc74f,5,"3,3",12
20,Challenger,-,eec1a3b1cde74051a2f54e43ce19a69b,86846969c16d4fb8b7b450ba532bb28b,5,4,12
