ID,Explain,ExplainText,RankUIColumn,RankUIColumnText
CT10001,CT10001Explain,플레이 타임이 짧은 순서대로,CT10001UIColumn,플레이시간(초)
CT10002,CT10002Explain,단일 유닛이 가장 높은 가해량을 기록,CT10002UIColumn,유닛 최고 가해량
CT10003,CT10003Explain,단일 유닛이 가장 높은 피해량을 기록,CT10003UIColumn,유닛 최고 피해량
CT10004,CT10004Explain,모든 라운드 동안 생존한 아군 수 (누적),CT10004UIColumn,누적 생존 유닛 수
CT10005,CT10005Explain,팀 가치 (코인),CT10005UIColumn,총 팀 가치
CT10006,CT10006Explain,룬 카드 총 가치,CT10006UIColumn,총 룬 카드 가치
CT10007,CT10007Explain,남은 하트 수량,CT10007UIColumn,잔여 하트
CT10008,CT10008Explain,활성화된 시너지 개수 (고유 시너지 제외),CT10008UIColumn,활성 시너지 수
CT10009,CT10009Explain,게임 종료 후 남은 골드,CT10009UIColumn,잔여 골드
CT10010,CT10010Explain,완성 아이템 개수,CT10010UIColumn,완성 아이템 수
CT10011,CT10011Explain,단일 유닛이 가장 높은 회복량을 기록,CT10011UIColumn,유닛 최고 회복량
CT10012,CT10012Explain,배치된 캐릭터의 성급이 낮을 수록 높은 점수 부여,CT10012UIColumn,배치 유닛 총 별 수
CT10013,CT10013Explain,아이템 구매 횟수,CT10013UIColumn,아이템 구매 회수
CT10014,CT10014Explain,"게임 종료 시, 사용중인 레어 룬카드의 개수",CT10014UIColumn,레어 룬카드 수
CT10015,CT10015Explain,단일 유닛이 가장 높은 스킬 횟수를 기록,CT10015UIColumn,유닛 최고 스킬 사용
CT10016,CT10016Explain,더 낮은 코치 비용,CT10016UIColumn,코치 비용
