RuneID,Name,Grade,EnemyUseType,IconRUID,PurchaseCost,ResellCost,BlankUnitCount,AddUnitCount,NeedItemCount,Desc_UseStack,Desc_UseString
RC10001,로저,Normal,Battle,052ec110624f4d039489945226673f27,4,2,0,0,0,FALSE,FALSE
RC10002,카이지,Normal,Ready,04e92cc8730849e987bc89d173806eca,4,2,0,0,0,FALSE,FALSE
RC10003,카산드라,Normal,Battle,0954f0cf35d1458391a506bfc6c6f166,4,2,0,0,0,FALSE,FALSE
RC10004,바이킨,Normal,Ready,21481868c8d24c23866e8166a6f46814,4,2,0,0,0,FALSE,FALSE
RC10005,조종사 어빈,Normal,Battle,00396293d5fa43c68125067efe3ed7fe,4,2,0,0,0,FALSE,FALSE
RC10006,쿤,Normal,Battle,03d0a4c93fbb479b85fcb536b8d35883,4,2,0,0,0,FALSE,FALSE
RC10007,레아,Normal,Battle,0161b0426fcd4ffd9982ef091d91540f,4,2,0,0,0,FALSE,FALSE
RC10008,피오,Normal,Ready,97284423e1924c9ba735c17f8fc70616,4,2,0,0,0,FALSE,FALSE
RC10009,돈 지오바네,Normal,Ready,d0c9c8a6e8ca4438b4113caef8b42404,4,2,0,0,0,FALSE,FALSE
RC10010,비셔스,Normal,Ready,18902f8e64c842b091f7dc1ee9168796,4,2,0,0,0,FALSE,FALSE
RC10011,라케리스,Normal,Ready,00a5cb6dcd9d4eae8078a8e366fe683d,4,2,0,0,0,FALSE,FALSE
RC10012,용잡이,Normal,Battle,2dc7b6a6893a4dd9b381eab0fc566ab3,4,2,0,0,0,FALSE,FALSE
RC10013,마르셀,Normal,Battle,06ab149a6d924da0b03ba8471400f7f6,4,2,0,0,2,FALSE,FALSE
RC10014,히나,Normal,Battle,0a46fbfc439b49e5b55c22253ee59d8d,4,2,0,0,0,FALSE,FALSE
RC10015,레인,Normal,Battle,1f27c476b32143f092dee70845a0b92a,4,2,0,0,0,FALSE,FALSE
RC10016,세라,Normal,Battle,02ccabefd302405c87515dd47124ba9d,4,2,0,0,0,FALSE,FALSE
