Key,Source,Note,ko,en,es,zh-cn,zh-tw
RepechagePopupDesc,* 하트를 1개 회복합니다.\n* 20코인을 받습니다.\n* 패자부활권은 경기 당 한 번만 사용할 수 있습니다.,Default Text,* 하트를 1개 회복합니다.\n* 20코인을 받습니다.\n* 패자부활권은 경기 당 한 번만 사용할 수 있습니다.,* Restores 1 Heart.\n* Grants 20 Coins.\n* Only 1 Consolation Match Ticket\ncan be used per match.,* Restaura 1 corazón.\n* Otorga 20 monedas.\n* Solo se puede usar 1 Boleto\npara enfrentamiento de consolación por partida.,* 恢复1个爱心。\n* 获得20硬币。\n* 败者复活券每场比赛只能使用一次。,*恢復1個愛心。\n*獲得20個硬幣。\n*復活券每場比賽只能使用1次。
RuneCard_RC20066_Desc,<b>방해꾼의 가면을 장착한 캐릭터와 같은 행에서 전투를 시작하는 적 유닛</b>들이 <color=#00e58a>마나 과부하</color> 상태가 됩니다. 또한 방해꾼의 가면 효과의 지속시간이 <color=#00e58a>50%</color> 증가합니다.,Default Text,<b>방해꾼의 가면을 장착한 캐릭터와 같은 행에서 전투를 시작하는 적 유닛</b>들이 <color=#00e58a>마나 과부하</color> 상태가 됩니다. 또한 방해꾼의 가면 효과의 지속시간이 <color=#00e58a>50%</color> 증가합니다.,Inflicts <color=#00e58a>Mana Overload</color> on <b>enemy units who start the battle on the same line as a character with Heckler's Mask</b>. Increases the duration of Heckler's Mask by <color=#00e58a>50%</color>.,Inflige <color=#00e58a>Sobrecarga de maná</color> a <b>unidades enemigas que empiecen la batalla en la misma línea que un peronaje con la Máscara de latoso</b>. Aumenta la duración de la Máscara de latoso un <color=#00e58a>50 %</color>.,<b>和佩戴捣蛋鬼面具的角色在同一行上开始战斗的敌方单位</b>陷入<color=#00e58a>魔量超载</color>状态。此外，捣蛋鬼面具效果的持续时间增加<color=#00e58a>50%</color>。,<b>和裝備搗亂者的面具的角色相同行列時，開始戰鬥的敵人</b>會變為<color=#00e58a>法力超載</color>狀態。另外搗亂者的面具效果的持續時間增加<color=#00e58a>50%</color>。
RuneCard_RC30006_Desc,<color=#ff4d63>더 이상 이자를 얻을 수 없습니다</color>. 대신 매 준비 단계 시작 시마다 <color=#00e58a>4</color>의 경험치와 <color=#00e58a>4코인</color>을 얻습니다.,Default Text,<color=#ff4d63>더 이상 이자를 얻을 수 없습니다</color>. 대신 매 준비 단계 시작 시마다 <color=#00e58a>4</color>의 경험치와 <color=#00e58a>4코인</color>을 얻습니다.,"<color=#ff4d63>You no longer gain interest</color>. Instead, you gain <color=#00e58a>4</color> EXP and <color=#00e58a>4 Coins</color> during the Ready Phase.","<color=#ff4d63>You no longer gain interest</color>. Instead, you gain <color=#00e58a>4</color> de EXP y <color=#00e58a>4 monedas</color> durante la fase de preparación.",<color=#ff4d63>无法继续获得利息</color>，但每当进入准备阶段时，获得<color=#00e58a>4</color>经验值与<color=#00e58a>4硬币</color>。,<color=#ff4d63>無法再獲得利息</color>。每次準備階段開始時，獲得<color=#00e58a>4</color>經驗值和<color=#00e58a>4硬幣</color>。
CoinInfo_Desc2,"1) 라운드 기본 보상 : 승리 시 {0}, 패배 시 {1}\n  2) 이자 (최대 {2}) : {3}코인당 1\n  3) 승리 보너스 : 전투에서 생존한 유닛 하나당 {4}",Default Text,"1) 라운드 기본 보상 : 승리 시 {0}, 패배 시 {1}\n  2) 이자 (최대 {2}) : {3}코인당 1\n  3) 승리 보너스 : 전투에서 생존한 유닛 하나당 {4}","1) Default Round Rewards: {0} on victory, {1} on defeat.\n2) Interest (Max {2}): 1 per {3} Coins\n3) Victory Bonus: {4} per each surviving unit in battle","1) Recompensas predeterminadas de la ronda: {0} al ganar, {1} al perder.\n2) Interés ({2}): 1 por {3} monedas\n 3) Bonificación por victoria: {4} por cada unidad sobreviviente en combate.",1) 回合基本奖励：胜利时{0}，失败时{1}\n2) 利息（最多{2}）：每{3}硬币获得1\n3) 胜利加成：在战斗中每生存一个单位获得{4},1) 回合基本獎勵：勝利時{0}，失敗時{1}\n2) 利息(最大{2})：每{3}個硬幣獲得1利息\n3) 勝利紅利：戰鬥勝利時，每位生存角色額外獲得{4}硬幣
Cheat_40,"1-1 (레벨, 하트 수, 패자부활권 사용 여부 리셋)",Default Text,"1-1 (레벨, 하트 수, 패자부활권 사용 여부 리셋)","1-1 (Resets Level, Heart Count, Consolation Match Ticket usage)","1-1 (restablece el nivel, el recuento de corazones y el uso de boletos de partida de consuelo)",1-1（重置等级、爱心数、败者复活券使用状态）,1-1(重置等級、愛心數、復活券使用狀態)
Item_CI0003_SpecialAbility,"1~2등급 캐릭터에게 사용하여, 동일한 1성 캐릭터를 하나 얻을 수 있습니다.",Default Text,"1~2등급 캐릭터에게 사용하여, 동일한 1성 캐릭터를 하나 얻을 수 있습니다.",Use on a Grade 1-2 characters to obtain a duplicate 1-star character.,Úsalo en personajes de Grado 1-2 para obtener un personaje de 1 estrella duplicado.,用于1~2级角色，并获得一个相同的1星角色。,可用於1~2階級角色，獲得一個相同的1星角色。
Item_CI0004_SpecialAbility,"1~4등급 캐릭터에게 사용하여, 동일한 1성 캐릭터를 하나 얻을 수 있습니다.",Default Text,"1~4등급 캐릭터에게 사용하여, 동일한 1성 캐릭터를 하나 얻을 수 있습니다.",Use on a Grade 1-4 character to obtain a duplicate 1-star character.,Úsalo en personajes de Grado 1-4 para obtener un personaje de 1 estrella duplicado.,用于1~4级角色，并获得一个相同的1星角色。,可用於1~4階級角色，獲得一個相同的1星角色。
Item_CI0005_SpecialAbility,"1~5등급 캐릭터에게 사용하여, 동일한 1성 캐릭터를 하나 얻을 수 있습니다.",Default Text,"1~5등급 캐릭터에게 사용하여, 동일한 1성 캐릭터를 하나 얻을 수 있습니다.",Use on a Grade 1-5 characters to obtain a duplicate 1-star character.,Úsalo en personajes de Grado 1-5 para obtener un personaje de 1 estrella duplicado.,用于1~5级角色，并获得一个相同的1星角色。,可用於1~5階級角色，獲得一個相同的1星角色。
PartnerCoach_Tooltip,보유한 코치 중 하나와 동행할 수 있습니다. 동행한 코치는 로비에서 나를 따라다닙니다. (경기에는 영향을 주지 않습니다.),Default Text,보유한 코치 중 하나와 동행할 수 있습니다. 동행한 코치는 로비에서 나를 따라다닙니다. (경기에는 영향을 주지 않습니다.),One of your Coaches can accompany you. The Coach will follow you around the lobby. (This has no affect in Matches.),Uno de tus entrenadores puede acompañarte. El entrenador te seguirá por la sala. (Esto no tiene ningún efecto en las partidas).,可从持有的教练中选择一名同行。同行的教练会在大厅跟随我。（不影响比赛内容。）,可以選擇一位持有的教練同行。同行的教練會在大廳跟隨。(在比賽內不會造成影響。)
Tip1012,"캐릭터가 합쳐지면, 장착하고 있던 <color=#62D5FE>아이템</color>도 합쳐집니다. 3개를 넘기면 그 중 1개의 아이템을 회수합니다.",Default Text,"캐릭터가 합쳐지면, 장착하고 있던 <color=#62D5FE>아이템</color>도 합쳐집니다. 3개를 넘기면 그 중 1개의 아이템을 회수합니다.","When characters combine, their <color=#62D5FE>equipped items</color> are also combined. If they end up with more than 3 items, 1 of the items is retrieved.","Cuando los personajes se combinan, sus <color=#62D5FE>artículos equipados</color> también se combinan. Si terminan con más de 3 artículos, se recupera 1 de los artículos.",角色在合体后，已佩戴的<color=#62D5FE>道具</color>也都合在一起。道具超出3个时，会回收其中1个道具。,角色合成時，裝備的<color=#62D5FE>道具</color>也會被合併。如果道具數量超過3個，將會回收其中1個。
