ID,CategoryID,GroupIdx,MaxStep,NameKey,DescKey,IsCumulative,ConditionType,Count,Score,RewardTable
AC001001,1,1,3,Achievement_Name1,Achievement_Desc1,TRUE,-1,3;7;14,2;3;5,1_Syrup_106;1_KWB10004_1;2_Syrup_160;2_KWF10004_1;3_Syrup_266;3_NT10013_1
AC001002,1,2,3,Achievement_Name2,Achievement_Desc2,TRUE,-1,10;30;100,1;2;3,1_KWB10005_1;1_NT10004_1;2_KWF10005_1;2_NT10005_1;3_Syrup_80;3_NT10060_1
AC001003,1,3,3,Achievement_Name3,Achievement_Desc3,TRUE,-1,10;30;100,1;2;3,1_KWF10006_1;1_NT10016_1;2_KWF10007_1;2_NT10022_1;3_Syrup_80;3_NT10093_1
AC001004,1,4,1,Achievement_Name4,Achievement_Desc4,TRUE,-1,1,1,1_Syrup_54;1_NT10027_1
AC001005,1,5,1,Achievement_Name5,Achievement_Desc5,FALSE,-1,60,5,1_KWB10006_1;1_NT10035_1
AC001006,1,6,1,Achievement_Name6,Achievement_Desc6,FALSE,-1,89,5,1_KWB10007_1;1_NT10037_1
AC001007,1,7,1,Achievement_Name7,Achievement_Desc7,TRUE,-1,143,5,1_KWF10008_1;1_NT10080_1
AC001008,1,8,1,Achievement_Name8,Achievement_Desc8,TRUE,-1,101,5,1_KWB10008_1;1_NT10094_1
AC002001,2,1,3,Achievement_Name9,Achievement_Desc9,TRUE,S10001,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10009_1;3_Syrup_160;3_KWB10010_1
AC002002,2,2,3,Achievement_Name9,Achievement_Desc9,TRUE,S10002,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10010_1;3_Syrup_160;3_KWB10011_1
AC002003,2,3,3,Achievement_Name9,Achievement_Desc9,TRUE,S10003,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10011_1;3_Syrup_160;3_KWB10012_1
AC002004,2,4,3,Achievement_Name9,Achievement_Desc9,TRUE,S10004,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10012_1;3_Syrup_160;3_KWB10013_1
AC002005,2,5,3,Achievement_Name9,Achievement_Desc9,TRUE,S10005,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10013_1;3_Syrup_160;3_KWB10014_1
AC002006,2,6,3,Achievement_Name9,Achievement_Desc9,TRUE,S10006,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10014_1;3_Syrup_160;3_KWB10015_1
AC002007,2,7,3,Achievement_Name9,Achievement_Desc9,TRUE,S10007,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10015_1;3_Syrup_160;3_KWB10016_1
AC002008,2,8,3,Achievement_Name9,Achievement_Desc9,TRUE,S10008,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10016_1;3_Syrup_160;3_KWB10017_1
AC002009,2,9,3,Achievement_Name9,Achievement_Desc9,TRUE,S10009,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10017_1;3_Syrup_160;3_KWB10018_1
AC002010,2,10,3,Achievement_Name9,Achievement_Desc9,TRUE,S10010,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10018_1;3_Syrup_160;3_KWB10020_1
AC002011,2,11,3,Achievement_Name9,Achievement_Desc9,TRUE,S10011,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10019_1;3_Syrup_160;3_KWB10019_1
AC002012,2,12,3,Achievement_Name9,Achievement_Desc9,TRUE,S10012,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10020_1;3_KWB10021_1;3_NT10057_1
AC002013,2,13,3,Achievement_Name9,Achievement_Desc9,TRUE,S10013,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10021_1;3_Syrup_160;3_KWB10022_1
AC002014,2,14,3,Achievement_Name9,Achievement_Desc9,TRUE,S10014,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10022_1;3_Syrup_160;3_KWB10023_1
AC002015,2,15,3,Achievement_Name9,Achievement_Desc9,TRUE,S10015,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10023_1;3_Syrup_160;3_KWB10024_1
AC002016,2,16,3,Achievement_Name9,Achievement_Desc9,TRUE,S10016,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10024_1;3_Syrup_160;3_KWB10025_1
AC002017,2,17,3,Achievement_Name9,Achievement_Desc9,TRUE,S10017,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10025_1;3_Syrup_160;3_KWB10026_1
AC002018,2,18,3,Achievement_Name9,Achievement_Desc9,TRUE,S10018,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10026_1;3_Syrup_160;3_KWB10027_1
AC002019,2,19,3,Achievement_Name9,Achievement_Desc9,TRUE,S10019,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10027_1;3_Syrup_160;3_KWB10028_1
AC002020,2,20,3,Achievement_Name9,Achievement_Desc9,TRUE,S10020,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10028_1;3_Syrup_160;3_KWB10029_1
AC002021,2,21,3,Achievement_Name9,Achievement_Desc9,TRUE,S10021,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10029_1;3_Syrup_160;3_KWB10030_1
AC002022,2,22,3,Achievement_Name9,Achievement_Desc9,TRUE,S10022,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10030_1;3_Syrup_160;3_KWB10031_1
AC002023,2,23,3,Achievement_Name9,Achievement_Desc9,TRUE,S10023,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10031_1;3_Syrup_160;3_KWB10032_1
AC002024,2,24,3,Achievement_Name9,Achievement_Desc9,TRUE,S10024,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10032_1;3_Syrup_160;3_KWB10033_1
AC002025,2,25,3,Achievement_Name9,Achievement_Desc9,TRUE,S10025,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10033_1;3_KWB10034_1
AC002026,2,26,3,Achievement_Name9,Achievement_Desc9,TRUE,S10026,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10034_1;3_KWB10035_1;3_NT10031_1
AC002027,2,27,3,Achievement_Name9,Achievement_Desc9,TRUE,S10027,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10035_1;3_KWB10036_1;3_NT10075_1
AC002028,2,28,3,Achievement_Name9,Achievement_Desc9,TRUE,S10028,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10036_1;3_KWB10037_1;3_NT10056_1
AC002029,2,29,3,Achievement_Name9,Achievement_Desc9,TRUE,S10029,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10037_1;3_KWB10038_1;3_NT10055_1
AC002030,2,30,3,Achievement_Name9,Achievement_Desc9,TRUE,S10030,3;8;20,1;2;3,1_Syrup_54;2_Syrup_106;2_KWF10038_1;3_KWB10039_1;3_NT10069_1
AC003001,3,1,3,Achievement_Name10,Achievement_Desc10,FALSE,S10015,3;5;10,1;2;4,1_Syrup_54;2_Syrup_106;3_KWF10039_1
AC003002,3,2,1,Achievement_Name122,Achievement_Desc55,FALSE,S10015;RC20045,7,3,1_COP40001_1;1_NT10058_1
AC003003,3,3,3,Achievement_Name10,Achievement_Desc10,FALSE,S10016,2;4;10,1;2;4,1_Syrup_54;2_Syrup_106;3_NT10046_1
AC003004,3,4,1,Achievement_Name122,Achievement_Desc55,FALSE,S10016;RC20046,6,3,1_COP40002_1;1_KWF10040_1
AC003005,3,5,3,Achievement_Name10,Achievement_Desc10,FALSE,S10017,3;5;10,1;2;4,1_Syrup_54;2_Syrup_106;3_NT10059_1
AC003006,3,6,1,Achievement_Name122,Achievement_Desc55,FALSE,S10017;RC20047,7,3,1_COP40003_1;1_KWF10041_1
AC003007,3,7,3,Achievement_Name10,Achievement_Desc10,FALSE,S10018,2;4;6,1;2;4,1_Syrup_54;2_Syrup_106;3_Syrup_213;3_NT10045_1
AC003008,3,8,1,Achievement_Name122,Achievement_Desc55,FALSE,S10018;RC20048,4,3,1_Syrup_160;1_KWF10042_1
