GoodsID,Name(참고용)
COP10001,빨간 달팽이
COP10002,아기백호
COP10003,알바트로스
COP10004,디노보이
COP10005,디노걸
COP10006,칠면조
COP10007,갈색강아지
COP10008,사막여우
COP10009,고슴도치
COP10010,팬더
COP10011,갈색고양이
COP10012,검은색고양이
COP10013,주니어 산초
COP10014,병아리
COP20001,미니 꼬꼬
COP20002,미니 미요
COP20003,루돌프
COP20004,미니 마르
COP20005,핑키 드래곤
COP20006,아이스드래곤
COP20007,레드 드래곤
COP20008,핑크 곰돌이
COP20009,하늘 곰돌이
COP20010,베이지 곰돌이
COP20011,쿠키 와와
COP20012,귤귤이
COP30001,뉴핑크물범I
COP30002,뉴하프물범I
COP30003,황금돼지
COP30004,데블
COP30005,숲 속 윙클
COP30006,오동통 구리
COP30007,천사 라엘
COP30008,구름양
COP30009,천사 노엘
COP30010,천사 미엘
COP30011,껨디베베
COP30012,황금 멍뭉이
COP30013,랜드 터틀
COP30014,쁘띠 우르스
COP50001,뽀톨
COP50002,쁘띠 메르
COP50003,쁘띠 아란
COP50004,쁘띠 팬텀
COP50005,쁘띠 루미
COP50006,쁘띠 에반
COP50007,쁘띠 은월
COP50008,쁘띠 포니
COP50009,금금이
COP50010,은은이
COP50011,동동이
COP70001,오베론
COP70002,샤벳
COP70003,빅토리
COP70004,글로리
COP70005,쁘띠 피코
COP70006,티타니아
COM10001,다크 소울
COM10002,미니 블러디퀸
COM10003,미니 반반
COM10004,미니 피에르
COM10005,초코 와와
COM10006,스컹크
COM10007,해적 앵무새
COM10008,주니어 리퍼
COM20001,펌킨 잭
COM20002,펌킨 오
COM20003,펌킨 랜턴
COM20004,마족 모스
COM20005,큐티 스네이크
COM20006,마족 메투스
COM20007,원투펀치캣
COM20008,마족 디아
COM20009,트로피컬 펭귄
COM30001,패션왕 뤠빗
COM30002,병약 오르카
COM30003,쁘띠 데미안
COM30004,아이스나이트
COM30005,쁘띠 레드
COM30006,쁘띠 블루
COM30007,원숭이
COM30008,어항 속 상어
COM30009,쁘띠 겔리메르
