CategoryLocalKey,Style,RuleDesc
MapleAllStarLeague,MainText,IngameRules_MapleAllStarLeague_001
MapleAllStarLeague,SubTitle,Objective
MapleAllStarLeague,DescText,IngameRules_MapleAllStarLeague_002
StageAndRounds,MainText,IngameRules_StageAndRounds_001
StageAndRounds,MainImage,698c5bb78b994519bdcf370de183aa56
StageAndRounds,SubTitle,Stage
StageAndRounds,DescText,IngameRules_StageAndRounds_002
StageAndRounds,SubTitle,Round
StageAndRounds,DescText,IngameRules_StageAndRounds_003
StageAndRounds,SubTitle,Round_Final
StageAndRounds,DescText,IngameRules_StageAndRounds_004
Item_CI0010_Name,MainText,IngameRules_Heart_001
Item_CI0010_Name,MainImage,91c146e5d5a24a588f47586f6523d171
Item_CI0010_Name,SubTitle,Item_CI0010_Name
Item_CI0010_Name,DescText,IngameRules_Heart_002
CharacterAndUnit,MainText,IngameRules_CharacterAndUnit_001
CharacterAndUnit,SubTitle,Unit
CharacterAndUnit,DescText,IngameRules_CharacterAndUnit_002
CharacterAndUnit,SubTitle,Character
CharacterAndUnit,DescText,IngameRules_CharacterAndUnit_003
CharacterAndUnit,SubTitle,Cost
CharacterAndUnit,DescText,IngameRules_CharacterAndUnit_004
CharacterAndUnit,SubTitle,Skill
CharacterAndUnit,DescText,IngameRules_CharacterAndUnit_005
BattlefieldAndBench,MainText,IngameRules_Battlefield_001
BattlefieldAndBench,SubTitle,Battlefield
BattlefieldAndBench,DescText,IngameRules_Battlefield_002
BattlefieldAndBench,SubTitle,Bench
BattlefieldAndBench,DescText,IngameRules_Battlefield_003
Upgrade,MainText,IngameRules_Upgrade_001
Upgrade,SubTitle,StarLevel
Upgrade,DescText,IngameRules_Upgrade_002
Upgrade,SubTitle,Upgrade
Upgrade,DescText,IngameRules_Upgrade_003
UnitStat,MainText,IngameRules_UnitStat_001
UnitStat,SubTitle,Stat
UnitStat,DescText,IngameRules_UnitStat_002
UnitStat,SubTitle,Status_HP
UnitStat,DescText,IngameRules_UnitStat_003
UnitStat,SubTitle,Status_MP
UnitStat,DescText,IngameRules_UnitStat_004
UnitStat,SubTitle,Status_PhysicalAttack
UnitStat,DescText,Status_PhysicalAttack_Desc
UnitStat,SubTitle,Status_MagicalAttack
UnitStat,DescText,Status_MagicalAttack_Desc
UnitStat,SubTitle,Status_AttackSpeed
UnitStat,DescText,Status_AttackSpeed_Desc
UnitStat,SubTitle,Status_Defence
UnitStat,DescText,Status_Defence_Desc
UnitStat,SubTitle,Status_MagicalResistance
UnitStat,DescText,Status_MagicalResistance_Desc
UnitStat,SubTitle,Status_AttackRange
UnitStat,DescText,Status_AttackRange_Desc
UnitStat,SubTitle,Status_CriticalPercent
UnitStat,DescText,Status_CriticalPercent_Desc
UnitStat,SubTitle,Status_CriticalDamagePercent
UnitStat,DescText,Status_CriticalDamagePercent_Desc
UnitStat,SubTitle,Status_BloodAbsorptionPercent
UnitStat,DescText,Status_BloodAbsorptionPercent_Desc
UnitStat,SubTitle,Status_MoveSpeed
UnitStat,DescText,Status_MoveSpeed_Desc
UnitStat,SubTitle,Status_DealingDamageIncrease
UnitStat,DescText,Status_DealingDamageIncrease_Desc
UnitStat,SubTitle,Status_TakingDamageDecrease
UnitStat,DescText,Status_TakingDamageDecrease_Desc
Synergy,MainText,IngameRules_Synergy_001
Synergy,SubTitle,Trait
Synergy,DescText,IngameRules_Synergy_002
Synergy,SubTitle,Activate_Synergy
Synergy,DescText,IngameRules_Synergy_003
Synergy,SubTitle,IngameRules_Synergy_004
Synergy,DescText,IngameRules_Synergy_005
Synergy,SubTitle,Unique_Synergy
Synergy,DescText,IngameRules_Synergy_006
Item,MainText,IngameRules_Item_001
Item,SubTitle,Item
Item,DescText,IngameRules_Item_002
Item,SubTitle,ItemEquip
Item,DescText,IngameRules_Item_003
Item,SubTitle,ItemGuide_3
Item,DescText,IngameRules_Item_004
Item,SubTitle,ItemCombination
Item,DescText,IngameRules_Item_005
ItemType,MainText,IngameRules_ItemType_001
ItemType,SubTitle,ItemType_MaterialItem
ItemType,DescText,IngameRules_ItemType_002
ItemType,SubTitle,ItemType_NormalItem
ItemType,DescText,IngameRules_ItemType_003
ItemType,SubTitle,ItemType_Consumable
ItemType,DescText,IngameRules_ItemType_004
ItemType,SubTitle,ItemType_Emblem
ItemType,DescText,IngameRules_ItemType_005
ItemType,SubTitle,ItemType_Box
ItemType,DescText,IngameRules_ItemType_006
ItemType,SubTitle,ItemType_SynergyItem
ItemType,DescText,IngameRules_ItemType_007
RuneCard,MainText,IngameRules_RuneCard_001
RuneCard,SubTitle,RuneCard
RuneCard,DescText,IngameRules_RuneCard_002
RuneCard,SubTitle,RuneCard_Rarity
RuneCard,DescText,IngameRules_RuneCard_003
RuneCard,SubTitle,RuneCard_Order
RuneCard,DescText,IngameRules_RuneCard_004
RuneCard,SubTitle,Destruct
RuneCard,DescText,IngameRules_RuneCard_005
RuneCard,SubTitle,Indestructible
RuneCard,DescText,IngameRules_RuneCard_006
RuneCard,SubTitle,Incinerate
RuneCard,DescText,IngameRules_RuneCard_007
Coin,MainText,IngameRules_Coin_001
Coin,SubTitle,Coin
Coin,DescText,IngameRules_Coin_002
Coin,SubTitle,DefaultRewards
Coin,DescText,IngameRules_Coin_003
Coin,SubTitle,Interest
Coin,DescText,IngameRules_Coin_004
Coin,SubTitle,ETCRewards
Coin,DescText,IngameRules_Coin_005
