CategoryLocalKey,Style,RuleDesc
Lobby,MainText,OutgameRules_Lobby_001
Lobby,SubTitle,Lobby
Lobby,DescText,OutgameRules_Lobby_002
GameMode_Single,MainText,OutgameRules_GameMode_Single_001
GameMode_Single,SubTitle,GameMode_Single
GameMode_Single,DescText,OutgameRules_GameMode_Single_002
GameMode_Single,SubTitle,Difficulty
GameMode_Single,DescText,OutgameRules_GameMode_Single_003
GameMode_Single,SubTitle,Penalty
GameMode_Single,DescText,OutgameRules_GameMode_Single_004
ExpansionSeason,MainText,OutgameRules_ExpansionSeason_001
ExpansionSeason,SubTitle,BaseSeason
ExpansionSeason,DescText,OutgameRules_ExpansionSeason_002
ExpansionSeason,SubTitle,ExpansionSeason
ExpansionSeason,DescText,OutgameRules_ExpansionSeason_003
ExpansionSeason,SubTitle,ExpansionSeasonCharacter
ExpansionSeason,DescText,OutgameRules_ExpansionSeason_004
GameMode_Rank,MainText,OutgameRules_GameMode_Rank_001
GameMode_Rank,SubTitle,GameMode_Rank
GameMode_Rank,DescText,OutgameRules_GameMode_Rank_002
GameMode_Rank,SubTitle,Ranking
GameMode_Rank,DescText,OutgameRules_GameMode_Rank_003
GameMode_Rank,SubTitle,Initialization
GameMode_Rank,DescText,OutgameRules_GameMode_Rank_004
GameMode_Challenge,MainText,OutgameRules_GameMode_Challenge_001
GameMode_Challenge,SubTitle,GameMode_Challenge
GameMode_Challenge,DescText,OutgameRules_GameMode_Challenge_002
GameMode_Challenge,SubTitle,Reward
GameMode_Challenge,DescText,OutgameRules_GameMode_Challenge_003
DirectorLevel,MainText,OutgameRules_DirectorLevel_001
DirectorLevel,SubTitle,DirectorLevel
DirectorLevel,DescText,OutgameRules_DirectorLevel_002
DailyMission,MainText,OutgameRules_DailyMission_001
DailyMission,SubTitle,DailyMission
DailyMission,DescText,OutgameRules_DailyMission_002
Syrup,MainText,OutgameRules_Syrup_001
Syrup,SubTitle,Syrup
Syrup,DescText,OutgameRules_Syrup_002
Syrup,SubTitle,RoyalSyrup
Syrup,DescText,OutgameRules_Syrup_003
Coach,MainText,IngameRules_Coach_001
Coach,SubTitle,Coach
Coach,DescText,IngameRules_Coach_002
Coach,SubTitle,Cost
Coach,DescText,IngameRules_Coach_003
Coach,SubTitle,Coach_Minus
Coach,DescText,IngameRules_Coach_004
Coach_Recruitment,MainText,OutgameRules_Coach_Recruitment_001
Coach_Recruitment,SubTitle,Coach_Recruitment
Coach_Recruitment,DescText,OutgameRules_Coach_Recruitment_002
Coach_Recruitment,SubTitle,Cost
Coach_Recruitment,DescText,OutgameRules_Coach_Recruitment_003
CoachShop,MainText,OutgameRules_CoachShop_001
CoachShop,SubTitle,CoachShop
CoachShop,DescText,OutgameRules_CoachShop_002
CoachInventory,MainText,OutgameRules_CoachInventory_001
CoachInventory,SubTitle,CoachInventory
CoachInventory,DescText,OutgameRules_CoachInventory_002
CoachInventory,SubTitle,PartnerCoach
CoachInventory,DescText,OutgameRules_CoachInventory_003
Achievement,MainText,OutgameRules_Achievement_001
Achievement,SubTitle,Achievement
Achievement,DescText,OutgameRules_Achievement_002
Achievement,SubTitle,Reward
Achievement,DescText,OutgameRules_Achievement_003
Collection,MainText,OutgameRules_Collection_001
Collection,SubTitle,Collection
Collection,DescText,OutgameRules_Collection_002
Collection,SubTitle,Achievement_Character
Collection,DescText,OutgameRules_Collection_003
Collection,SubTitle,CharacterTransform
Collection,DescText,OutgameRules_Collection_004
Profile,MainText,OutgameRules_Profile_001
Profile,SubTitle,Profile
Profile,DescText,OutgameRules_Profile_002
Profile,SubTitle,PlayRecord
Profile,DescText,OutgameRules_Profile_003
PlayerTitle,MainText,OutgameRules_PlayerTitle_001
PlayerTitle,SubTitle,PlayerTitle
PlayerTitle,DescText,OutgameRules_PlayerTitle_002
PlayerTitle,SubTitle,TitleSetting_NameTag
PlayerTitle,DescText,OutgameRules_PlayerTitle_003
PlayerTitle,SubTitle,Keyword
PlayerTitle,DescText,OutgameRules_PlayerTitle_004
