KeyWordID,Name,Description,Category,etc
KWB10000,KeyWord_Empty,기본 지급,StarterKit,
KWB10001,KeyWordBackName1,기본 지급,StarterKit,
KWB10002,KeyWordBackName2,기본 지급,StarterKit,
KWB10003,KeyWordBackName3,기본 지급,StarterKit,
KWB10004,NameTagName2,업적 '발도장 1' 달성,Achievement_General,
KWB10005,KeyWordBackName4,업적 '싱글 모드 매니아 1' 달성,Achievement_General,
KWB10006,KeyWordBackName5,업적 '살아있는 백과사전' 달성,Achievement_General,
KWB10007,KeyWordBackName6,업적 '없는 게 없습니다' 달성,Achievement_General,
KWB10008,KeyWordBackName7,업적 '다다익선' 달성,Achievement_General,
KWB10009,KeyWordBackName8,업적 '캐릭터 도전과제 첫걸음' 달성,Achievement_General,
KWB10010,S10001_Name,업적 '시너지 [마스코트] 사용하기 3' 달성,Achievement_Synergy,
KWB10011,S10002_Name,업적 '시너지 [수호대] 사용하기 3' 달성,Achievement_Synergy,
KWB10012,S10003_Name,업적 '시너지 [선봉장] 사용하기 3' 달성,Achievement_Synergy,
KWB10013,S10004_Name,업적 '시너지 [마법사] 사용하기 3' 달성,Achievement_Synergy,
KWB10014,S10005_Name,업적 '시너지 [책사] 사용하기 3' 달성,Achievement_Synergy,
KWB10015,S10006_Name,업적 '시너지 [사냥꾼] 사용하기 3' 달성,Achievement_Synergy,
KWB10016,S10007_Name,업적 '시너지 [그림자] 사용하기 3' 달성,Achievement_Synergy,
KWB10017,S10008_Name,업적 '시너지 [추격자] 사용하기 3' 달성,Achievement_Synergy,
KWB10018,S10009_Name,업적 '시너지 [싸움꾼] 사용하기 3' 달성,Achievement_Synergy,
KWB10019,S10011_Name,업적 '시너지 [방해꾼] 사용하기 3' 달성,Achievement_Synergy,
KWB10020,S10010_Name,업적 '시너지 [저격수] 사용하기 3' 달성,Achievement_Synergy,
KWB10021,S10012_Name,업적 '시너지 [숭고한 영혼] 사용하기 3' 달성,Achievement_Synergy,
KWB10022,S10013_Name,업적 '시너지 [전설의 궁수] 사용하기 3' 달성,Achievement_Synergy,
KWB10023,S10014_Name,업적 '시너지 [여제] 사용하기 3' 달성,Achievement_Synergy,
KWB10024,KeyWordBackName9,업적 '시너지 [시간의 신전] 사용하기 3' 달성,Achievement_Synergy,
KWB10025,KeyWordBackName10,업적 '시너지 [엘나스] 사용하기 3' 달성,Achievement_Synergy,
KWB10026,KeyWordBackName11,업적 '시너지 [빅토리아 아일랜드] 사용하기 3' 달성,Achievement_Synergy,
KWB10027,KeyWordBackName12,업적 '시너지 [슬리피우드] 사용하기 3' 달성,Achievement_Synergy,
KWB10028,KeyWordBackName13,업적 '시너지 [루디브리엄] 사용하기 3' 달성,Achievement_Synergy,
KWB10029,RuneCard_RC20050_Name,업적 '시너지 [아케인리버] 사용하기 3' 달성,Achievement_Synergy,
KWB10030,KeyWordBackName14,업적 '시너지 [오르비스] 사용하기 3' 달성,Achievement_Synergy,
KWB10031,KeyWordBackName15,업적 '시너지 [시그너스] 사용하기 3' 달성,Achievement_Synergy,
KWB10032,S10023_Name,업적 '시너지 [모험가] 사용하기 3' 달성,Achievement_Synergy,
KWB10033,S10024_Name,업적 '시너지 [전직교관] 사용하기 3' 달성,Achievement_Synergy,
