Iron,Bronze1,Bronze2,Bronze3,Silver1,Silver2,Silver3,Gold1,Gold2,Gold3,Platinum1,Platinum2,Platinum3,Diamond1,Diamond2,Diamond3,Master1,Master2,Master3,Challenger
10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30
20,22,24,26,28,30,32,34,36,38,40,42,44,46,49,51,53,55,57,59
30,33,35,38,41,45,48,51,54,57,60,63,67,70,73,76,79,83,86,89
40,43,47,51,55,59,64,68,72,76,80,84,89,93,97,102,106,110,114,119
49,54,59,64,69,74,79,85,90,95,100,106,111,116,122,127,132,138,143,149
59,65,71,77,83,89,95,101,108,114,120,127,133,139,146,152,159,165,172,178
69,76,83,90,97,104,111,118,126,133,140,148,155,163,170,178,185,193,200,208
79,87,95,103,111,119,127,135,144,152,160,169,177,186,194,203,212,220,229,238
89,98,106,115,124,134,143,152,162,171,180,190,200,209,219,228,238,248,258,267
99,108,118,128,138,148,159,169,180,190,201,211,222,232,243,254,265,275,286,297
109,119,130,141,152,163,175,186,197,209,221,232,244,256,267,279,291,303,315,327
119,130,142,154,166,178,191,203,215,228,241,253,266,279,292,305,317,330,343,356
129,141,154,167,180,193,206,220,233,247,261,274,288,302,316,330,344,358,372,386
138,152,166,179,194,208,222,237,251,266,281,296,310,325,340,355,370,386,401,416
148,163,177,192,207,223,238,254,269,285,301,317,333,349,365,381,397,413,429,446
158,174,189,205,221,238,254,271,287,304,321,338,355,372,389,406,423,441,458,475
168,184,201,218,235,252,270,287,305,323,341,359,377,395,413,431,450,468,487,505
178,195,213,231,249,267,286,304,323,342,361,380,399,418,438,457,476,496,515,535
188,206,225,244,263,282,302,321,341,361,381,401,421,442,462,482,503,523,544,564
198,217,236,256,277,297,318,338,359,380,401,422,443,465,486,508,529,551,572,594
208,228,248,269,290,312,333,355,377,399,421,443,466,488,510,533,556,578,601,624
218,239,260,282,304,327,349,372,395,418,441,464,488,511,535,558,582,606,630,654
227,249,272,295,318,342,365,389,413,437,461,486,510,534,559,584,609,633,658,683
237,260,284,308,332,356,381,406,431,456,481,507,532,558,583,609,635,661,687,713
