Level,Reward_Type,Reward_ID,Reward_amount
10,ModeOpen,RankMode,0
20,Coach,COM10001,1
30,Repechage,Repechage,3
40,Coach,COM10002,1
50,ModeOpen,Challenge1,0
60,Coach,COM10003,1
70,Coach,COM10004,1
80,Repechage,Repechage,3
90,Coach,COM10005,1
100,ModeOpen,Challenge2,0
110,Coach,COM10006,1
120,Repechage,Repechage,3
130,Coach,COM10007,1
140,Repechage,Repechage,3
150,ModeOpen,Challenge3,0
160,Coach,COM10008,1
170,Coach,COM20001,1
180,Repechage,Repechage,3
190,Coach,COM20002,1
200,ModeOpen,Challenge4,0
210,Coach,COM20003,1
220,Repechage,Repechage,3
230,Coach,COM20004,1
240,Repechage,Repechage,3
250,ModeOpen,Challenge5,0
260,Coach,COM20005,1
270,Coach,COM20006,1
280,Repechage,Repechage,3
290,Coach,COM20007,1
300,ModeOpen,Challenge6,0
310,Coach,COM20008,1
320,Coach,COM20009,1
330,Repechage,Repechage,3
340,Coach,COM30001,1
350,ModeOpen,Challenge7,0
360,Coach,COM30002,1
370,Coach,COM30003,1
380,Repechage,Repechage,3
390,Coach,COM30004,1
400,ModeOpen,Challenge8,0
410,Repechage,Repechage,3
420,Coach,COM30005,1
430,Repechage,Repechage,3
440,Coach,COM30006,1
450,ModeOpen,Challenge9,0
460,Coach,COM30007,1
470,Repechage,Repechage,3
480,Coach,COM30008,1
490,Coach,COM30009,1
500,ModeOpen,Challenge10,0
