AdviceID,Desc,AdviceText,AdviceCharImageRUID,Category,MaxCount
AD100_1,1-1 진입,TutorialPinkbeanMessage_0001,0afe382d19c54a1f988513b21d1be98c,AD100,7
AD100_2,,TutorialPinkbeanMessage_0084,0afe382d19c54a1f988513b21d1be98c,AD100,7
AD100_3,,TutorialPinkbeanMessage_0085,dbfe20ec1aa34acc8b76c3127d02fdd8,AD100,7
AD100_4,,TutorialPinkbeanMessage_0086,f89484391a4f4a5580c2117c91a7163f,AD100,7
AD100_5,,TutorialPinkbeanMessage_0002,dbfe20ec1aa34acc8b76c3127d02fdd8,AD100,7
AD100_6,,TutorialPinkbeanMessage_0087,dbfe20ec1aa34acc8b76c3127d02fdd8,AD100,7
AD100_7,,TutorialPinkbeanMessage_0003,0afe382d19c54a1f988513b21d1be98c,AD100,7
AD101_1,첫 캐릭터 구매,TutorialPinkbeanMessage_0088,e8100818a63b4ea1859cd45966f39ede,AD101,2
AD101_2,,TutorialPinkbeanMessage_0004,0afe382d19c54a1f988513b21d1be98c,AD101,2
AD102_1,캐릭터 셋 구매,TutorialPinkbeanMessage_0005,f89484391a4f4a5580c2117c91a7163f,AD102,2
AD102_2,,TutorialPinkbeanMessage_0006,0afe382d19c54a1f988513b21d1be98c,AD102,2
AD103_1,주황버섯 배치,TutorialPinkbeanMessage_0089,f89484391a4f4a5580c2117c91a7163f,AD103,2
AD103_2,,TutorialPinkbeanMessage_0007,e8100818a63b4ea1859cd45966f39ede,AD103,1
AD103_2_1,,TutorialPinkbeanMessage_0007,e8100818a63b4ea1859cd45966f39ede,AD103_2,1
AD104_1,캐릭터 셋 배치,TutorialPinkbeanMessage_0008,dbfe20ec1aa34acc8b76c3127d02fdd8,AD104,1
AD105_1,첫 전투 시작 전,TutorialPinkbeanMessage_0090,f89484391a4f4a5580c2117c91a7163f,AD105,5
AD105_2,,TutorialPinkbeanMessage_0091,dbfe20ec1aa34acc8b76c3127d02fdd8,AD105,5
AD105_3,,TutorialPinkbeanMessage_0009,f89484391a4f4a5580c2117c91a7163f,AD105,5
