id,id (참고),condition,backgroundID,background (참고용),background_X
20025,새우튀김,50,1,분식,
20026,핫도그,100,1,분식,
20027,야채김밥,150,1,분식,
20028,떡볶이,200,1,분식,-445
20029,핫피스,350,2,편의점,
20030,요거트,500,2,편의점,
20031,라면,650,2,편의점,
20032,에너지 음료,800,2,편의점,-906
20033,아메리카노,1400,3,카페,
20034,초코 머핀,2000,3,카페,
20035,초코 쿠키,2600,3,카페,
20036,핫 라떼,3200,3,카페,-1340
20037,연어 초밥,5600,4,일식점,
20038,알 초밥,8000,4,일식점,
20039,삼색 도시락,10400,4,일식점,
20040,특 초밥,12800,4,일식점,-1760
20041,특제 덮밥,22400,5,레스토랑,
20042,리조또,32000,5,레스토랑,
20043,소고기 덮밥,41600,5,레스토랑,
20044,스테이크,51200,5,레스토랑,-2240
