Type,Objective,Description,Condition,RewardID1,Name1_(Memo),RewardQuantity1,RewardID2,Name2_(Memo),RewardQuantity2,RewardID3,Name3_(Memo),RewardQuantity3
몬스터 얻기,몬스터가 좋아!,다양한 몬스터를 얻으세요.,5,20001,재화,100,,,,,,
몬스터 얻기,몬스터가 좋아!,다양한 몬스터를 얻으세요.,10,20001,재화,300,,,,,,
몬스터 얻기,몬스터가 좋아!,다양한 몬스터를 얻으세요.,15,20001,재화,1000,,,,,,
몬스터 얻기,몬스터가 좋아!,다양한 몬스터를 얻으세요.,30,20001,재화,5000,,,,,,
몬스터 얻기,몬스터가 좋아!,다양한 몬스터를 얻으세요.,50,20001,재화,9000,,,,,,
아이템 수집,노동의 맛,아이템을 회수하세요.,30,20001,재화,500,,,,,,
아이템 수집,노동의 맛,아이템을 회수하세요.,100,20001,재화,2000,,,,,,
아이템 수집,노동의 맛,아이템을 회수하세요.,200,20001,재화,4000,,,,,,
아이템 수집,노동의 맛,아이템을 회수하세요.,500,20001,재화,6000,,,,,,
아이템 수집,노동의 맛,아이템을 회수하세요.,1000,20001,재화,8000,,,,,,
인기도 얻기,나는야 인기인~,친구에게 하트를 받으세요.,1,20001,재화,100,,,,,,
인기도 얻기,나는야 인기인~,친구에게 하트를 받으세요.,20,20001,재화,2500,,,,,,
재화 수집,대부호가 되는 꿈,골드를 보유하세요.,1000,20001,재화,200,,,,,,
재화 수집,대부호가 되는 꿈,골드를 보유하세요.,10000,20001,재화,1000,,,,,,
재화 수집,대부호가 되는 꿈,골드를 보유하세요.,100000,20001,재화,5000,,,,,,
