EventType,Location,GroupID,SceneRUID,Title,Title (참고),Description,Description (참고),op1_ID,op1_description,op1_description (참고),op2_ID,op2_description,op2_description (참고),op3_ID,op3_description,op3_description (참고),reward_Ratio
surprise,ground,1,cbd37447a35e4b588f2caf1edc074c17,Event_title_1,자연의 소리,Event_description_1_1,"""오늘의 일과 끝!""\n\n""매번 같은 일과인데도 이렇게 땀을 흘리니 원..""\n\n냉장고를 열어서 시원한 수박을 꺼낸 뒤\n농장을 둘러본다.",2,Event_skip_page,넘기기,,,,,,,
,,1,,,,Event_description_1_2,초원 끝자락에 풀푸리가 멍하니 하늘을 바라보며 명상에 잠긴 모습이 보인다.\n\n어제 선물로 준 헤드셋을 끼고 있는 것 같다.\n\n노래를 듣고 있는 건가?,3,Event_skip_page,넘기기,,,,,,,
,,1,,,,Event_description_1_3,"음.. 그게 아니라면 인기 아이돌의 팬이라도\n된 걸까?\n\n""그렇다 할지라도.. 더 많은 시간을 \n함께 보낸 건 나라구!""\n\n괜히 심술이 난다. ",4,Event_dialogue_1,장난을 친다.,5,Event_dialogue_2,궁금한데..,6,Event_dialogue_3,"뭐, 괜찮아!",
,,1,,,,Event_description_1_4,"""우왁!!""\n\n깜짝 놀란 풀푸리.\n\n약이 잔뜩 오른 표정을 짓더니\n저 멀리로 도망쳤다.",,,,,,,,,,
,,1,,,,Event_description_1_5,가까이 다가가서 헤드셋에 귀를 대본다.\n\n이런...\n\n\n풀푸리는 아무것도 듣고 있지 않았다!!,,,,,,,,,,
,,1,,,,Event_description_1_6,풀푸리만의 명상시간을 존중해 주기로 했다. \n\n\n풀푸리 옆에 가서 조용히 앉는다.\n\n내 마음도 서서히 고요해짐을 느낀다.,,,,,,,,,,100
surprise,ground,2,a291653bc49e4494bc2da9a99ba65236,Event_title_2,빨간색 컵,Event_description_2_1,"""응? 푸리가 컵을 보면서 화를 내고 있잖아?!""\n\n푸리가 말하기를, 어제 컵을 사올 때만 하더라도 분명히 빨간색이었다고 한다.\n\n푸리의 얘기를 듣고 난 후\n컵을 아무리 살펴봐도 검은색으로 보인다. ",8,Event_skip_page,넘기기,,,,,,,
,,2,,,,Event_description_2_2,"푸리가 말하기를,\n이 컵은 며칠 뒤 친구에게 줄 생일 선물이고\n그 친구는 빨간색을 제일 좋아한다.\n\n때문에 이 문제를 가볍게 넘길 수가 없다는 것이다. ",9,Event_dialogue_4,검은색이 더 예뻐.,10,Event_dialogue_5,뭐가 묻었나?,11,Event_dialogue_6,직접 꾸며볼까?,
,,2,,,,Event_description_2_3,푸리가 검은색 컵 따위는 필요없다며\n엉엉 눈물을 쏟았다.\n\n마음이 조금씩 아파온다.,,,,,,,,,,
,,2,,,,Event_description_2_4,"""뭐가 묻어있는 건 아닐까?""\n\n물에 넣고 컵을 닦아보는데\n컵이 점점 빨간색으로 변하는 게 아닌가!\n\n이런, 온도에 따라 색이 바뀌는 컵이었다.\n\n푸리는 친구가 더 좋아할 것 같다면서\n안도의 한숨을 내쉬었다.",,,,,,,,,,100
,,2,,,,Event_description_2_5,"마침 집에 아크릴 물감이 있다.\n\n빨간색으로 예쁘게 색칠도 하고 그림도 그려본다.\n\n푸리는 더 특별한 컵이 된 것 같다면서 기뻐했다.\n\n""얼마나 좋은 일인가!""",,,,,,,,,,100
surprise,ground,3,ff22d71772514debb865f856da90e3f3,Event_title_3,여름방학 계획표,Event_description_3_1,"""룰루 랄라~""\n\n푸리가 콧노래를 부르며 종이 위에\n원을 그리고 있다.\n\n""푸리야, 뭐 하고 있니?""",13,Event_skip_page,넘기기,,,,,,,
,,3,,,,Event_description_3_2,"이번 방학을 알차게 보내기 위한\n계획표를 만들고 있다는데..\n\n'아침 6시 기상, 하루 8시간 책 읽기, 매일매일 운동하기...'\n\n심지어 잠에 들기 직전까지 공부할 작정인 것 같다.",14,Event_skip_page,넘기기,,,,,,,
,,3,,,,Event_description_3_3,"""아무리 봐도 불가능하잖아?!""\n\n음.. 오히려 계획을 지키지 못해서\n스스로를 자책할 수도 있을 듯 한데..\n\n""라떼도 저런 시절이 있었기도 하고..""\n\n어떻게 해야 할까?",15,Event_dialogue_7,훈수를 두자.,16,Event_dialogue_8,"뭐, 귀엽잖아.",,,,
,,3,,,,Event_description_3_4,"""이건 도저히 못 참아 주겠어.""\n\n지킬 수도 없는 계획만 잔뜩이라니! \n\n나도 모르게 푸리에게 화를 내고 말았다.\n\n푸리가 조금 기죽은 듯 보인다.",,,,,,,,,,
,,3,,,,Event_description_3_5,"""어릴 때 누구나 그러지 않았는가?""\n\n방학이 시작되면\n제일 먼저 무리한 계획표를 짜는 거 말이다. \n\n시행착오를 통해 푸리가 스스로 성장할 수 있도록\n기다리는 게 어떨까.",,,,,,,,,,100
surprise,ground,4,b92a3e9b3548451c985f7529910df65e,Event_title_4,화분과 씨앗 ,Event_description_4_1,"푸리가 신난 얼굴을 하고\n무언가를 든 채 뛰어오는 모습이 보인다.\n\n갈색 화분과 씨앗 서너 개가 들어있는 봉투를 내미는데...\n\n푸리가 말하기를,\n이걸 심으면 아주 맛난 과일이 열린다고 한다.",18,Event_skip_page,넘기기,,,,,,,
