name,name (참고),generation,type,ruid,description,cost,max_quantity,usePossible,isBookSync,etc,point
Item_1,골드,,시스템,c9fa47f5a8814e9aa49767b45c2bcf75,,,,,,,
Item_2,캔디,,시스템,9fb7f98f86e745ccb41b5750ecd53fbc,,,,,,,
Item_3,루비,,시스템,8e0d58044c7c4280a12405c90969d9f5,,,,,,,
Item_4,아기 밥,,요리,b7b93d43475448b58ca8998744ea8c5e,x,10,99,o,,요리,10
Item_5,달콤 포도,,요리,3697028a1dd646ee8b671ec95684d5e0,x,10,99,o,,요리,50
Item_6,꿈 사탕,,요리,bd94d6b4df5f4a7b8c7a0b9a5cd05c70,x,10,99,o,,요리,150
Item_7,간식 바구니,,소모품,8db920758b25444bbc0528a3b6c954f9,x,10,99,o,,가챠,GachaDataSet_FoodBasket
Item_8,간식 킷,,소모품,db6a39dc4e7e464b80c889545078ced2,x,10,99,o,,가챠,GachaDataSet_FoodKit
Item_9,간식 상자,,소모품,34dae9b993f8488dbf64f2aa65f2283b,x,10,99,o,,가챠,GachaDataSet_FoodBox
Item_10,밀가루,1,식재료,b422d1a8659e497fb38b150961337a83,x,15,99,o,,A,
Item_11,달걀,1,식재료,5f47e85c026e46f7801bb3a858071c08,x,15,99,o,,B,
Item_12,감자,1,식재료,e0e0f770561f43218df86467fba7350a,x,15,99,o,,C,
Item_13,쌀,2,식재료,ba588374010f4dd3989b7cddf1e732d5,x,60,99,o,,A,
Item_14,기름,2,식재료,e13cd8831847413e93f9639725344862,x,60,99,o,,B,
Item_15,치즈,2,식재료,9ecb5c68262c4f11bcd1b89a5c45068a,x,60,99,o,,C,
Item_16,설탕,3,식재료,77d8f43e16014986947eb0e86321f770,x,240,99,o,,A,
Item_17,생선,3,식재료,b75bd297a9fe40749ad6347a37f5ed6f,x,240,99,o,,B,
Item_18,초콜릿,3,식재료,b3cf0bd4fad348228c201badfea4e995,x,240,99,o,,C,
Item_19,채소,4,식재료,93e3b19505904ef995c2077c927014d8,x,960,99,o,,A,
Item_20,우유,4,식재료,5e9a6e2418e648e9974851f295ced49e,x,960,99,o,,B,
Item_21,과일,4,식재료,f351653c7b354f499b0d20ad9022eec2,x,960,99,o,,C,
Item_22,닭고기,5,식재료,bd4f3525768b48dba076838834a25d34,x,3840,99,o,,A,
Item_23,신선한 고기,5,식재료,7605641020154e27a7e4e9dc3cab06a1,x,3840,99,o,,B,
Item_24,고춧가루,5,식재료,e94bd2a64b80486291ae2e06723b5f94,x,3840,99,o,,C,
Item_25,새우튀김,1,요리,f4d56c14b2c54a69bcff27e25122b103,x,10,1,o,,1,80
Item_26,핫도그,1,요리,a7249fb426c84e32bdda573ffadc6503,x,10,1,o,,2,100
Item_27,야채 김밥,1,요리,605e75794326455ea556f4f4deac6bd2,x,10,1,o,,3,150
Item_28,떡볶이,1,요리,adb25899e7334c44b20644ede8fa9512,x,10,1,o,,4,200
Item_29,핫피스,2,요리,189ede8189c8493ea929fd1347422576,x,10,1,o,,5,320
Item_30,요거트,2,요리,2d74371dd6d446faa5d7f25dbac01e2f,x,10,1,o,,6,400
Item_31,라면,2,요리,8c2d70ec3c704530a22eb9ba518ba171,x,10,1,o,,7,600
Item_32,에너지 음료,2,요리,40e61a4b9f884852a6e51eabd024180e,x,10,1,o,,8,800
Item_33,아메리카노,3,요리,7d6cad9a38c04dd0b7f9d8b81bb065f4,x,10,1,o,,9,1280
Item_34,초코 머핀,3,요리,20da180caa9e4c239b7c19a077c84668,x,10,1,o,,10,1600
Item_35,초코 쿠키,3,요리,7281287772504ad3887025e7f69556db,x,10,1,o,,11,2400
Item_36,핫 라떼,3,요리,2587a70950a742df9c060f4e3373cddb,x,10,1,o,,12,3200
