ing1,ing1 (참고용),ing2,ing2 (참고용),reward,reward(참고용)
1,푸리,1,푸리,6,풀푸리
3,핍,3,핍,7,앵글독
2,별이,2,별이,8,별가리
4,라라,4,라라,9,리라
5,꼬미,5,꼬미,10,꼬미꼬
2,벼리,4,라라,11,뽀미
2,벼리,5,꼬미,12,화난 별
1,푸리,5,꼬미,13,펀치냥
1,푸리,3,핍,14,미니
4,라라,3,핍,15,까미
6,풀푸리,6,풀푸리,21,포니
7,앵글독,7,앵글독,22,글라스독
8,별가리,8,별가리,23,별별가리
9,리라,9,리라,24,별파리
10,꼬미꼬,10,꼬미꼬,25,두리두
11,뽀미,11,뽀미,26,뽐뽀미
12,화난 별,12,화난 별,27,픽시
13,펀치냥,13,펀치냥,28,펀치냐옹
14,미니,14,미니,29,다라미
15,까미,15,까미,30,모비커
16,모모,16,모모,31,무무
17,뱀뱀,17,뱀뱀,32,스네코
18,보나파,18,보나파,33,스쿠파
19,액체괴물,19,액체괴물,34,플라이
20,아루,20,아루,35,아루퀸
9,리라,19,액체괴물,38,물모리
16,모모,15,까미,39,검무
8,별가리,10,꼬미꼬,40,롱뇽 
14,미니,15,까미,41,다크아이
6,풀푸리,10,꼬미꼬,42,파랑새
14,미니,13,펀치냥,43,잎새 여우
15,까미,9,리라,46,스푸쿠
8,별가리,16,모모,48,덕구
20,아루,19,액체괴물,50,타이모
6,풀푸리,13,펀치냥,53,파이어 루니
14,미니,16,모모,56,토리
9,리라,11,뽀미,59,라바
16,모모,13,펀치냥,60,유우
21,포니,21,포니,61,페루니
22,글라스독,22,글라스독,62,키드 발록
23,별별가리,23,별별가리,63,연두콩
24,별파리,24,별파리,64,우파루
25,두리두,25,두리두,65,세모리
43,잎새 여우,43,잎새 여우,66,사미호
28,펀치냐옹,22,글라스독,67,빨강 머리
54,파투스,29,다라미,68,새싹 두더지
46,스푸쿠,46,스푸쿠,69,망또
55,동그리,39,검무,70,토실이
47,네모 개굴,47,네모 개굴,71,연꽃 개굴
32,스네코,32,스네코,72,목도룡
51,아기토끼,51,아기토끼,73,만세 토끼
59,라바,59,라바,74,푸르릉
31,무무,31,무무,75,먼지떨이
33,스쿠파,33,스쿠파,76,펭퀸
42,파랑새,42,파랑새,79,날푸리
52,미르,41,다크아이,80,검룡
59,라바,38,물모리,81,보라담기
58,아이스,46,스푸쿠,82,삐뚜리
37,뿌나,37,뿌나,83,순돌프
56,토리,45,도치,85,낙엽돌이
31,무무,41,다크아이,86,어미부엉
50,타이모,28,펀치냐옹,88,날개냥
54,파투스,54,파투스,89,혹선인장
35,아루퀸,35,아루퀸,90,아루킹
34,플라이,27,픽시,93,씽씽벌
48,덕구,33,스쿠파,95,바다털이
48,덕구,39,검무,99,아기키위
41,다크아이,60,유우,100,화나냥
61,페루니,61,페루니,101,페페루
65,세모리,65,세모리,102,레드 드래곤
63,연두콩,63,연두콩,103,오우르스
64,우파루,64,우파루,104,나오리
62,키드 발록,62,키드 발록,105,발록
73,만세 토끼,73,만세 토끼,106,롱플라워
84,쌍둥바위,84,쌍둥바위,107,쌍둥나무
74,푸르릉,74,푸르릉,108,퍼플 페리
75,먼지떨이,75,먼지떨이,109,모예
77,소림팬더,77,소림팬더,110,무공
70,토실이,100,화나냥,111,매직 피기
85,낙엽돌이,75,먼지떨이,112,올맨 보스
66,사미호,66,사미호,116,미호
97,키드 자쿰,97,키드 자쿰,120,자쿰
82,삐뚜리,72,목도룡,121,양철모자
79,날푸리,65,세모리,123,불사조
80,검룡,80,검룡,124,흑룡
85,낙엽돌이,89,혹선인장,125,잎새돌이
84,쌍둥바위,65,세모리,126,멜빵 골렘
87,서서냥,88,날개냥,128,피리냥
67,빨강 머리,75,먼지떨이,130,두발 늑대
