lv,objective,description,content,condition,reward,reward (note),rewardQuantity
1,Quest_normal_1_objective,Quest_normal_1_description,Quest_normal_1_content,3,20001,재화,80
1,Quest_normal_2_objective,Quest_normal_2_description,Quest_normal_2_content,5,20001,재화,80
2,Quest_normal_3_objective,Quest_normal_3_description,Quest_normal_3_content,10,20001,재화,185
2,Quest_normal_4_objective,Quest_normal_4_description,Quest_normal_4_content,5,20001,재화,185
3,Quest_normal_5_objective,Quest_normal_5_description,Quest_normal_5_content,3,20001,재화,211
3,Quest_normal_6_objective,Quest_normal_6_description,Quest_normal_6_content,5,20001,재화,211
4,Quest_normal_7_objective,Quest_normal_7_description,Quest_normal_7_content,5,20001,재화,713
4,Quest_normal_8_objective,Quest_normal_8_description,Quest_normal_8_content,2,20001,재화,713
5,Quest_normal_9_objective,Quest_normal_9_description,Quest_normal_9_content,3,20001,재화,1214
5,Quest_normal_10_objective,Quest_normal_10_description,Quest_normal_10_content,2,20001,재화,1214
6,Quest_normal_11_objective,Quest_normal_11_description,Quest_normal_11_content,35,20001,재화,1478
6,Quest_normal_12_objective,Quest_normal_12_description,Quest_normal_12_content,2,20001,재화,1478
7,Quest_normal_13_objective,Quest_normal_13_description,Quest_normal_13_content,5,20001,재화,1901
7,Quest_normal_14_objective,Quest_normal_14_description,Quest_normal_14_content,3,20001,재화,1901
8,Quest_normal_15_objective,Quest_normal_15_description,Quest_normal_15_content,10,20001,재화,3590
8,Quest_normal_16_objective,Quest_normal_16_description,Quest_normal_16_content,10,20001,재화,3590
9,Quest_normal_17_objective,Quest_normal_17_description,Quest_normal_17_content,1,20001,재화,5280
9,Quest_normal_18_objective,Quest_normal_18_description,Quest_normal_18_content,10,20001,재화,5280
10,Quest_normal_19_objective,Quest_normal_19_description,Quest_normal_19_content,1,20001,재화,7286
10,Quest_normal_20_objective,Quest_normal_20_description,Quest_normal_20_content,1,20001,재화,7286
11,Quest_normal_21_objective,Quest_normal_21_description,Quest_normal_21_content,20,20001,재화,18163
11,Quest_normal_22_objective,Quest_normal_22_description,Quest_normal_22_content,5,20001,재화,18163
12,Quest_normal_23_objective,Quest_normal_23_description,Quest_normal_23_content,1,20001,재화,27456
13,Quest_normal_24_objective,Quest_normal_24_description,Quest_normal_24_content,20,20001,재화,35482
13,Quest_normal_25_objective,Quest_normal_25_description,Quest_normal_25_content,3,20001,재화,35482
14,Quest_normal_26_objective,Quest_normal_26_description,Quest_normal_26_content,1,20001,재화,38438
15,Quest_normal_27_objective,Quest_normal_27_description,Quest_normal_27_content,20,20001,재화,48998
15,Quest_normal_28_objective,Quest_normal_28_description,Quest_normal_28_content,4,20001,재화,48998
16,Quest_normal_29_objective,Quest_normal_29_description,Quest_normal_29_content,15,20001,재화,50688
17,Quest_normal_30_objective,Quest_normal_30_description,Quest_normal_30_content,55,20001,재화,57446
17,Quest_normal_31_objective,Quest_normal_31_description,Quest_normal_31_content,40,20001,재화,57446
18,Quest_normal_32_objective,Quest_normal_32_description,Quest_normal_32_content,40,20001,재화,64205
