StageId,ManagementLevel,VIPOrderReward,MinSpawnDelay,MaxSpawnDelay,SpeedUpSpawnCustomerCount
1,0,0,3,5,3
1,1,20,2.5,4,4
1,2,25,2,3,5
1,3,30,1.5,2,6
1,4,35,1.35,1.9,7
1,5,40,1.2,1.8,8
2,0,0,3,5,3
2,1,20,2,4,4
2,2,30,1.5,3,5
2,3,40,1.2,3,6
2,4,50,1,2,7
2,5,60,0.8,1.5,8
3,0,0,3,5,3
3,1,20,2,4,5
3,2,40,1.5,3,7
3,3,60,1,3,9
3,4,80,0.8,2,11
3,5,100,0.6,1.5,13
4,0,0,3,5,3
4,1,20,2,4,5
4,2,40,1.5,3,9
4,3,60,1,3,13
4,4,80,0.7,2,18
4,5,100,0.4,1.5,22
5,0,0,3,5,3
5,1,40,2,4,5
5,2,80,1,3,10
5,3,100,0.55,2,15
5,4,150,0.45,1.8,20
5,5,300,0.3,1.7,30
6,0,0,3,5,3
6,1,50,2,4,5
6,2,100,1,3,10
6,3,200,0.55,2,15
6,4,300,0.45,1.8,20
6,5,500,0.3,1.7,30
7,0,0,2,4,3
7,1,50,1.5,3.5,5
7,2,100,1.2,3,10
7,3,200,0.55,2,15
7,4,300,0.45,1.8,20
7,5,500,0.3,1.7,30
8,0,0,3,4,3
8,1,50,2,3.5,5
8,2,100,1.2,2.8,10
8,3,200,0.55,2,15
8,4,300,0.45,1.6,20
8,5,500,0.3,1.5,30
9,0,0,3,5.5,3
9,1,50,2,4.5,5
9,2,100,1.2,4,10
9,3,200,0.6,3,15
9,4,300,0.45,1.5,20
9,5,500,0.3,1.2,30
