MaintenanceType,MaintenanceCost
ExpensionLevel1,5
ExpensionLevel2,80
ExpensionLevel3,700
ExpensionLevel4,4000
ExpensionLevel5,12000
ExpensionLevel6,30000
InteriorLevel0,5
InteriorLevel1,20
InteriorLevel2,200
InteriorLevel3,1000
InteriorLevel4,5000
InteriorLevel5,12000
InteriorLevel6,20000
GrillCount1,5
GrillCount2,20
GrillCount3,300
GrillCount4,1000
CounterCount1,5
CounterCount2,20
CounterCount3,300
CounterCount4,1000
DisplayCount1,5
DisplayCount2,20
DisplayCount3,300
DisplayCount4,1000
GrillLevel1,5
GrillLevel2,60
GrillLevel3,150
GrillLevel4,500
GrillLevel5,600
CounterLevel1,5
CounterLevel2,60
CounterLevel3,150
CounterLevel4,500
CounterLevel5,600
DisplayLevel1,10
DisplayLevel2,120
DisplayLevel3,300
DisplayLevel4,1000
DisplayLevel5,1200
DecoLevel1,12
DecoLevel2,32
DecoLevel3,132
DecoLevel4,332
DecoLevel5,632
DecoLevel6,1132
DecoLevel7,2132
DecoLevel8,3632
DecoLevel9,4832
DecoLevel10,6032
DecoLevel11,7232
DecoLevel12,9232
DecoLevel13,11232
DecoLevel14,13232
DecoLevel15,17232
DecoLevel16,24232
