Id,OpenEvent,Timing,CompleteAchiId,ContentsKey,UIOpenType,UIOpenTypeValue
1,T1003,0,90027001,EventToDo1,Upgrade,10005
2,T1004,1,90018001,EventToDo2,Upgrade,20003
3,T1006,0,90028001,EventToDo3,Upgrade,10003
4,T1006,0,90029001,EventToDo4,Employment,
5,T1006,1,90019001,EventToDo5,Upgrade,10001
6,T1006,1,90020001,EventToDo6,Employment,
7,T1006,1,90011002,EventToDo7,EmployeeManage,
8,T1101,1,90005001,EventToDo8,Recipe,
9,T1301,1,90006001,EventToDo9,Training,
10,T1801,1,90021001,EventToDo10,Upgrade,20002
11,T1401,1,90015001,EventToDo11,Management,
12,T1802,1,90008001,EventToDo12,Upgrade,20001
13,T1803,1,10014001,EventToDo13,Upgrade,20004
14,T1501,1,90034001,EventToDo14,Trial,
15,T1601,1,90030001,EventToDo15,VIPOrder,
