Level,MoveSpeed
1,0.3
2,0.37
3,0.44
4,0.51
5,0.58
6,0.65
7,0.72
8,0.79
9,0.86
10,0.93
11,1
12,1.07
13,1.14
14,1.21
15,1.28
16,1.35
17,1.42
18,1.49
19,1.56
20,1.63
21,1.7
22,1.77
23,1.84
24,1.91
25,1.98
26,2.05
27,2.12
28,2.19
29,2.26
30,2.33
31,2.4
32,2.47
33,2.54
34,2.61
35,2.68
36,2.75
37,2.82
38,2.89
39,2.96
40,3.03
41,3.1
42,3.17
43,3.24
44,3.31
45,3.38
46,3.45
47,3.52
48,3.59
49,3.66
50,3.73
51,3.8
52,3.87
53,3.94
54,4.01
55,4.08
56,4.15
57,4.22
58,4.29
59,4.36
60,4.43
61,4.5
62,4.57
63,4.64
64,4.71
65,4.78
66,4.85
67,4.92
68,4.99
69,5.06
70,5.13
