Id,Type,Target,NameKey,Grade1Value,Grade2Value,Grade3Value,Grade4Value,Grade5Value,DescKey,DescValueType,IconRUID
10001,Cook,,SkillName10001,1,2,3,4,5,SkillDesc10001,NumInt,6b098eb1345348a59e58ecbc60d0ac5e
10002,Cook,,SkillName10002,2,4,6,8,10,SkillDesc10002,NumInt,adddb55db3204351ad110f628f6e76ef
20001,Serving,,SkillName20001,1,2,3,4,5,SkillDesc20001,NumInt,ffbe2c7b196a47519287b78f01745943
20002,Serving,,SkillName20002,2,4,6,8,10,SkillDesc20002,NumInt,6b02d72186c44bc7bdff94b8f47b517d
30001,Recipe,Meat,SkillName30001,0.1,0.2,0.3,0.4,0.5,SkillDesc30001,NumPercent,f4c70efd972548e589a75b719f765277
30002,Recipe,Chicken,SkillName30002,0.1,0.2,0.3,0.4,0.5,SkillDesc30002,NumPercent,16987a13317d4d419003902b870d16ab
30003,Recipe,Seafood,SkillName30003,0.1,0.2,0.3,0.4,0.5,SkillDesc30003,NumPercent,569794343ed942249d597b8c16da28ab
30004,Recipe,Veggie,SkillName30004,0.1,0.2,0.3,0.4,0.5,SkillDesc30004,NumPercent,4b2a2b4a31cf453db8dd3a3dbf13b1aa
30005,Recipe,Spicy,SkillName30005,0.1,0.2,0.3,0.4,0.5,SkillDesc30005,NumPercent,8a8853f922ad44abb0ec40d6f714fe04
30006,Recipe,,SkillName30006,5,7,9,12,15,SkillDesc30006,NumInt,11b81f81aad04571ad67d5e83645a6cb
40001,Training,,SkillName40001,2,4,6,8,10,SkillDesc40001,NumInt,7eb59e5184f84f4a8da13afa1f6fdf48
40002,Training,,SkillName40002,2,4,6,8,10,SkillDesc40002,NumInt,7e1b6007a4d64822be9bfc5186ce693f
40004,Training,,SkillName40004,0.1,0.2,0.3,0.4,0.5,SkillDesc40004,NumPercent,b8aa2882b6c24eeabb6ab74eefb2aec6
40005,Training,,SkillName40005,0.2,0.4,0.6,0.8,1,SkillDesc40005,NumPercent,54f62bf596d6421db4a217af094875e8
