Level,CookSpeed,CookCount,ServingSpeed,ServingCount
1,6,2,7,2
2,12,2,13,2
3,19,3,21,3
4,27,3,31,3
5,36,3,45,3
6,46,4,63,4
7,57,4,85,4
8,69,4,111,4
9,82,5,141,5
10,96,5,171,5
11,111,5,201,5
12,127,6,241,6
13,143,6,281,6
14,159,6,331,6
15,175,7,391,7
16,191,7,466,7
17,207,7,541,7
18,225,8,616,8
19,245,8,691,8
20,270,8,766,8
21,300,9,841,9
22,340,9,916,9
23,390,9,991,9
24,450,10,1066,10
25,510,10,1146,10
26,570,10,1216,10
27,630,11,1286,11
28,700,11,1356,11
29,770,11,1426,11
30,840,12,1496,12
31,910,12,1566,12
32,980,12,1646,12
33,1050,13,1726,13
34,1120,13,1806,13
35,1190,13,1886,13
36,1260,14,1966,14
37,1330,14,2046,14
38,1400,14,2116,14
39,1470,15,2186,15
40,1540,15,2256,15
41,1610,15,2326,15
42,1680,16,2396,16
43,1750,16,2476,16
44,1820,16,2556,16
45,1890,17,2636,17
46,1960,17,2716,17
47,2030,17,2796,17
48,2100,18,2876,18
49,2170,18,2956,18
50,2240,18,3036,18
51,2310,19,3116,19
52,2380,19,3196,19
53,2450,19,3276,19
54,2520,20,3346,20
55,2590,20,3416,20
56,2660,20,3486,20
57,2730,21,3556,21
58,2800,21,3626,21
59,2870,21,3696,21
60,2940,22,3766,22
61,3010,22,3836,22
62,3080,22,3906,22
63,3150,23,3976,23
64,3220,23,4046,23
65,3290,23,4116,23
66,3360,24,4186,24
67,3430,24,4256,24
68,3500,24,4326,24
69,3570,25,4396,25
70,3640,26,4466,26
71,3710,26,4536,26
72,3780,26,4606,26
73,3850,26,4676,26
74,3920,26,4746,26
75,3990,26,4816,26
76,4060,26,4886,26
77,4130,26,4956,26
78,4200,26,5026,26
79,4270,26,5096,26
80,4340,26,5166,26
81,4410,26,5236,26
82,4480,26,5306,26
83,4550,26,5376,26
84,4620,26,5446,26
85,4690,26,5516,26
86,4760,26,5586,26
