Level,Exp,ExpSum
1,0,0
2,10,10
3,20,30
4,30,60
5,40,100
6,50,150
7,70,220
8,90,310
9,110,420
10,130,550
11,160,710
12,190,900
13,220,1120
14,250,1370
15,280,1650
16,320,1970
17,360,2330
18,400,2730
19,440,3170
20,480,3650
21,530,4180
22,580,4760
23,630,5390
24,680,6070
25,730,6800
26,790,7590
27,850,8440
28,910,9350
29,970,10320
30,1050,11370
31,1070,12440
32,1090,13530
33,1110,14640
34,1130,15770
35,1150,16920
36,1170,18090
37,1190,19280
38,1210,20490
39,1230,21720
40,1250,22970
41,1280,24250
42,1310,25560
43,1340,26900
44,1370,28270
45,1400,29670
46,1440,31110
47,1480,32590
48,1520,34110
49,1560,35670
50,1600,37270
51,1650,38920
52,1700,40620
53,1750,42370
54,1800,44170
55,1850,46020
56,1910,47930
57,1970,49900
58,2030,51930
59,2090,54020
60,2150,56170
61,2220,58390
62,2290,60680
63,2360,63040
64,2430,65470
65,2500,67970
66,2600,70570
67,2700,73270
68,2800,76070
69,2900,78970
70,3000,81970
71,3100,85070
