Index,Type,NameKey,RecipeRUID,IconRUID,Width,Height,PosX,PosY,UpperPosY,GetCondition,ConditionValue,RelatedItemId
1,Top,BunSkinName01,2beb8366aebb493f89bdbd34b4fb47d8,e6d93de8652549c68927a0f5d370f1e5,84,52,,-24,-24,StagePass,11,K0001
1,Bottom,BunSkinName01,906be79c7cf54cb69595169d547088b1,e6d93de8652549c68927a0f5d370f1e5,92,20,22,4,-18,StagePass,11,K0001
2,Top,BunSkinName02,5fb0922dc4fa4f6f866b316d2db8db71,d99bba38be714a0a96aa1915f78cd691,84,52,,-24,-24,Buy,5000,K0002
2,Bottom,BunSkinName02,4c6341f45866457e812641684d31d915,d99bba38be714a0a96aa1915f78cd691,92,20,22,4,-18,Buy,5000,K0002
3,Top,BunSkinName03,dcd0748da1f34d569e7884452305b3e1,b532cf02f02d4c5c84011c1f5988c4cd,84,40,,,-12,StagePass,12,K0003
3,Bottom,BunSkinName03,0b11e6b2ee1a4ad6851cf5c0db666f44,b532cf02f02d4c5c84011c1f5988c4cd,96,24,26,,-28,StagePass,12,K0003
4,Top,BunSkinName04,5160154883ca4e189ee8a6dffcc5cccb,f5b5811af91d4708bbca767fe9f3a7e8,84,44,,,-24,Buy,5000,K0004
4,Bottom,BunSkinName04,687629e43fe84d27bc2e16df08ef04d6,f5b5811af91d4708bbca767fe9f3a7e8,84,16,,,-3,Buy,5000,K0004
5,Top,BunSkinName05,d3e8562a6e764ae59e22227acde51da1,8127644a26e2420d944f515f4e5d723a,84,68,,-20,-90,Buy,5000,K0005
5,Bottom,BunSkinName05,493917cab4c84932864122a33e008633,8127644a26e2420d944f515f4e5d723a,80,16,,,-6,Buy,5000,K0005
6,Top,BunSkinName06,f3d2e5f648fc414fa1f38bc885038fc6,a4d13beb0f8c420f84fc1fec8f7e8dde,92,68,,-55,-40,PiggyBank,5,K0006
6,Bottom,BunSkinName06,833e742aebee4d9b9bbd1f7bccba99a6,a4d13beb0f8c420f84fc1fec8f7e8dde,80,16,,,-6,PiggyBank,5,K0006
7,Top,BunSkinName07,e5256de084c0466ca7d10a2e282841e8,4cac20e30ee04d1198188f483f7e71f1,116,64,,-8,-24,Buy,5000,K0007
7,Bottom,BunSkinName07,0313b151b30e4719a3a10740aba3f32e,4cac20e30ee04d1198188f483f7e71f1,80,16,,,-6,Buy,5000,K0007
8,Top,BunSkinName08,e0aa546d12d945148fd83489a763cf6b,f3cadeffb4a64167ac801011cc6b047b,92,68,,-55,-40,Buy,5000,K0008
8,Bottom,BunSkinName08,a05c9711a21449fb974c8e27c88b8aa2,f3cadeffb4a64167ac801011cc6b047b,80,16,,,-6,Buy,5000,K0008
9,Top,BunSkinName09,9605b2d529f946fdb31e8ef761bac8c6,031dd54a42124da1805f572cbd0381c2,88,64,,-8,-64,Buy,5000,K0009
9,Bottom,BunSkinName09,8f4661a45a2c47bda9084fbb298fa3bb,031dd54a42124da1805f572cbd0381c2,80,16,,,-6,Buy,5000,K0009
10,Top,BunSkinName10,9a999eb5301345ec93f139107925a3ec,f7840cfef96a4835b6ed343c99016a44,92,56,,-20,-60,Buy,5000,K0010
10,Bottom,BunSkinName10,6eb1b038f9bd4df482572107e143a9ae,f7840cfef96a4835b6ed343c99016a44,80,16,,,-6,Buy,5000,K0010
11,Top,BunSkinName11,ea0d492f623340279fcf24b29b15483b,29212317d148462486cfffbc177463e1,84,64,,-8,-90,Buy,5000,K0011
11,Bottom,BunSkinName11,ccc9a14d8ea84dffb4665c65993268e9,29212317d148462486cfffbc177463e1,80,16,,,-6,Buy,5000,K0011
12,Top,BunSkinName12,e4468e5057c84239ba06a0eda544a027,ee3fcdcc8acf4882921141624209bf0c,88,64,,4,-60,StagePass,22,K0012
12,Bottom,BunSkinName12,937631a6e35245009486724970494407,ee3fcdcc8acf4882921141624209bf0c,84,16,,,-2,StagePass,22,K0012
13,Top,BunSkinName13,078e3de5271b4dcd8c51b90b92448a74,1df0998e90184d2b8ccea22519af64a3,92,68,,-55,-40,Buy,5000,K0013
13,Bottom,BunSkinName13,4b3272096bf04a0cbe77f5ed8e1ab3a3,1df0998e90184d2b8ccea22519af64a3,80,16,,,-6,Buy,5000,K0013
14,Top,BunSkinName14,3cab18e110be4981beb1d520be9f7bff,997e28667a3144ce92b9062b6c1e910d,84,56,,-34,-40,StagePass,21,K0014
14,Bottom,BunSkinName14,800e73d1636b4b7a91ed7610f5f96380,997e28667a3144ce92b9062b6c1e910d,80,16,,,-6,StagePass,21,K0014
