StageId,ManagementLevel,StandardRewardHeart,RecommendedIngreGrade,RewardGrade1TasteGrade,RewardGrade2TasteGrade,RewardGrade3TasteGrade,RewardGrade4TasteGrade,RewardGrade5TasteGrade
1,1,1000,1,,,1,2,
1,2,2000,1,,1,2,3,
1,3,3000,1,1,2,3,4,
1,4,4000,1,1,2,3,4,
1,5,5000,1,1,2,3,4,
2,1,2000,1,,1,2,,
2,2,3000,1,1,2,3,4,
2,3,4000,1,2,3,4,5,
2,4,5000,2,3,4,5,6,
2,5,6000,2,4,5,6,7,
3,1,3000,1,,2,3,4,
3,2,4000,1,2,3,4,5,6
3,3,6000,2,3,4,5,6,7
3,4,6000,2,5,6,7,8,9
3,5,8000,2,6,7,8,9,10
4,1,3000,1,2,3,4,5,
4,2,5000,2,3,4,5,6,7
4,3,8000,2,4,5,6,7,8
4,4,8000,3,6,7,8,9,10
4,5,10000,3,8,9,10,11,12
5,1,5000,2,3,4,5,6,
5,2,7000,2,4,5,6,7,8
5,3,10000,2,6,7,8,9,10
5,4,13000,3,8,9,10,11,12
5,5,16000,3,9,10,11,12,13
6,1,5000,2,3,4,5,6,
6,2,7000,2,6,7,8,9,10
6,3,10000,3,8,9,10,11,12
6,4,13000,3,9,10,11,12,13
6,5,16000,3,11,12,13,14,15
7,1,6000,2,5,6,7,8,
7,2,8000,3,6,7,8,9,10
7,3,11000,3,8,9,10,11,12
7,4,15000,3,10,11,12,13,14
7,5,18000,3,12,13,14,15,16
8,1,7000,1,5,6,7,8,
8,2,9000,1,7,8,9,10,11
8,3,12000,2,9,10,11,12,13
8,4,18000,2,11,12,13,14,15
8,5,20000,3,13,14,15,16,17
9,1,8000,3,5,6,7,8,
9,2,10000,3,7,8,9,10,11
9,3,15000,3,9,10,11,12,13
9,4,20000,3,11,12,13,14,15
9,5,24000,3,14,15,16,17,18
