Id,CategoryKey,Color,IconRuid
HI0001,Cap,Red,thumbnail://a133254e0cce45179e74d864291d2874
HI0002,Cape,Red,07ea609242074df599bd28d4e49b212e
HI0003,Potion,Red,2463dcc9de1e43bb811626a7b17d00f7
HI0004,Flower,Red,1a82cf0c0a8246609b815070acde8a93
HI0005,Bag,Red,19c425f3166f4904a63280fac2d8e188
HI0006,Box,Red,2a9ac98c8c8c4d109ebc6c8088f68e35
HI0007,Crayon,Red,315ba6d1a69a405e8f0a08bf695824a4
HI0008,Ribbon,Red,bda3fa8698e44515b7828895e3e6c3bf
HI0009,Bead,Red,c05e1c54352e444cba00ed8e8802a2b8
HI0010,Feather,Red,9614606d9f034f10a84f00657c915156
HI0011,Fruit,Red,5dba0f9ab6f14dec99c37af645d4c7e7
HI0012,Cap,Black,thumbnail://c208edc50fa742eda81aefdbacbb3044
HI0013,Cape,Black,thumbnail://04458a90640c424bbbe3921952dda263
HI0014,Potion,Black,25a5f001df3743b9a3f0c89fb366f163
HI0015,Flower,Black,847edb23868049df8ddfde5b77f046be
HI0016,Bag,Black,00b0afed369f494893f365ba72e0b361
HI0017,Box,Black,448e4aaadd154dd1ab29b4116aea80b9
HI0018,Crayon,Black,faf04c8ccede4c0a9b14ef3721f234e1
HI0019,Ribbon,Black,304845558bef4d24abb52d607c1a21b7
HI0020,Bead,Black,00e6061f860f42cb94627ce814344705
HI0021,Feather,Black,2f85a12d995540f495f8bf091d98231b
HI0022,Fruit,Black,a342f1e3eed242839e498c4e09ea1b54
HI0023,Cap,Blue,thumbnail://a9fb7b4aa08d4d9ab54920fe76b647f0
HI0024,Cape,Blue,0745de2f8c9d4f51b88a340618dcacdb
HI0025,Potion,Blue,71c945e50aa24adc9f9e5031450e78f2
HI0026,Flower,Blue,447b4825b158495db64d17f986624063
HI0027,Bag,Blue,84306f9a149d4c1cbcaabacb55b1083b
HI0028,Box,Blue,70f8e1031af0464ca56a44a357dfc1fd
HI0029,Crayon,Blue,7547ce034ff4464b9580885e82b939b4
HI0030,Ribbon,Blue,29d2efec8b3d46d4bc54a47c6149926f
HI0031,Bead,Blue,e93d684797954f059ea1134f85a13185
HI0032,Feather,Blue,269423b931c1493ca490e96515343517
HI0033,Fruit,Blue,f881dfa3b7df4334b3146247a0d888f7
HI0034,Cap,Green,thumbnail://436db4846f09492da78e369655fd0f48
HI0035,Cape,Green,thumbnail://a7651f5bc6034bcda63101867490e8d3
HI0036,Potion,Green,03b3fce3109d4e078b661ab80f005b45
HI0037,Flower,Green,c667647ff7c44b6ba46c49ed65800886
HI0038,Bag,Green,2874780f917249faa844348c4a02981d
HI0039,Box,Green,1af7368e3fb54e9eb01d1b3a8d6bfe08
HI0040,Crayon,Green,5458950124e24255a38c09c13b3dc97e
HI0041,Ribbon,Green,0a994c78c196471abbf8a441f64e877a
HI0042,Bead,Green,23d0c289d6324531bc11192e9ea0e7d4
HI0043,Feather,Green,e7ed169beef043df8405dfa124705cb1
HI0044,Fruit,Green,ab4933da8d81455d8ea8f8ca532e40cf
HI0045,Cap,Yellow,thumbnail://fae4b56e9d8544bc92cf6dd0fad50586
HI0046,Cape,Yellow,ed6a14c3d1344f0888dd010d8b04a470
HI0047,Potion,Yellow,4aa28d1d9ed34f9cb14b2c352503a94f
HI0048,Flower,Yellow,1aaa9bf04763491c8435a80e69f960bd
HI0049,Bag,Yellow,ee54373fe3ae46cdaa922b229f1b3f55
HI0050,Box,Yellow,68bb11ab042046e6a727a8a2290f3500
HI0051,Crayon,Yellow,07470d8cd46e40f99972a7d2e8b8b12f
HI0052,Ribbon,Yellow,6cd329251eab473492ebe7e645fe1ecd
HI0053,Bead,Yellow,2ecf449ad3784946b30f29ed5c2637b8
HI0054,Feather,Yellow,b360f4f03ed74b5992fbe1e081dc5392
HI0055,Fruit,Yellow,19cb5a8c16654c00bfb6d153fadece14
HI0056,Cap,Purple,thumbnail://9b59c9d5895941459c3dc92dc8447b81
HI0057,Cape,Purple,thumbnail://d180955df13b4343b4ef82f6b54d6c32
HI0058,Potion,Purple,08d3b8d150f64a53a42b8fa3c2ca6228
HI0059,Flower,Purple,03a251e840dc496f9fe4fcb62d0b1ae4
HI0060,Bag,Purple,7749b6667c6140e6adf811f012a62226
HI0061,Box,Purple,fff5beebe47b4d5293746de9d146def9
HI0062,Crayon,Purple,8cfbb692952646bca43d4caf368a9b50
HI0063,Ribbon,Purple,a76f9c080d944384adcd5afcc079ca5d
HI0064,Bead,Purple,4bcf39ea313a4be6b4dcee5d43f2ead5
HI0065,Feather,Purple,014327de6e5a4e0d8d1634b40ee8e0fa
HI0066,Fruit,Purple,17a6f4d7ef10491abc61c05901c0664d
