StageId,ManagementLevel,PotionLevel,TrainingExpCookItemId,TrainingExpServingItemId,TrainingExpItemCount,AutoTrainingExpCookItemId,AutoTrainingExpServingItemId,AutoTrainingItemCount
1,0,1,M0001,M1001,4,M0001,M1001,2
1,1,1,M0001,M1001,6,M0001,M1001,3
1,2,2,M0002,M1002,4,M0001,M1001,2
1,3,3,M0003,M1003,4,M0002,M1002,2
1,4,4,M0004,M1004,4,M0003,M1003,2
1,5,4,M0004,M1004,6,M0003,M1003,3
2,0,1,M0001,M1001,4,M0001,M1001,2
2,1,1,M0001,M1001,6,M0001,M1001,3
2,2,2,M0002,M1002,4,M0001,M1001,2
2,3,3,M0003,M1003,4,M0002,M1002,2
2,4,4,M0004,M1004,4,M0003,M1003,2
2,5,4,M0004,M1004,6,M0003,M1003,3
3,0,2,M0002,M1002,4,M0001,M1001,2
3,1,2,M0002,M1002,6,M0001,M1001,3
3,2,3,M0003,M1003,4,M0002,M1002,2
3,3,4,M0004,M1004,2,M0003,M1003,1
3,4,4,M0004,M1004,4,M0003,M1003,2
3,5,4,M0004,M1004,6,M0003,M1003,3
4,0,3,M0003,M1003,2,M0002,M1002,1
4,1,3,M0003,M1003,4,M0002,M1002,2
4,2,4,M0004,M1004,4,M0003,M1003,2
4,3,5,M0005,M1005,4,M0004,M1004,2
4,4,5,M0005,M1005,6,M0004,M1004,3
4,5,5,M0005,M1005,8,M0004,M1004,4
5,0,3,M0003,M1003,2,M0002,M1002,1
5,1,3,M0003,M1003,4,M0002,M1002,2
5,2,4,M0004,M1004,4,M0003,M1003,2
5,3,5,M0005,M1005,4,M0004,M1004,2
5,4,5,M0005,M1005,6,M0004,M1004,3
5,5,5,M0005,M1005,8,M0004,M1004,4
6,0,3,M0003,M1003,4,M0002,M1002,2
6,1,3,M0003,M1003,6,M0002,M1002,3
6,2,4,M0004,M1004,6,M0003,M1003,3
6,3,5,M0005,M1005,8,M0004,M1004,4
6,4,5,M0005,M1005,10,M0004,M1004,5
6,5,5,M0005,M1005,14,M0004,M1004,7
7,0,4,M0004,M1004,4,M0003,M1003,2
7,1,4,M0004,M1004,6,M0003,M1003,3
7,2,4,M0004,M1004,8,M0003,M1003,4
7,3,5,M0005,M1005,8,M0004,M1004,4
7,4,5,M0005,M1005,10,M0004,M1004,5
7,5,5,M0005,M1005,14,M0004,M1004,7
8,0,4,M0004,M1004,4,M0003,M1003,2
8,1,4,M0004,M1004,6,M0003,M1003,3
8,2,4,M0004,M1004,8,M0003,M1003,4
8,3,5,M0005,M1005,8,M0004,M1004,4
8,4,5,M0005,M1005,10,M0004,M1004,5
8,5,5,M0005,M1005,14,M0004,M1004,7
9,0,4,M0004,M1004,4,M0003,M1003,2
9,1,4,M0004,M1004,6,M0003,M1003,3
9,2,4,M0004,M1004,8,M0003,M1003,4
9,3,5,M0005,M1005,8,M0004,M1004,4
9,4,5,M0005,M1005,10,M0004,M1004,5
9,5,5,M0005,M1005,14,M0004,M1004,7
