EventGroupId,Condition,IsRepeatable,funcTiming,funcReward1,funcReward2,funcReward3,funcReward4,funcReward5
C0002,,True,,,,,,
C0003,,True,,,,,,
C8001,,True,,ClearAllUI,,,,
C8002,,True,,ClearAllUI,,,,
C8003,,True,,ClearAllUI,,,,
C9001,,True,,,,,,
E0001,,True,,,,,,
F0001,,True,,,,,,
F9001,,True,,,,,,
D0001,,True,"AfterCondition, DayChanged",,,,,
D1001,,True,"AfterCondition, DayChanged",,,,,
D5001,,True,"AfterCondition, DayChanged",,,,,
D6001,,True,"AfterCondition, DayChanged",,,,,
Y0001,,True,,GetStoreRankingReward,,,,
Y0002,,True,,GetStoreRankingReward,,,,
Y0003,,True,,GetStoreRankingReward,,,,
Y0004,,True,,GetStoreRankingReward,,,,
Y1001,,True,,"CallbackRefreshUI, Ranking",,,,
T1001,90001001,,"AfterCondition, 0",,,,,
T1002,,,,ClearAllUI,"GetItem, G0006,40",,,
T1003,,,"OnTrigger, CustomerPurchase",,,,,
T1004,,,"OnTrigger, TipDrop",,,,,
T1005,,,"OnTrigger, CanUpgradeTipStorage",ClearAllUI,,,,
T1006,90018001,,"AfterCondition, DayChanged","GetItem, G0001,3500","GetItem, G0004,400","CallbackOpenUI, ToDo",,
T1101,,,"OnTrigger, ChickenTagFeedback","GetItem, G0001,2000",,,,
T1102,,,"OnTrigger, StartRecipeMaking",,,,,
T1103,,,"OnTrigger, EndRecipeMaking","CallbackEventTime, T1201,25",,,,
T1201,,,"OnEventCallback, T1103","GetItem, G0006,40","CallbackEventTime, T1301,10",,,
T1301,,,"OnEventCallback, T1201","GetItem, G0002,10","CallbackOpenUI, ToDo",,,
T1302,,,"OnTrigger, TrainingSettingEnter",,,,,
T1303,,,"OnTrigger, TrainingEnter",,,,,
T1304,,,"OnTrigger, TrainingGetHint",,,,,
T1305,,,"OnTrigger, TrainingSelectSpot",,,,,
T1306,,,"OnTrigger, TrainingSettingEnter2",,,,,
T1401,90006001,,"AfterCondition, DayChanged",,,,,
T1402,,,,,,,,
T1501,90015001,,"AfterCondition, DayChanged","SetRedDot, Trial",OpenTrial,ClearAllUI,,
T1502,,,"OnTrigger, TrialPrepareEnter",,,,,
T1503,,,"OnTrigger, TrialWin",,,,,
T1601,95004001,,"AfterCondition, DayChanged",OpenVIPOrder,,,,
T1602,,,"OnTrigger, VIPOrderEnter",,,,,
T1603,,,"OnTrigger, VIPOrderRecipeListEnter",,,,,
T1701,,,"OnTrigger, EmployeeLackOfStat",ClearAllUI,,,,
T1702,,,"OnTrigger, EmployeeUpgradeEnter",,,,,
T1801,,,"OnTrigger, CustomerFeedback",,,,,
T1802,90021001,,"AfterCondition, DayChanged",,,,,
T1803,90008001,,"AfterCondition, DayChanged",,,,,
T2001,90015002,,"AfterCondition, DayChanged",ClearAllUI,,,,
T2003,,,"OnTrigger, EnterStageSetting",,,,,
T2004,,,"OnTrigger, EnterEndStageSetting",,,,,
T3001,,,"OnTrigger, EnterStage2",ClearAllUI,,,,
T5101,,,"OnTrigger, IngreBoxFirstGet",,,,,
T5102,,,"OnTrigger, BunFirstGet",,,,,
T5103,90013001,,"AfterCondition, DayChanged",,,,,
T5104,90010004,,"AfterCondition, DayChanged",,,,,
T5301,90015002,,"AfterCondition, DayChanged",,,,,
T5302,90017001,,"AfterCondition, 0","GetItem, G0002,10",,,,
T5401,,,"OnTrigger, EnterRankingUI",,,,,
T5701,,,"OnTrigger, EmployeeMaxLevel",,,,,
T5702,,,"OnTrigger, EnterTransfer",,,,,
T5801,,,"OnTrigger, ChangeMenuSetting",ClearAllUI,,,,
T5901,,,"OnTrigger, EnterEmployeeCollection","GetItem, M4001,1",,,,
T5902,,,"OnTrigger, BuyEmployeeEquip",,,,,
T5903,,,"OnTrigger, EmployeeOverLimit","GetItem, M4002,8","GetItem, M4003,8",,,
T6001,,,"OnTrigger, ExchangeSettingEnter",,,,,
T6002,,,"OnTrigger, ExchangeEnter",,,,,
T6003,90015002,,"AfterCondition, DayChanged",,,,,
T7001,90035001,,"AfterCondition, DayChanged",ClearAllUI,,,,
T9001,90016001,,"AfterCondition, 0.3",ClearAllUI,,,,
T9101,,True,,,,,,
T9102,,True,,,,,,
M0001,90021003,,"AfterCondition, DayChanged",,,,,
M0002,90021005,,"AfterCondition, DayChanged",,,,,
M1001,90008001,,"AfterCondition, DayChanged",,,,,
M1002,90008002,,"AfterCondition, DayChanged",,,,,
M1003,90008003,,"AfterCondition, DayChanged",,,,,
M1004,90008004,,"AfterCondition, DayChanged",,,,,
M1005,90008005,,"AfterCondition, DayChanged",,,,,
M2001,90033001,,"AfterCondition, DayChanged",,,,,
M2002,90033002,,"AfterCondition, DayChanged",,,,,
M3001,90032001,,"AfterCondition, DayChanged",,,,,
M3002,90032002,,"AfterCondition, DayChanged",,,,,
