Id,NameKey,PortraitRUID,TalkRUID,SmileRUID,CryRUID,OffsetX,OffsetY,SoundSFX
Lyon,NPCNameLyon,87733eb994f140dd8dbdca0aff785735,611b0bd8fa0e4038893a77b16b2c88e5,71b6c0cc74f243d9bdf86bb0b2b773d8,,-50,100,LionTalk
MasterLick,NPCNameMasterLick,d6efa78c9d08454999b9809e5195f0de,d3681907fbd44120addd368c93db59fc,49953257769f45a0a1f82333905b6a34,c9ce0df6fdc548e09dccdd802298fbf7,-50,80,
Simia,NPCNameSimia,941e4b0eecd04bdeab3d83fb9041b4b3,,88501525816146bca46296097f1c7618,,-50,80,
Pibik,NPCNamePibik,66a64d22b3a54b08832a42aacb567ac1,,,,-60,90,
Pimi,NPCNamePimi,e4b2d67b962340a0ad41110d4361934c,,,,-60,80,
Pidol,NPCNamePidol,b27096b5c405448895bc7b69189c7d6a,,,,-60,80,
Muto,NPCNameMuto,739c50ed62cd44d7a84af8c0b10c4142,,484fd609980a4f3197176426bd2bd71e,7c3c29ebfdfb4953968f426bc2886e10,-45,90,
Ruby,NPCNameRuby,01918f360cac4fc286f6946c10c27e24,,,,-90,75,
RivalLick,NPCNameRivalLick,79173667584f41ecb7c07a5c89666e34,53b8f28c70b64059bff28574b61ad978,66211d22bed546149fe02b7c470c2ecc,61718ed67b0a4e75916c6323741f78c4,-50,80,
VD20306,NPCNameVD20306,186514789e614d439041dc181d4ca62c,,,,-100,80,
