Id,Highlight,Mask,ClickEntity,TargetPath,TargetPathFix,GuideTextKey,TextVisible,FuncOnTouch,AutoNext,TouchAnywhere,Alignment,OffsetX,OffsetY,ForceTo,funcExecute,executeParam1,executeParam2,funcCallback,callbackParam1,callbackParam2
T9001_1,,True,,/ui/MoneyBarGroup/PlayerCurrencyPlaceholder/Tut_Meso,,EventT9001DL2,,,,True,BottomLeft,15,50,,,,,,,
T9001_2,,True,,/ui/LobbyHUDGroup/StoreInfoArea/InfoPanelBg/Page1/ItemMonthlyMaintenaceCost,,EventT9001DL6,,,,True,TopRight,20,-20,,OpenUI,StoreInfoRecord,,,,
T1003_1,,,True,/maps/Lobby_Stage_1/KitchenApp_Level1/DecoGrill1,,EventT1003DL3,,,,,ScreenTopCenter,,,,ZoomToTarget,,,,,
T1003_2,True,True,,/ui/LobbyHUDGroup/KitchenAppInfo/UpgradeBtn,,EventT1003DL4,,,,,TopLeft,15,-60,,,,,,,
T1003_3,,True,,/ui/UpgradeGroup/UpgradePanel/UpgradeList,"Upgrade, 10005",,False,,True,,,,,,,,,,,
T1003_4,True,True,,/ui/UpgradeGroup/UpgradePanel/UpgradeDetail/UpgradeButton,,EventT1003DL7,,,,,TopLeft,10,-60,,,,,,,
T1003_5,True,True,,/ui/MoneyBarGroup/BackToLobbyBtn,,EventT1003DL8,,,,,TopRight,40,-150,ClearAllUI,,,,,,
T1004_1,,,True,/maps/Lobby_Stage_1/DropItem,,EventT1004DL1,,,,,ScreenTopCenter,,,,ZoomToTarget,,,,,
T1004_2,True,True,,/ui/LobbyHUDGroup/MainMenuButton,,EventT1004DL4,,,,,TopLeft,10,-20,,,,,,,
T1004_3,True,True,,/ui/LobbyHUDGroup/MainMenuPanel/UIMainMenu/MainMenuContents/MainMenuTitle_Group2/MainMenuContents_Group1/Menu_Upgrade,,EventT1004DL5,,,,,BottomLeft,45,45,,,,,,,
T1004_4,True,True,,/ui/UpgradeGroup/UpgradePanel/UpgradeTabBar/2,,EventT1004DL6,,,,,BottomRight,,50,,,,,,,
T1004_5,,True,,/ui/UpgradeGroup/UpgradePanel/UpgradeList,"Upgrade, 20003",,False,,True,,,,,,,,,,,
T1004_6,True,True,,/ui/MoneyBarGroup/BackToLobbyBtn,,EventT1004DL9,,,,,TopRight,40,-150,ClearAllUI,,,,,,
T1004_7,,True,,/ui/LobbyHUDGroup/StoreInfoArea/InfoPanelBg/Page4,,EventT1004DL10,,,,True,TopRight,110,-50,,OpenUI,ToDo,,,,
T1005_1,,True,,/ui/LobbyHUDGroup/StoreInfoArea/InfoPanelBg/Page4/PageLayout,"ToDoItem, 2",EventT1005DL1,,,,True,TopRight,100,-50,,OpenUI,ToDo,,,,
T1006_1,,True,,/ui/UpgradeGroup/UpgradePanel/UpgradeList,,,False,,True,,,,,,OpenUI,Upgrade,10003,,,
T1006_2,True,True,,/ui/UpgradeGroup/UpgradePanel/UpgradeDetail/UpgradeButton,,EventT1006DL6,,,,,TopLeft,10,-60,,OpenUI,MainMenu,,CloseUI,Upgrade,
T1006_3,True,True,,/ui/LobbyHUDGroup/MainMenuPanel/UIMainMenu/MainMenuContents/MainMenuTitle_Group3/MainMenuContents_Group3/Menu_Employment,,EventT1006DL8,,,,,TopRight,-35,-50,,OpenUI,MainMenu,,,,
T1006_4,True,True,,/ui/EmploymentGroup/Panel/EmploymentSelectPanel/EmploymentTypeScroll/EmploymentLevelButton1,,EventT1006DL12,False,,True,,ScreenTopCenter,,,,,,,,,
T1006_5,True,True,,/ui/EmploymentGroup/Panel/EmploymentSelectPanel/OkButton,,EventT1006DL13,,,,,ScreenTopCenter,,,,,,,Wait,2,
T1006_6,,True,,/ui/EmploymentGroup/Panel/EmployeeListPanel/EmployeeListScroll,,EventT1006DL14,,,,True,TopLeft,920,245,,,,,,,
T1006_7,True,,,/ui/EmploymentGroup/Panel/EmployeeListPanel/OKButton,,EventT1006DL18,,,,,ScreenTopCenter,,,"EmploymentEmployeeType, Serving",,,,,,
T1006_8,True,True,,/ui/LobbyHUDGroup/MainMenuPanel/UIMainMenu/MainMenuContents/MainMenuTitle_Group2/MainMenuContents_Group1/Menu_EmployeeManage,,EventT1006DL21,,,,,BottomLeft,35,45,,,,,,,
T1006_9,,,,/ui/EmployeeManageGroup/Main/EmployeeList/OptionGroup/DeployBtn,,EventT1006DL23,,,,,ScreenTopCenter,,90,"SetEmployee, 3",,,,,,
T1006_10,,True,,/ui/EmployeeManageGroup/Main/DeployeList/Panel,,EventT1006DL25,,,,True,TopRight,770,-110,,,,,,,
T1101_1,,,,/maps/Lobby_Stage_1/CustomerGroup,"CustomerOrderTag, Chicken",EventT1101DL1,,,,True,TopRight,,,,ZoomToTarget,,,,,
T1101_2,True,True,,/ui/LobbyHUDGroup/MainMenuButton,,EventT1101DL4,,,,,TopLeft,10,-15,,,,,,,
T1101_3,True,True,,/ui/LobbyHUDGroup/MainMenuPanel/UIMainMenu/MainMenuContents/MainMenuTitle_Group2/MainMenuContents_Group1/Menu_Recipe,,EventT1101DL5,,,,,TopLeft,25,,,,,,,,
T1101_4,True,True,,/ui/RecipeGroup/UIRecipeBook/RecipeSetArea/RecipeList/Model_RecipeBurgerSlot2,,EventT1101DL8,,,,,BottomRight,10,,,,,,,,
T1101_5,True,True,,/ui/UpgradeGroup/UpgradePanel/UpgradeDetail/UpgradeButton,,EventT1101DL9,,,,,ScreenTopCenter,,,,,,,,,
T1101_6,True,True,,/ui/UpgradeGroup/UpgradePanel/CloseBtn,,EventT1101DL10,,,,,BottomRight,-30,50,,,,,,,
T1101_7,True,True,,/ui/RecipeGroup/UIRecipeBook/MoveToIngreCardSettingBtn,,EventT1101DL11,,,,,TopLeft,25,-20,,,,,,,
T1101_8,True,True,,/ui/RecipeGroup/UIIngreCardSetting/IngreCardScroll/Item1/BG,,EventT1101DL15,,,,,BottomLeft,120,45,,,,,,,
T1101_9,True,True,,/ui/RecipeGroup/UIIngreCardSetting/LeftArea/IngreSlotList/Model_IngreSetSlot1,,EventT1101DL16,,,,,BottomRight,-30,30,,,,,,,
T1101_10,True,True,,/ui/RecipeGroup/UIIngreCardSetting/AutoSetBtn,,EventT1101DL17,,,,,TopLeft,30,-30,,,,,,,
T1101_11,True,True,,/ui/RecipeGroup/UIIngreCardSetting/AutoSetBtn/AutoSetSelectArea/Chicken,,EventT1101DL18,,,,,TopLeft,-25,-70,,,,,,,
T1101_12,True,True,,/ui/RecipeGroup/UIIngreCardSetting/MoveToRecipeMakingBtn,,EventT1101DL19,,,,,TopLeft,20,-20,,,,,,,
T1102_1,,True,,/ui/RecipeGroup/UIRecipeMaking/ChoiceEntities/ChoiceButtons/L,,,False,,True,,,,,,,,,,,
T1102_2,,True,,/ui/RecipeGroup/UIRecipeMaking/ChoiceEntities/ChoiceButtons/R,,,False,,True,,,,,,,,,,,
T1102_3,,,,/ui/RecipeGroup/UIRecipeMaking/ChoiceEntities/CountBar/Count,,EventT1102DL4,,,,,ScreenTopCenter,,,RecipeChoiceFunction,,,,,,
T1102_4,,True,,/ui/RecipeGroup/UIRecipeMaking/ChoiceEntities/Oven/BalanceArea_Tut,,EventT1102DL5,,,,True,TopRight,,,,,,,,,
T1102_5,,True,,/ui/RecipeGroup/UIRecipeMaking/ChoiceEntities/ComboArea_Tut,,EventT1102DL6,,,,True,BottomLeft,20,45,,,,,,,
T1103_1,True,True,,/ui/RecipeGroup/UIRecipeBook/RecipeSetArea/RecipeList/Model_RecipeBurgerSlot2,,EventT1103DL2,,,,,TopRight,,-50,,,,,,,
T1103_2,True,True,,/ui/RecipeSetGroup/UIRecipeList/ButtonArea/Recipe/SetButton,,EventT1103DL3,,,,,TopLeft,5,-30,,,,,,,
T1301_1,,True,,/ui/LobbyHUDGroup/LeftTop/Reputation,,EventT1301DL2,,,,True,BottomRight,5,50,,,,,,,
T1302_1,,True,,/ui/TrainingSettingGroup/Panel/TrainingGauge,,EventT1302DL1,,,,True,BottomRight,,,,,,,,,
T1302_2,True,True,,/ui/TrainingSettingGroup/Panel/SelectedEmployeeScroll,,EventT1302DL2,,,,True,BottomRight,30,,,,,,,,
