Stage,Level,Index,AchievementType,TypeValue
1,1,1,95001,3
1,1,2,20001,5
1,1,3,40003,2000
1,1,4,50002,2
1,2,1,10011,2
1,2,2,90030,2
1,2,3,95002,2
1,2,4,95004,2
1,3,1,10011,3
1,3,2,20001,20
1,3,3,40003,300000
1,3,4,50009,10
1,4,1,10012,4
1,4,2,10013,100000
1,4,3,20001,32
1,4,4,95006,10
1,5,1,10012,5
1,5,2,95003,200
1,5,3,20001,48
1,5,4,95007,10
2,1,1,95001,3
2,1,2,20001,5
2,1,3,40003,4000
2,1,4,50002,2
2,2,1,10011,2
2,2,2,20001,11
2,2,3,95002,2
2,2,4,20003,6
2,3,1,10012,2
2,3,2,20001,16
2,3,3,10013,2000
2,3,4,10007,400
2,4,1,10011,3
2,4,2,95003,60
2,4,3,20001,22
2,4,4,20006,5
2,5,1,20001,30
2,5,2,40005,1
2,5,3,10012,3
2,5,4,95008,2
3,1,1,20001,5
3,1,2,40002,1
3,1,3,50002,2
3,1,4,95003,30
3,2,1,10011,2
3,2,2,20001,10
3,2,3,95002,2
3,2,4,95006,5
3,3,1,10011,3
3,3,2,20001,17
3,3,3,10013,5000
3,3,4,10007,400
3,4,1,10012,3
3,4,2,20003,10
3,4,3,20001,23
3,4,4,95009,1
3,5,1,20001,33
3,5,2,95003,150
3,5,3,10012,4
3,5,4,40003,700000
4,1,1,20001,5
4,1,2,40003,80000
4,1,3,20006,5
4,1,4,95001,3
4,2,1,10012,2
4,2,2,20001,12
4,2,3,95008,1
4,2,4,50010,3
4,3,1,10012,3
4,3,2,20001,17
4,3,3,10007,800
4,3,4,10014,5
4,4,1,10011,4
4,4,2,20001,22
4,4,3,40006,400000
4,4,4,95010,1
4,5,1,10012,4
4,5,2,20001,29
4,5,3,40003,4000000
4,5,4,95011,1
5,1,1,20001,5
5,1,2,40003,60000
5,1,3,10004,10
5,1,4,95013,1
5,2,1,10012,2
5,2,2,20001,11
5,2,3,20006,8
5,2,4,10009,20
5,3,1,10012,3
5,3,2,20001,18
5,3,3,10007,700
5,3,4,10014,5
5,4,1,10011,4
5,4,2,20001,27
5,4,3,40006,1000000
5,4,4,10004,5000
5,5,1,10012,4
5,5,2,20001,41
5,5,3,40003,10000000
5,5,4,95012,1
6,1,1,20001,5
6,1,2,40003,200000
6,1,3,50008,30
6,1,4,20009,10
6,2,1,10012,2
6,2,2,20001,11
6,2,3,10007,500
6,2,4,20009,100
6,3,1,10012,3
6,3,2,20001,17
6,3,3,20006,9
6,3,4,10014,5
6,4,1,10011,4
6,4,2,20001,28
6,4,3,20009,700
6,4,4,95017,1
6,5,1,10012,5
6,5,2,20001,41
6,5,3,40003,20000000
6,5,4,20009,2000
7,1,1,20001,6
7,1,2,40003,100000
7,1,3,10009,20
7,1,4,95003,30
7,2,1,10012,2
7,2,2,20001,11
7,2,3,40005,1
7,2,4,50010,3
7,3,1,10012,3
7,3,2,20001,18
7,3,3,40006,100000
7,3,4,10014,5
7,4,1,10011,5
7,4,2,20001,30
7,4,3,10007,1500
7,4,4,95005,3500
7,5,1,10012,5
7,5,2,20001,41
7,5,3,40003,12000000
7,5,4,95020,1
8,1,1,20001,5
8,1,2,40003,120000
8,1,3,95015,1
8,1,4,10006,10
8,2,1,10012,2
8,2,2,20001,11
8,2,3,10014,3
8,2,4,95004,5
8,3,1,10012,3
8,3,2,20001,18
8,3,3,10007,1200
8,3,4,20006,10
8,4,1,10011,5
8,4,2,20001,30
8,4,3,40006,6000000
8,4,4,10006,10000
8,5,1,10012,6
8,5,2,20001,42
8,5,3,40003,80000000
8,5,4,95021,1
9,1,1,20001,5
9,1,2,40003,500000
9,1,3,20006,7
9,1,4,95005,350
9,2,1,10012,2
9,2,2,20001,12
9,2,3,95009,1
9,2,4,95003,75
9,3,1,10012,3
9,3,2,20001,18
9,3,3,10007,1200
9,3,4,10014,5
9,4,1,10011,5
9,4,2,20001,30
9,4,3,40006,7000000
9,4,4,95011,1
9,5,1,10012,6
9,5,2,20001,42
9,5,3,40003,100000000
9,5,4,95022,1
