Id,Grade,Difficulty,OfficialReward,UnofficialReward,OfficialCost,UnofficialCost,Requirement
E0001,0,1,"G0004,100,M0001,50,M3001,10,B0001,5","G0004,10,M0001,10,M3001,2",1000,500,5
E0001,1,1,"G0004,200,M0001,100,M3001,20,B0001,10,B0002,3","G0004,20,M0001,20,M3001,4",30000,5000,10
E0001,1,2,"G0004,300,M0002,100,M3001,30,B0001,20,B0002,5","G0004,30,M0002,20,M3001,8",200000,30000,20
E0001,2,1,"G0004,400,M0003,50,M3001,40,B0002,7,B0003,3","G0004,40,M0003,10,M3001,12",1000000,200000,30
E0001,2,2,"G0004,600,M0003,100,M3001,60,B0002,10,B0003,5","G0004,60,M0003,20,M3001,16",2400000,400000,40
E0001,3,1,"G0004,800,M0004,50,M3001,80,B0002,15,B0003,7","G0004,80,M0004,10,M3001,20",6000000,1000000,50
E0001,3,2,"G0004,1000,M0005,50,M3001,100,B0002,20,B0003,10","G0004,100,M0005,10,M3001,24",15000000,3000000,60
E0002,0,1,"G0004,100,M1001,50,M3002,10,B0001,5","G0004,10,M1001,10,M3002,2",1000,500,5
E0002,1,1,"G0004,200,M1001,100,M3002,20,B0001,10,B0002,3","G0004,20,M1001,20,M3002,4",30000,5000,10
E0002,1,2,"G0004,300,M1002,100,M3002,30,B0001,20,B0002,5","G0004,30,M1002,10,M3002,8",200000,30000,20
E0002,2,1,"G0004,400,M1003,50,M3002,40,B0002,7,B0003,3","G0004,40,M1003,10,M3002,12",1000000,200000,30
E0002,2,2,"G0004,600,M1003,100,M3002,60,B0002,10,B0003,5","G0004,60,M1003,10,M3002,16",2400000,400000,40
E0002,3,1,"G0004,800,M1004,50,M3002,80,B0002,15,B0003,7","G0004,80,M1004,10,M3002,20",6000000,1000000,50
E0002,3,2,"G0004,1000,M1005,50,M3002,100,B0002,20,B0003,10","G0004,100,M1005,20,M3002,24",15000000,3000000,60
R0001,0,1,"G0004,100,B0001,5","G0004,10,B0001,3",1000,500,100
R0001,1,1,"G0004,200,2:TRUE,3,B0001,10,B0002,5","G0004,20,2:TRUE,1,B0001,5,B0002,3",20000,2000,450
R0001,1,2,"G0004,300,2:TRUE,5,B0001,20,B0002,10","G0004,30,2:TRUE,2,B0001,7,B0002,5",100000,10000,800
R0001,2,1,"G0004,400,3:TRUE,5,B0002,15,B0003,3,B0004,3","G0004,40,3:TRUE,1,B0002,7,B0003,1,B0004,1",500000,100000,1250
R0001,2,2,"G0004,600,3:TRUE,10,B0002,20,B0003,5,B0004,5","G0004,60,3:TRUE,2,B0002,9,B0003,3,B0004,2",1500000,200000,1800
R0001,3,1,"G0004,800,4:TRUE,10,B0002,25,B0003,7,B0004,10","G0004,80,4:TRUE,1,B0002,12,B0003,5,B0004,3",5000000,500000,3200
R0001,3,2,"G0004,1000,4:TRUE,15,B0002,30,B0003,10,B0004,15","G0004,100,4:TRUE,2,B0002,15,B0003,7,B0004,4",15000000,1500000,5000
R0002,0,1,"G0004,100,B0001,5","G0004,10,B0001,3",1000,500,100
R0002,1,1,"G0004,200,2:TRUE,3,B0001,10,B0002,5","G0004,20,2:TRUE,1,B0001,5,B0002,3",20000,2000,450
R0002,1,2,"G0004,300,2:TRUE,5,B0001,20,B0002,10","G0004,30,2:TRUE,2,B0001,7,B0002,5",100000,10000,800
R0002,2,1,"G0004,400,3:TRUE,5,B0002,15,B0003,3,B0004,3","G0004,40,3:TRUE,1,B0002,7,B0003,1,B0004,1",500000,100000,1250
R0002,2,2,"G0004,600,3:TRUE,10,B0002,20,B0003,5,B0004,5","G0004,60,3:TRUE,2,B0002,9,B0003,3,B0004,2",1500000,200000,1800
R0002,3,1,"G0004,800,4:TRUE,10,B0002,25,B0003,7,B0004,10","G0004,80,4:TRUE,1,B0002,12,B0003,5,B0004,3",5000000,500000,3200
R0002,3,2,"G0004,1000,4:TRUE,15,B0002,30,B0003,10,B0004,15","G0004,100,4:TRUE,2,B0002,15,B0003,7,B0004,4",15000000,1500000,5000
R0003,0,1,"G0004,100,B0001,5","G0004,10,B0001,3",1000,500,100
R0003,1,1,"G0004,200,2:TRUE,3,B0001,10,B0002,5","G0004,20,2:TRUE,1,B0001,5,B0002,3",20000,2000,450
R0003,1,2,"G0004,300,2:TRUE,5,B0001,20,B0002,10","G0004,30,2:TRUE,2,B0001,7,B0002,5",100000,10000,800
R0003,2,1,"G0004,400,3:TRUE,5,B0002,15,B0003,3,B0004,3","G0004,40,3:TRUE,1,B0002,7,B0003,1,B0004,1",500000,100000,1250
R0003,2,2,"G0004,600,3:TRUE,10,B0002,20,B0003,5,B0004,5","G0004,60,3:TRUE,2,B0002,9,B0003,3,B0004,2",1500000,200000,1800
R0003,3,1,"G0004,800,4:TRUE,10,B0002,25,B0003,7,B0004,10","G0004,80,4:TRUE,1,B0002,12,B0003,5,B0004,3",5000000,500000,3200
R0003,3,2,"G0004,1000,4:TRUE,15,B0002,30,B0003,10,B0004,15","G0004,100,4:TRUE,2,B0002,15,B0003,7,B0004,4",15000000,1500000,5000
R0004,0,1,"G0004,100,B0001,5","G0004,10,B0001,3",1000,500,100
R0004,1,1,"G0004,200,2:TRUE,3,B0001,10,B0002,5","G0004,20,2:TRUE,1,B0001,5,B0002,3",20000,2000,450
R0004,1,2,"G0004,300,2:TRUE,5,B0001,20,B0002,10","G0004,30,2:TRUE,2,B0001,7,B0002,5",100000,10000,800
R0004,2,1,"G0004,400,3:TRUE,5,B0002,15,B0003,3,B0004,3","G0004,40,3:TRUE,1,B0002,7,B0003,1,B0004,1",500000,100000,1250
R0004,2,2,"G0004,600,3:TRUE,10,B0002,20,B0003,5,B0004,5","G0004,60,3:TRUE,2,B0002,9,B0003,3,B0004,2",1500000,200000,1800
R0004,3,1,"G0004,800,4:TRUE,10,B0002,25,B0003,7,B0004,10","G0004,80,4:TRUE,1,B0002,12,B0003,5,B0004,3",5000000,500000,3200
R0004,3,2,"G0004,1000,4:TRUE,15,B0002,30,B0003,10,B0004,15","G0004,100,4:TRUE,2,B0002,15,B0003,7,B0004,4",15000000,1500000,5000
R0005,0,1,"G0004,100,B0001,5","G0004,10,B0001,3",1000,500,100
