Index,NameKey
1,RankingStoreName01
2,RankingStoreName02
3,RankingStoreName03
4,RankingStoreName04
5,RankingStoreName05
6,RankingStoreName06
7,RankingStoreName07
8,RankingStoreName08
9,RankingStoreName09
10,RankingStoreName10
11,RankingStoreName11
12,RankingStoreName12
13,RankingStoreName13
14,RankingStoreName14
15,RankingStoreName15
16,RankingStoreName16
17,RankingStoreName17
18,RankingStoreName18
19,RankingStoreName19
20,RankingStoreName20
21,RankingStoreName21
22,RankingStoreName22
23,RankingStoreName23
24,RankingStoreName24
25,RankingStoreName25
26,RankingStoreName26
27,RankingStoreName27
28,RankingStoreName28
29,RankingStoreName29
30,RankingStoreName30
31,RankingStoreName31
32,RankingStoreName32
33,RankingStoreName33
34,RankingStoreName34
35,RankingStoreName35
36,RankingStoreName36
37,RankingStoreName37
38,RankingStoreName38
39,RankingStoreName39
40,RankingStoreName40
41,RankingStoreName41
42,RankingStoreName42
43,RankingStoreName43
44,RankingStoreName44
45,RankingStoreName45
46,RankingStoreName46
47,RankingStoreName47
48,RankingStoreName48
49,RankingStoreName49
50,RankingStoreName50
51,RankingStoreName51
52,RankingStoreName52
53,RankingStoreName53
54,RankingStoreName54
55,RankingStoreName55
56,RankingStoreName56
57,RankingStoreName57
58,RankingStoreName58
59,RankingStoreName59
60,RankingStoreName60
61,RankingStoreName61
62,RankingStoreName62
63,RankingStoreName63
64,RankingStoreName64
65,RankingStoreName65
66,RankingStoreName66
67,RankingStoreName67
68,RankingStoreName68
69,RankingStoreName69
70,RankingStoreName70
