StageId,Index,Ranking,Score,Reward1,Reward2,Reward3,ReexamCost
1,1,1,1000000,"G0001,1000000","G0005,5000","G0004,5000",500000
1,2,500,500000,"G0001,500000","G0005,4000","G0004,4000",250000
1,3,2300,300000,"G0001,300000","G0005,3000","G0004,3000",150000
1,4,5500,130000,"G0001,200000","G0005,2000","G0004,1000",65000
1,5,7900,60000,"G0001,50000","G0005,1000","G0004,500",30000
1,6,9200,20000,"G0001,30000","G0005,500","G0004,200",10000
1,7,10000,0,"G0001,20000","G0005,200","G0004,100",5000
2,1,1,1000000,"G0001,1000000","G0005,5000","G0004,5000",500000
2,2,500,500000,"G0001,500000","G0005,4000","G0004,4000",250000
2,3,2300,300000,"G0001,300000","G0005,3000","G0004,3000",150000
2,4,5500,130000,"G0001,200000","G0005,2000","G0004,1000",65000
2,5,7900,60000,"G0001,50000","G0005,1000","G0004,500",30000
2,6,9200,20000,"G0001,30000","G0005,500","G0004,200",10000
2,7,10000,0,"G0001,20000","G0005,200","G0004,100",5000
3,1,1,7500000,"G0001,5000000","G0005,5000","G0004,5000",3750000
3,2,500,3300000,"G0001,3300000","G0005,4000","G0004,4000",1650000
3,3,2300,1200000,"G0001,1200000","G0005,3000","G0004,3000",600000
3,4,5500,400000,"G0001,500000","G0005,2000","G0004,1000",200000
3,5,7900,200000,"G0001,160000","G0005,1000","G0004,500",100000
3,6,9200,30000,"G0001,50000","G0005,500","G0004,200",15000
3,7,10000,0,"G0001,30000","G0005,200","G0004,100",7500
4,1,1,30000000,"G0001,20000000","G0005,6000","G0004,5000",15000000
4,2,500,9000000,"G0001,10000000","G0005,5000","G0004,4000",4500000
4,3,2300,5000000,"G0001,5000000","G0005,4000","G0004,3000",2500000
4,4,5500,2000000,"G0001,3000000","G0005,3000","G0004,1000",1000000
4,5,7900,1000000,"G0001,900000","G0005,2000","G0004,500",500000
4,6,9200,40000,"G0001,100000","G0005,1000","G0004,200",20000
4,7,10000,0,"G0001,40000","G0005,500","G0004,100",10000
5,1,1,50000000,"G0001,30000000","G0005,5000","G0004,5000",25000000
5,2,500,30000000,"G0001,15000000","G0005,4000","G0004,4000",15000000
5,3,2300,13000000,"G0001,8000000","G0005,3000","G0004,3000",6500000
5,4,5500,3000000,"G0001,2000000","G0005,2000","G0004,1000",1500000
5,5,7900,1200000,"G0001,1200000","G0005,1000","G0004,500",600000
5,6,9200,200000,"G0001,500000","G0005,500","G0004,200",100000
5,7,10000,0,"G0001,200000","G0005,200","G0004,100",50000
6,1,1,100000000,"G0001,50000000","G0005,6000","G0004,5000",50000000
6,2,500,42000000,"G0001,30000000","G0005,5000","G0004,4000",20000000
6,3,2300,22000000,"G0001,11000000","G0005,4000","G0004,3000",10000000
6,4,5500,6000000,"G0001,4000000","G0005,3000","G0004,1000",3000000
6,5,7900,2000000,"G0001,1800000","G0005,2000","G0004,500",1000000
6,6,9200,300000,"G0001,700000","G0005,1000","G0004,200",150000
6,7,10000,0,"G0001,300000","G0005,500","G0004,100",75000
7,1,1,200000000,"G0001,100000000","G0005,5000","G0004,5000",100000000
7,2,500,80000000,"G0001,50000000","G0005,4000","G0004,4000",40000000
7,3,2300,30000000,"G0001,20000000","G0005,3000","G0004,3000",15000000
7,4,5500,10000000,"G0001,6000000","G0005,2000","G0004,1000",5000000
7,5,7900,4500000,"G0001,4000000","G0005,1000","G0004,500",2250000
7,6,9200,1000000,"G0001,2000000","G0005,500","G0004,200",500000
7,7,10000,0,"G0001,1000000","G0005,200","G0004,100",250000
8,1,1,500000000,"G0001,200000000","G0005,6000","G0004,5000",250000000
8,2,500,200000000,"G0001,100000000","G0005,5000","G0004,4000",100000000
8,3,2300,100000000,"G0001,50000000","G0005,4000","G0004,3000",50000000
8,4,5500,25000000,"G0001,15000000","G0005,3000","G0004,1000",12500000
8,5,7900,9000000,"G0001,7000000","G0005,2000","G0004,500",4500000
8,6,9200,2000000,"G0001,3000000","G0005,1000","G0004,200",1000000
8,7,10000,0,"G0001,2000000","G0005,500","G0004,100",500000
9,1,1,1000000000,"G0001,500000000","G0005,6000","G0004,5000",500000000
9,2,500,400000000,"G0001,200000000","G0005,5000","G0004,4000",200000000
9,3,2300,150000000,"G0001,100000000","G0005,4000","G0004,3000",75000000
9,4,5500,35000000,"G0001,40000000","G0005,3000","G0004,1000",17500000
9,5,7900,12000000,"G0001,10000000","G0005,2000","G0004,500",6000000
9,6,9200,2500000,"G0001,5000000","G0005,1000","G0004,200",1250000
9,7,10000,0,"G0001,2500000","G0005,500","G0004,100",700000
