Id,GuidePageTitleKey,GuideContentCount,GuidePageLayoutType,VlookupGuidePageTitleKey
GP01,GP01TitleKey,12,DescList1,게임 가이드
GP02,GP02TitleKey,8,DescList1,매장 운영 가이드
GP03,GP03TitleKey,20,DescList1,츄츄란?
GP04,GP04TitleKey,20,DescList1,츄츄 성장 가이드
GP05,GP05TitleKey,12,DescList1,츄츄 배치 가이드
GP06,GP06TitleKey,6,DescList1,츄츄 모집 가이드
GP07,GP07TitleKey,18,DescList1,레시피 가이드
GP08,GP08TitleKey,4,DescList1,트럭 출장 플레이
GP09,GP09TitleKey,12,DescList1,경영 관리 가이드
GP10,GP10TitleKey,6,DescList1,출장 가이드
GP11,GP11TitleKey,10,DescList1,재료 상자와 재료 카드
GP12,GP12TitleKey,6,DescList1,메뉴 세팅 가이드
GP13,GP13TitleKey,4,DescList1,의뢰 가이드
GP14,GP14TitleKey,4,DescList1,경영 등급과 경영 목표
GP15,GP15TitleKey,8,DescList1,대회 가이드
GP16,GP16TitleKey,4,DescList1,맛집 랭킹과 츄슐랭 등급
GP17,GP17TitleKey,4,DescList1,도시락 가이드
GP18,GP18TitleKey,12,DescList1,가구란?
GP19,GP19TitleKey,4,DescList1,평판 가이드
GP20,GP20TitleKey,16,DescList1,새로운 지역과 지점
GP21,GP21TitleKey,10,DescList1,재료 도감 가이드
GP22,GP22TitleKey,8,DescList1,츄츄 도감 가이드
GP23,GP23TitleKey,12,DescList1,츄츄 의상 가이드
GP24,GP24TitleKey,2,DescList1,부스터팩 가이드
GP25,GP25TitleKey,2,DescList1,츄츄 수집 가이드
GP26,GP26TitleKey,12,DescList1,상점 가이드
GP27,GP27TitleKey,4,DescList1,특별 마차 가이드
GP28,GP28TitleKey,2,DescList1,황금통 가이드
GP29,GP29TitleKey,6,DescList1,무토의 식탁 가이드
GP30,GP30TitleKey,6,DescList1,재료 합성 가이드
