Stage,Index,Id,StandRUID,MoveRUID
2,1,E0051,a3642479fc8941dc8f1a8a4c8dab5d67,9d0a0fb0f4134fe384851e5861755593
2,2,E0052,1d3852146bc84a27a2161dc62fa5fd0a,5b5b163352654fc4b99fd99a23b3e7db
2,3,E0053,7e69a6541fbb4cd9ad2fe9306ffef865,ce2af2bcb36741b783fbc443dcef00eb
2,4,E0054,2bba041c389c43f89ec281874084a48c,33fbf278915c482dbb9658a26367c4ec
2,5,E0055,47fb4d055fa141a492541984dba684f9,3c8c8ffab7fa4d698017310eb23613a3
2,6,E0056,edf59cf5c7c64fafa2499aeb955b5235,7ef5f85807054abbb9fd4b3aa74d6b0d
2,7,E0057,9098214f4ec84859b4b04ec17fa81d9f,80c170e184bc49d9808d3adf082a674a
2,8,E0058,d5fe48e4db02425381f4e20dea87955b,9543b75bbc374d5b9a713c90f76c56d8
2,9,E0059,e32d753289c34abba6e1407201289c30,e5991c80ab8f4a6fb73fbab4b07cb6cc
2,10,E0060,0f6cad83f73f43659ac0d583017e642a,02138d87f6dd4757921ff57fe58b5403
2,11,E0061,121eccebaa334a9789a7e48c6467774c,0b3329aa82ac46a7a44e053d133eda89
2,12,E0062,65aa3c676ab4487fac76af62207e5f36,6fc322e47e2d415f967865a632ec1b1e
2,13,E0063,dd34682742f14e5ab3add1d1d063fcad,a4954fe77b3148fa9bbb85543498fb82
3,1,E0064,841fb1ecd6be475e9382a12f95441307,e34b69ec59a84fbaa043017e23ba348d
3,2,E0065,d6f89bb9783e4e82bf2ebdee1881b006,fc0801791fbf4b2cadfe03acdd17120f
3,3,E0066,2d4b774fc0fd4eccb606840213e44fe1,c36aa39beede420a8333dd8e72e33221
3,4,E0067,0a6c4d058c3d4d6d855df37e4b4b2e98,64b7bc76f748417e8aca27376a3fae54
3,5,E0068,c58854591efa4cf0b2e83f048b894981,f5ffe8c28fca43999e6c75af26f6e7e4
3,6,E0069,7badfd1e48c84afba71a353d2228e53f,9ed8bf49b5b84b328050b390848813bc
3,7,E0070,c9f52cda699f43168bb6ff2fab21575f,1323b89001e545c28cd31f9827f94cbe
3,8,E0071,07db3258d0c34c79bafcd48156fa0583,181c334b9dfc4bbab4d8849cb2e06405
3,9,E0072,2c9a23a3824142ab87ff2843fd2b383e,e46f03f6b752410da6c39bf082f84637
3,10,E0073,39eb070067be4f75b80470f524399ac7,3e3e1083c9db487b9b886734e40bdd8f
3,11,E0074,64161fe51806487bb1ee50cf6b154518,4c378308db774a5e85bc68c09e3a6ba8
3,12,E0075,9d74fec54df747bfb6249778981d115d,9d74fec54df747bfb6249778981d115d
3,13,E0076,a2a699443f9f4c1a98ce97b7d514b161,079d10343b0c41718d67fb619cc8ee60
3,14,E0077,d9114355e0104a6f873a7628e671c25b,e51e5cb8822846569ab2d69f99cbac58
