TestKey,Desc,ManagementLv,ExpansionStep,InteriorLevel,StoreDeco,TipStorageLevel,GrillCount,DisplayCount,CounterCount,DisplayResearch,GrillLevel,DisplaystandLevel,CounterLevel,TrainingUpgrade,TrainingIngreBox,TrainingBreadBoxOpen,LunchBoxGainSpeed,LunchBoxCapacity,AutoTrainingOpen,BurgerStack,RecipeRerollCount,RecipeBoxCount,VIPOrderCount
200,2지역 새싹,0,1,0,0,2,2,2,2,0,0.1,3,1,0,0,0,0,0,0,3,0,2,0
210,2지역 브론즈,1,2,1,2,3,3,3,3,0,0.2,3,6,2,0,0,0,0,0,3,1,2,0
220,2지역 실버,2,2,2,2,3,3,3,3,0,0.3,4,7,2,0,0,1,0,0,4,1,2,0
230,2지역 골드,3,2,2,3,4,3,4,3,0,0.45,4,9,4,0,0,1,0,0,4,1,2,1
240,2지역 루비,4,3,3,4,5,5,5,5,0,0.55,4,11,5,0,0,2,1,1,5,1,2,1
250,2지역 플래티넘,5,3,3,4,5,5,5,5,0,0.75,5,15,5,0,0,2,1,1,5,1,2,1
300,3지역 새싹,0,1,0,0,3,2,2,2,0,0.1,3,2,1,0,0,0,0,0,3,0,2,0
310,3지역 브론즈,1,2,2,2,4,3,3,3,0,0.2,3,7,3,0,0,1,0,0,4,1,2,0
320,3지역 실버,2,3,3,3,4,4,4,4,0,0.3,4,11,3,0,0,1,0,0,4,1,2,1
330,3지역 골드,3,3,3,5,6,5,5,5,0,0.45,6,15,5,1,0,2,0,1,5,1,2,1
340,3지역 루비,4,4,4,6,8,9,5,9,1,0.55,14,20,7,1,1,2,1,2,6,1,2,2
350,3지역 플래티넘,5,4,4,7,9,10,5,10,1,0.75,17,24,8,2,1,3,1,2,7,2,3,2
400,4지역 새싹,0,1,0,0,3,2,2,2,0,0.1,3,3,2,0,0,0,0,0,3,0,2,0
410,4지역 브론즈,1,2,2,2,4,3,3,3,0,0.2,3,9,4,1,0,0,0,0,3,1,2,1
420,4지역 실버,2,3,2,4,6,4,5,4,0,0.3,5,13,6,2,1,0,1,1,5,1,2,2
430,4지역 골드,3,4,3,6,9,9,5,9,1,0.45,12,19,9,2,2,1,1,2,7,1,3,2
440,4지역 루비,4,4,4,8,12,10,5,10,1,0.55,17,24,10,3,2,2,1,3,8,1,3,2
450,4지역 플래티넘,5,5,5,12,16,15,5,15,2,0.8,25,34,12,3,3,3,2,3,9,2,3,3
500,5지역 새싹,0,1,1,0,3,2,2,2,0,0.1,1,5,2,0,0,1,0,0,3,1,2,1
510,5지역 브론즈,1,2,2,2,4,3,3,3,0,0.2,2,11,5,0,0,3,0,0,4,2,3,3
520,5지역 실버,2,3,3,5,5,5,5,5,0,0.35,4,20,6,1,0,6,1,1,5,2,4,4
530,5지역 골드,3,4,4,8,10,10,10,10,1,0.5,11,30,10,3,2,8,2,3,6,3,5,8
540,5지역 루비,4,5,5,11,13,13,15,13,2,0.6,17,35,12,4,3,8,3,3,7,4,6,9
550,5지역 플래티넘,5,6,6,14,16,15,15,15,2,0.8,25,48,13,5,4,10,4,3,8,5,8,11
600,6지역 새싹,0,1,1,0,3,2,2,2,0,0.1,2,6,3,0,0,2,0,0,3,1,2,2
610,6지역 브론즈,1,2,2,2,3,3,3,3,0,0.2,3,13,5,0,0,4,1,1,4,2,3,3
620,6지역 실버,2,3,3,5,5,5,5,5,0,0.35,6,22,7,2,0,6,1,1,5,3,4,6
630,6지역 골드,3,4,4,8,9,9,10,9,1,0.5,15,33,12,3,3,8,3,3,6,4,6,9
640,6지역 루비,4,5,5,11,11,13,15,13,2,0.6,27,40,15,4,4,9,4,3,7,5,7,10
650,6지역 플래티넘,5,6,6,14,14,15,15,15,2,0.8,39,56,18,5,5,11,5,3,8,5,10,13
700,7지역 새싹,0,1,1,0,3,2,2,2,0,0.1,3,7,3,0,0,2,0,0,3,1,2,2
710,7지역 브론즈,1,2,2,2,4,3,3,3,0,0.2,8,14,4,1,0,5,1,1,4,2,4,5
720,7지역 실버,2,3,3,5,5,5,5,5,0,0.35,16,28,6,2,1,6,1,2,5,3,4,7
730,7지역 골드,3,4,4,7,8,8,10,8,1,0.5,25,37,9,3,3,8,3,3,6,4,6,9
740,7지역 루비,4,5,5,10,12,14,15,14,2,0.6,38,48,13,5,4,10,4,3,7,5,8,11
750,7지역 플래티넘,5,6,6,14,15,15,15,15,2,0.8,46,64,15,5,5,11,5,3,10,5,10,15
800,8지역 새싹,0,1,1,0,3,2,2,2,0,0.1,2,8,3,0,0,2,0,0,3,1,2,2
810,8지역 브론즈,1,2,2,3,4,3,3,3,0,0.2,3,18,7,1,0,5,1,1,4,2,4,5
820,8지역 실버,2,3,3,5,6,5,5,5,0,0.35,8,31,10,3,2,7,2,2,5,3,5,8
830,8지역 골드,3,4,4,8,15,10,10,10,1,0.5,19,42,15,4,3,9,4,3,6,5,7,10
840,8지역 루비,4,5,5,11,17,13,15,13,2,0.6,31,54,19,5,4,10,4,3,8,5,9,12
850,8지역 플래티넘,5,6,6,14,21,15,15,15,2,0.8,43,74,26,5,5,11,5,3,9,5,10,15
900,9지역 새싹,0,1,1,0,3,2,2,2,0,0.1,5,8,5,0,0,3,0,0,3,2,3,3
910,9지역 브론즈,1,2,2,3,5,3,3,3,0,0.2,12,20,8,1,0,6,1,3,4,3,4,7
920,9지역 실버,2,3,3,5,6,5,5,5,0,0.35,18,35,12,2,1,7,2,3,5,3,5,8
930,9지역 골드,3,4,4,8,15,10,10,10,1,0.5,30,50,17,3,2,10,4,3,7,5,8,11
940,9지역 루비,4,5,4,11,19,15,15,15,2,0.6,39,64,21,3,3,11,5,3,9,5,10,14
950,9지역 플래티넘,5,6,6,14,24,15,15,15,2,0.8,54,90,28,5,4,11,6,3,10,5,10,18
