RecipeKey,BugerName,TasteScore,BalancePoint,SpicyPoint,Cost,Tag,TrialSkillBonus
1,테스트버거,500,0,0,1,Spicy,0
2,브론즈 낮음 R3,281,0,0,288,Meat,0
3,브론즈 낮음 R3,281,0,0,288,Veggie,0
4,브론즈 낮음 R3,281,0,0,288,Seafood,0
5,브론즈 낮음 R3,281,0,0,288,Chicken,0
6,브론즈 낮음 R3,281,0,15,288,Spicy,0
7,브론즈 낮음 R3,281,0,0,288,Mixed,0
8,브론즈 높음 R5,546,0,0,625,Meat,0
9,브론즈 높음 R5,546,0,0,625,Veggie,0
10,브론즈 높음 R5,546,0,0,625,Seafood,0
11,브론즈 높음 R5,546,0,0,625,Chicken,0
12,브론즈 높음 R5,546,0,15,625,Spicy,0
13,브론즈 높음 R5,546,0,0,625,Mixed,0
14,실버 낮음 R6,600,0,0,715,Meat,0
15,실버 낮음 R6,600,0,0,715,Veggie,0
16,실버 낮음 R6,600,0,0,715,Seafood,0
17,실버 낮음 R6,600,0,0,715,Chicken,0
18,실버 낮음 R6,600,0,15,715,Spicy,0
19,실버 낮음 R6,600,0,0,715,Mixed,0
20,실버 높음 R9,871,0,0,1215,Meat,0
21,실버 높음 R9,871,0,0,1215,Veggie,0
22,실버 높음 R9,871,0,0,1215,Seafood,0
23,실버 높음 R9,871,0,0,1215,Chicken,0
24,실버 높음 R9,871,0,15,1215,Spicy,0
25,실버 높음 R9,871,0,0,1215,Mixed,0
26,골드 낮음 R10,1014,0,0,1400,Meat,0
27,골드 낮음 R10,1014,0,0,1400,Veggie,0
28,골드 낮음 R10,1014,0,0,1400,Seafood,0
29,골드 낮음 R10,1014,0,0,1400,Chicken,0
30,골드 낮음 R10,1014,0,15,1400,Spicy,0
31,골드 낮음 R10,1014,0,0,1400,Mixed,0
32,골드보통1 R11,1360,0,0,1668,Meat,0
33,골드보통1 R11,1360,0,0,1668,Veggie,0
34,골드보통1 R11,1360,0,0,1668,Seafood,0
35,골드보통1 R11,1360,0,0,1668,Chicken,0
36,골드보통1 R11,1360,0,15,1668,Spicy,0
37,골드보통1 R11,1360,0,0,1668,Mixed,0
38,골드 보통2 R12,1554,0,0,1800,Meat,0
39,골드 보통2 R12,1554,0,0,1800,Veggie,0
