EarningLevel,ManagementLevel,BestRecipeEarnings,AccumEarnings,ServingEmployeeWarningLevel,BurgerOrderCountMin,BurgerOrderCountMax,ExpectedRecipeAttractive,StoreAttractiveLevel
1,0,15000,20000,21,8,8,10,1001
2,0,30000,100000,21,8,8,12.5,1004
3,0,70000,300000,21,9,9,15,1005
4,0,300000,500000,21,9,9,17.5,1005
5,0,800000,1000000,22,10,10,17.5,1101
6,0,1000000,2000000,23,10,10,19.25,1101
7,1,1500000,5000000,24,10,11,21,1101
8,1,1700000,7500000,25,11,11,22.75,1103
9,1,2000000,10000000,26,11,12,24,1104
10,1,3000000,15000000,27,12,12,30,1104
11,1,4000000,20000000,28,12,13,30,1106
12,1,4500000,30000000,29,13,13,30,1106
13,2,5000000,40000000,30,13,13,30,1106
14,2,5600000,50000000,30,13,14,32.5,1202
15,2,5800000,60000000,30,13,14,32.5,1205
16,2,6000000,70000000,30,14,14,32.5,1206
17,2,8000000,80000000,30,14,15,35.75,1208
18,2,10000000,100000000,30,15,15,35.75,1208
19,3,11000000,125000000,30,15,15,35.75,1208
20,3,11500000,150000000,30,15,15,35.75,1208
21,3,12600000,175000000,33,15,16,35.75,1301
22,3,14700000,200000000,34,15,16,39,1305
23,3,15000000,250000000,33,15,16,39,1306
24,3,16800000,300000000,33,16,16,39,1306
25,3,20000000,350000000,34,16,16,42.25,1306
26,3,21000000,400000000,35,16,16,42.25,1307
27,3,25000000,450000000,36,16,17,42.25,1308
28,3,26000000,500000000,36,16,17,42.25,1308
29,3,27000000,550000000,37,17,17,42.25,1308
30,3,30000000,600000000,38,17,17,42.25,1309
31,4,31000000,650000000,39,17,18,42.25,1309
32,4,32000000,700000000,39,17,18,42.25,1309
33,4,33000000,800000000,40,17,18,42.25,1311
34,4,35000000,900000000,41,18,18,42.25,1311
35,4,40000000,1000000000,40,18,18,43.75,1401
36,4,50000000,1200000000,41,18,18,43.75,1402
37,4,55000000,1400000000,44,18,19,43.75,1402
38,4,60000000,1600000000,40,18,18,43.75,1407
39,4,65000000,1800000000,42,18,19,43.75,1407
40,4,70000000,2000000000,42,19,19,43.75,1407
41,4,75000000,2250000000,43,19,19,43.75,1407
42,4,80000000,2500000000,44,19,19,44,1409
43,5,86000000,2750000000,46,19,20,44,1409
44,5,88000000,3000000000,47,19,20,44,1409
45,5,92000000,3250000000,48,20,20,44,1501
46,5,94000000,3500000000,47,20,20,46,1501
47,5,100000000,4000000000,50,20,21,46,1501
48,5,105000000,4500000000,48,20,21,46,1501
49,5,110000000,5000000000,49,20,21,46,1502
50,5,120000000,5500000000,49,21,21,51,1504
51,5,126000000,6000000000,50,21,21,51,1504
52,5,131000000,6500000000,53,21,22,51,1504
53,5,134000000,7000000000,52,21,22,51,1504
54,5,153000000,7500000000,53,22,22,51.74999999999999,1506
55,5,163000000,8000000000,55,22,23,51.74999999999999,1506
56,5,170000000,8500000000,56,23,23,51.74999999999999,1506
57,5,173000000,9000000000,56,23,23,51.74999999999999,1506
58,5,180000000,9500000000,58,23,24,51.74999999999999,1514
59,5,183000000,10000000000,58,23,24,51.74999999999999,1514
60,5,187000000,11000000000,58,23,24,51.74999999999999,1514
61,5,194000000,12000000000,58,24,24,51.74999999999999,1514
62,5,200000000,13000000000,58,24,24,51.74999999999999,1515
63,5,210000000,14000000000,58,24,24,51.74999999999999,1515
64,5,216000000,15000000000,58,24,24,51.74999999999999,1515
65,5,219000000,16000000000,58,24,24,51.74999999999999,1515
66,5,222000000,17000000000,58,24,24,51.74999999999999,1515
67,5,226000000,18000000000,58,24,24,51.74999999999999,1515
68,5,229000000,19000000000,58,24,24,51.74999999999999,1515
69,5,230000000,20000000000,58,24,24,51.74999999999999,1515
70,5,235000000,21000000000,58,24,24,51.74999999999999,1515
71,5,250000000,22000000000,58,24,24,51.74999999999999,1515
72,5,260000000,23000000000,58,24,24,51.74999999999999,1515
73,5,268000000,24000000000,58,24,24,51.74999999999999,1515
74,5,271000000,25000000000,58,24,24,51.74999999999999,1515
75,5,274000000,26000000000,58,24,24,51.74999999999999,1515
76,5,277000000,27000000000,58,24,24,51.74999999999999,1515
77,5,281000000,28000000000,58,24,24,51.74999999999999,1515
78,5,284000000,29000000000,58,24,24,51.74999999999999,1515
79,5,287000000,30000000000,58,24,24,51.74999999999999,1515
80,5,290000000,31000000000,58,24,24,51.74999999999999,1515
81,5,294000000,32000000000,58,24,24,51.74999999999999,1515
82,5,297000000,33000000000,58,24,24,51.74999999999999,1515
