Id,ItemCategory,IconRUID,NameKey,DescriptionKey,SaveToOutgameDB,MaxStackCount,funcUseItem
G0001,0,6d7ee60988104cf08f9dca77947dac61,ItemNameG0001,ItemDescG0001,,999999999999,
G0002,0,bd7ed10738124fe592de0e62400bd26d,ItemNameG0002,ItemDescG0002,,999,
G0003,0,0c110994c1094e4fab29c2b196372807,ItemNameG0003,ItemDescG0003,,,
G0004,0,1023fe6739ad4f4f9c985a0d6b98c2df,ItemNameG0004,ItemDescG0004,,999999999,
G0005,0,b517bb433bd5453e8778a0a22b5734b6,ItemNameG0005,ItemDescG0005,,999999999,
G0006,0,0a4ba7834f314486afa4019b571d1cfd,ItemNameG0006,ItemDescG0006,,99999,
G0007,0,c844fdbeec65482b90093b616b48b392,ItemNameG0007,ItemDescG0007,,9999,
G0008,0,cc6f5521cbd04100aa7411c06fcf4b97,ItemNameG0008,ItemDescG0008,,999,
G1001,0,c81394a61a9c40e29841d7169aa5d465,ItemNameG1001,ItemDescG1001,,9999999,
G1002,0,c81394a61a9c40e29841d7169aa5d465,ItemNameG1002,ItemDescG1002,,9999999,
G2000,0,a8f3146382c07494d8dbce9b93c1a5c3,ItemNameG2000,ItemDescG2000,,9999999,
B0001,1,32c427a1104b4cbbb1aecd1d7965a19a,ItemNameB0001,ItemDescB0001,,999,"OpenIngreBox, IN0001"
B0002,1,f219cb41dd154ebd89ea57163e7c72e1,ItemNameB0002,ItemDescB0002,,999,"OpenIngreBox, IN0002"
B0003,1,50ef6e329c054d578a89dfd2e9fb8633,ItemNameB0003,ItemDescB0003,,999,"OpenIngreBox, IN0003"
B0004,1,f3f81e4eee4a431daa65881419b3d92b,ItemNameB0004,ItemDescB0004,,999,"OpenIngreBox, BN0001"
M0001,2,c24f822b51bc4d8e90e2d1116024d362,ItemNameM0001,ItemDescM0001,,9999,"UsePotionCook, 10"
M0002,2,f583e55a33474abc933514532a3c68a5,ItemNameM0002,ItemDescM0002,,9999,"UsePotionCook, 40"
M0003,2,54ff2394b45442bfbf8127d095b03e36,ItemNameM0003,ItemDescM0003,,9999,"UsePotionCook, 150"
M0004,2,8b7cc5eeca674c03908d3fdc1978ed51,ItemNameM0004,ItemDescM0004,,9999,"UsePotionCook, 480"
M0005,2,3c5d6b299f214cbe81d1edf5b12c13a6,ItemNameM0005,ItemDescM0005,,9999,"UsePotionCook, 1000"
M1001,2,e0ac6705eac847038f9d85f03c890b89,ItemNameM1001,ItemDescM1001,,9999,"UsePotionServing, 10"
M1002,2,50a49e1ce6c24dd595689bf8f5d5c661,ItemNameM1002,ItemDescM1002,,9999,"UsePotionServing, 40"
M1003,2,d11d222d5e564fe8982a5094c5820b47,ItemNameM1003,ItemDescM1003,,9999,"UsePotionServing, 150"
M1004,2,10fc8cee80234217852620317da8f0cb,ItemNameM1004,ItemDescM1004,,9999,"UsePotionServing, 480"
M1005,2,49327025c40044b580caf9bfc6c9a3ce,ItemNameM1005,ItemDescM1005,,9999,"UsePotionServing, 1000"
M2001,2,07614312d0654238bbc6c47c964b2301,ItemNameM2001,ItemDescM2001,,9999,"UsePotionMoveSpeed, 10"
M2002,2,9c9382ca1d3240a4bc8f42c1a187854c,ItemNameM2002,ItemDescM2002,,9999,"UsePotionMoveSpeed, 40"
M2003,2,456802911ad04083a72fd5a6f1d83a7a,ItemNameM2003,ItemDescM2003,,9999,"UsePotionMoveSpeed, 150"
M2004,2,74cc1a74e76d497e8bb6a4dd83f81097,ItemNameM2004,ItemDescM2004,,9999,"UsePotionMoveSpeed, 480"
M2005,2,ddf39120c1094e88b9ed4566511a6167,ItemNameM2005,ItemDescM2005,,9999,"UsePotionMoveSpeed, 1000"
M3001,2,1348f74d7fd04c19ab99727346ab907e,ItemNameM3001,ItemDescM3001,,9999,UseOverLimitCook
M3002,2,139aff5e54714632a3c79ca62d018c95,ItemNameM3002,ItemDescM3002,,9999,UseOverLimitServing
M4001,2,ca87423d38c4401c8eaf24ed9b4f6845,ItemNameM4001,ItemDescM4001,True,9999,
