Level,Value,Cost1,Cost2,Cost3,Cost4,Cost5,Cost6,Cost7,Cost8,Cost9
0,0,0,0,0,0,0,0,0,0,0
1,1,100,500,1000,1000,2000,3000,3000,3000,6000
2,2,500,2000,2000,3000,3000,5000,5000,5000,12000
3,3,1000,5000,5000,5000,5000,10000,10000,10000,30000
4,4,2000,10000,10000,10000,10000,30000,25000,20000,50000
5,5,10000,20000,20000,20000,30000,50000,40000,30000,100000
6,6,20000,30000,30000,30000,50000,100000,60000,50000,150000
7,7,30000,40000,50000,50000,70000,150000,100000,100000,250000
8,8,50000,50000,70000,70000,100000,200000,150000,200000,350000
9,9,70000,70000,100000,90000,150000,250000,200000,300000,500000
10,10,90000,90000,130000,120000,200000,300000,300000,400000,650000
11,11,120000,120000,160000,150000,250000,350000,400000,600000,800000
12,12,150000,150000,200000,200000,300000,400000,500000,800000,1000000
13,13,180000,180000,250000,250000,400000,450000,600000,1000000,1200000
14,14,210000,210000,300000,300000,500000,500000,700000,1200000,1400000
15,15,250000,250000,350000,350000,600000,600000,800000,1400000,1600000
16,16,300000,300000,400000,400000,700000,700000,1000000,1600000,1800000
17,17,350000,350000,450000,500000,800000,800000,1200000,1800000,2000000
18,18,400000,400000,500000,600000,900000,900000,1400000,2000000,2300000
19,19,450000,450000,550000,700000,1000000,1000000,1600000,2300000,2600000
20,20,500000,500000,600000,800000,1100000,1100000,1800000,2600000,3000000
21,21,,,700000,1000000,1200000,1200000,2000000,2900000,3400000
22,22,,,800000,1200000,1400000,1300000,2200000,3200000,3800000
23,23,,,900000,1400000,1600000,1400000,2400000,3500000,4200000
24,24,,,1000000,1600000,1800000,1500000,2600000,4000000,4600000
25,25,,,1100000,1800000,2000000,2000000,2800000,4500000,5000000
26,26,,,1200000,2000000,2200000,2500000,3000000,5000000,5500000
27,27,,,1400000,2500000,2400000,3000000,3500000,5500000,6000000
28,28,,,1600000,3000000,2600000,3500000,4000000,6000000,6500000
29,29,,,1800000,3500000,2800000,4000000,4500000,6500000,7000000
30,30,,,2000000,4000000,3000000,4500000,5000000,7000000,8000000
31,31,,,3000000,4500000,3300000,5000000,5500000,8000000,9000000
32,32,,,,5000000,3600000,5500000,6000000,9000000,10000000
33,33,,,,5500000,3900000,6000000,6500000,10000000,11000000
34,34,,,,6000000,4200000,6500000,7000000,11000000,12000000
35,35,,,,6500000,4500000,7000000,7500000,12000000,13000000
36,36,,,,7000000,4800000,7500000,8000000,13000000,14000000
37,37,,,,7500000,5100000,8000000,9000000,14000000,15000000
38,38,,,,8000000,5400000,8500000,10000000,15000000,16000000
39,39,,,,8500000,5700000,9000000,11000000,16000000,17000000
40,40,,,,9000000,6000000,9500000,12000000,17000000,18000000
41,41,,,,10000000,6500000,10000000,13000000,18000000,20000000
42,42,,,,,7000000,11000000,14000000,20000000,22000000
43,43,,,,,7500000,12000000,15000000,22000000,24000000
44,44,,,,,8000000,13000000,16000000,24000000,26000000
45,45,,,,,8500000,14000000,17000000,26000000,28000000
46,46,,,,,9000000,15000000,18000000,28000000,30000000
47,47,,,,,9500000,16000000,19000000,30000000,34000000
48,48,,,,,10000000,17000000,20000000,32000000,38000000
49,49,,,,,11000000,18000000,21000000,34000000,42000000
50,50,,,,,12000000,19000000,22000000,36000000,46000000
51,51,,,,,13000000,20000000,23000000,38000000,50000000
52,52,,,,,14000000,21000000,24000000,40000000,54000000
53,53,,,,,15000000,22000000,25000000,42000000,58000000
54,54,,,,,16000000,23000000,26000000,44000000,62000000
55,55,,,,,17000000,24000000,27000000,46000000,66000000
56,56,,,,,18000000,25000000,28000000,50000000,70000000
57,57,,,,,19000000,26000000,29000000,55000000,75000000
58,58,,,,,20000000,27000000,30000000,60000000,80000000
59,59,,,,,21000000,28000000,32000000,65000000,85000000
60,60,,,,,22000000,29000000,34000000,70000000,90000000
61,61,,,,,,30000000,36000000,75000000,95000000
62,62,,,,,,31000000,38000000,80000000,100000000
63,63,,,,,,32000000,40000000,85000000,105000000
64,64,,,,,,33000000,42000000,90000000,110000000
65,65,,,,,,34000000,44000000,95000000,115000000
66,66,,,,,,35000000,46000000,100000000,120000000
67,67,,,,,,36000000,48000000,105000000,125000000
68,68,,,,,,37000000,50000000,110000000,130000000
69,69,,,,,,38000000,52000000,115000000,135000000
70,70,,,,,,39000000,54000000,120000000,140000000
71,71,,,,,,,56000000,125000000,145000000
72,72,,,,,,,58000000,130000000,150000000
73,73,,,,,,,60000000,135000000,155000000
74,74,,,,,,,62000000,140000000,160000000
75,75,,,,,,,64000000,145000000,165000000
76,76,,,,,,,66000000,150000000,170000000
77,77,,,,,,,68000000,155000000,175000000
78,78,,,,,,,70000000,160000000,180000000
79,79,,,,,,,72000000,165000000,185000000
80,80,,,,,,,74000000,170000000,190000000
81,81,,,,,,,,175000000,195000000
82,82,,,,,,,,180000000,200000000
83,83,,,,,,,,185000000,205000000
84,84,,,,,,,,190000000,210000000
85,85,,,,,,,,195000000,215000000
86,86,,,,,,,,200000000,220000000
87,87,,,,,,,,205000000,225000000
88,88,,,,,,,,210000000,230000000
89,89,,,,,,,,215000000,235000000
90,90,,,,,,,,220000000,240000000
91,91,,,,,,,,,245000000
92,92,,,,,,,,,250000000
93,93,,,,,,,,,255000000
94,94,,,,,,,,,260000000
95,95,,,,,,,,,265000000
96,96,,,,,,,,,270000000
97,97,,,,,,,,,275000000
98,98,,,,,,,,,280000000
99,99,,,,,,,,,290000000
100,100,,,,,,,,,300000000
