Id,Tab,OpenCondition,IconRUID,NameKey,EffectType,MaxLevel,ReportId,ReportParam1,ReportParam2,UIOrder,RecommendPriority
10001,1,T1006,a7440dac81cc44d6aed3086f1975f2f0,UpgradeName10001,LevelValue,14,8006,,,1,3
10002,1,T1101,af3d85121e9140c59288bf8db1f13754,UpgradeName10002,LevelValue,4,8008,,,2,7
10003,1,T1006,2cadb88321544cf79e8f031e9b875886,UpgradeName10003,LevelValue,14,8007,,,3,4
10004,1,90008003,99f2f9147fb447c28b1b5d4c5cdedd24,UpgradeName10004,Level,2,8009,,,4,12
10005,1,T1003,5c0f2b27ba5a4542be187cc889aad128,UpgradeName10005,LevelValue,100,8012,LevelValue,AppLevelValue,5,5
10006,1,T1003,322fd9ac8a1e432299930bd16e22ff8b,UpgradeName10006,LevelValue,60,8014,LevelValue,AppLevelValue,6,19
10007,1,T1003,5f834fb1fb9844e4b1c7c044c06c7a68,UpgradeName10007,LevelValue,100,8013,LevelValue,AppLevelValue,7,6
20001,2,T1802,c376a1f72ed6495f99f1b559591084a4,UpgradeName20001,LevelValue,5,,,,2,9
20002,2,T1801,5aa6d728449d460b978ae6403eb0fe93,UpgradeName20002,Interior,6,,,,3,10
20003,2,,7e1a8172332d47128398a31b5fde51ba,UpgradeName20003,Level,40,8010,LevelValue,,4,18
20004,2,T1803,39f143f9f5934554bbd96d0657409e97,UpgradeName20004,Level,16,8019,,,1,11
30001,3,90015002,c8912856809741df8df7ede56a81c281,UpgradeName30001,Level,3,7003,,,1,8
30003,3,T1301,f95609244e9c44b2be304cfd0a0b81c3,UpgradeName30003,Level,30,7005,,,3,2
30004,3,90015001,14979ef258cd425a99a1cadc4fe0619e,UpgradeName30004,Level,5,7006,,,4,14
30005,3,90015002,f3f81e4eee4a431daa65881419b3d92b,UpgradeName30005,Level,5,7007,,,5,15
30006,3,T1301,6444904da90b4afba88ccb8c8255483d,UpgradeName30006,Level,11,,,,6,16
30007,3,T1301,3d0ae5e8094e45138f3bdb01f9e63d93,UpgradeName30007,Level,8,7008,LevelValue,,7,17
40001,4,T1101,c55aa72bdc8a4b08a3b8c39401f98ed1,UpgradeName40001,Level,7,4001,LevelValue,,1,1
40002,4,T1101,ea77840120af45709eb189b3ee27d6b1,UpgradeName40002,Level,5,,,,2,20
40003,4,T1101,51f24480159f49a5a920230c9f4508a2,UpgradeName40003,Level,10,,,,3,21
40004,4,T1601,ed2a0f7bd627439ab97c3a55e586acbb,UpgradeName40004,Level,18,,,,4,13
