type,index,x,y
Cook,1,0.5,7.3000001907349
Serving,1,0.5,6.3000001907349
Cook,2,1.5,7.3000001907349
Serving,2,1.5,6.3000001907349
Cook,3,2.5,7.3000001907349
Serving,3,2.5,6.3000001907349
Cook,4,3.477499961853,7.3000001907349
Serving,4,3.477499961853,6.3000001907349
Cook,5,4.477499961853,7.3000001907349
Serving,5,4.477499961853,6.3000001907349
Cook,6,5.477499961853,7.3000001907349
Serving,6,5.477499961853,6.3000001907349
Cook,7,6.477499961853,7.3000001907349
Serving,7,6.477499961853,6.3000001907349
Cook,8,7.477499961853,7.3000001907349
Serving,8,7.477499961853,6.3000001907349
Cook,9,8.477499961853,7.3000001907349
Serving,9,8.477499961853,6.3000001907349
Cook,10,9.477499961853,7.3000001907349
Serving,10,9.477499961853,6.3000001907349
Cook,11,5.1774997711182,7.5999999046326
Serving,11,5.1774997711182,6.5999999046326
Cook,12,6.1774997711182,7.5999999046326
Serving,12,6.1774997711182,6.5999999046326
Cook,13,7.1774997711182,7.5999999046326
Serving,13,7.1774997711182,6.5999999046326
Cook,14,8.1774997711182,7.5999999046326
Serving,14,8.1774997711182,6.5999999046326
Cook,15,9.1774997711182,7.5999999046326
Serving,15,9.1774997711182,6.5999999046326
