type,index,x,y
Counter,1,0.40050983428955,4.8000001907349
Counter,2,1.3824110031128,4.8000001907349
Counter,3,2.4095439910889,4.8000001907349
Counter,4,3.5,4.8000001907349
Counter,5,4.5,4.8000001907349
Counter,6,5.5,4.8000001907349
Counter,7,6.5,4.8000001907349
Counter,8,7.5,4.8000001907349
Counter,9,8.5,4.8000001907349
Counter,10,9.5,4.8000001907349
Counter,11,9.1999998092651,5.1000003814697
Counter,12,8.1999998092651,5.1000003814697
Counter,13,7.1999998092651,5.1000003814697
Counter,14,6.1999998092651,5.1000003814697
Counter,15,5.1999998092651,5.1000003814697
Display,1,0.5,6.8000001907349
Display,2,1.5,6.8000001907349
Display,3,2.5,6.8000001907349
Display,4,3.477463722229,6.8000001907349
Display,5,4.477463722229,6.8000001907349
Display,6,5.477463722229,6.8000001907349
Display,7,6.477463722229,6.8000001907349
Display,8,7.477463722229,6.8000001907349
Display,9,8.477463722229,6.8000001907349
Display,10,9.477463722229,6.8000001907349
Display,11,5.1774635314941,7.1000003814697
Display,12,6.1774635314941,7.1000003814697
Display,13,7.1774635314941,7.1000003814697
Display,14,8.1774635314941,7.1000003814697
Display,15,9.1774635314941,7.1000003814697
Grill,1,-0.20000000298023,8.1000003814697
Grill,2,2.2999999523163,8.1000003814697
Grill,3,5.0999999046326,8.0
Grill,4,5.5,7.3000001907349
Grill,5,7.5,7.3000001907349
Grill,6,10.5,7.3000001907349
Grill,7,-0.5,7.3000001907349
Grill,8,2.5,7.3000001907349
Grill,9,3.5,7.3000001907349
Grill,10,6.5,7.3000001907349
Grill,11,7.5,7.3000001907349
Grill,12,10.5,7.3000001907349
Grill,13,10.199999809265,7.6000003814697
Grill,14,7.1999998092651,7.6000003814697
Grill,15,6.1999998092651,7.6000003814697
