type,index,dir,x,y
Cash,1,Bottom,-0.5,1.5
Cash,1,Top,2.5,4.5
Cash,2,Bottom,-0.5,1.5
Cash,2,Top,5.5,4.5
Cash,3,Bottom,-1.5,1.5
Cash,3,Top,6.5,4.5
Cash,4,Bottom,-1.5,1.5
Cash,4,Top,10.5,4.5
Cash,5,Bottom,-1.5,1.5
Cash,5,Top,18.5,4.5
Cash,6,Bottom,-1.7999999523163,1.7999999523163
Cash,6,Top,18.5,6.5
Kitchen,1,Bottom,-0.5,4.5
Kitchen,1,Top,2.5,8.5
Kitchen,2,Bottom,-0.5,4.5
Kitchen,2,Top,5.5,8.5
Kitchen,3,Bottom,-1.5,4.5
Kitchen,3,Top,6.5,11.5
Kitchen,4,Bottom,-1.5,4.5
Kitchen,4,Top,10.5,11.5
Kitchen,5,Bottom,-1.5,4.5
Kitchen,5,Top,18.5,11.5
Kitchen,6,Bottom,-1.7999999523163,6.8000001907349
Kitchen,6,Top,18.5,14.5
