PCRUID,MobileRUID
87c7259db24d4e22974822e9d0279bdb,ab6bc6186b594ebbb207ba7a1cdfd876
cc7c004fe08f487fbe53f542932ea54e,3b922eb76eed4643aaf21ba29b5ae13e
946d6bf93b09446d99e4de1681ec02f3,4130bb9850fe415a9f8d0856ab2821b4
c88460ecb74c48a2817409ee8282863d,7d15db0d3c0e406bb5ac793cfae7ac20
1ce7e92c53c44cbf84f8a60a95988f45,11680b3f650f49a5a2a9d6640817167e
dbd837ab91634c77813e71569e2eda36,baef584aab8b45db9375f9e774a4b26d
5c00e0124ca24368b9d3b391a18cc4a3,c106a402359f4e5da778828515a13f33
c6ac3447ab64435c992087e305fccc47	,9fc39c98eca4468780d3099be32f412e
f10b00b35a4140c896da97cb8e506e25,7bd50c6db5cb42bbabdd0e73b077cc2d
5dad976e57254c0c9718fac7d5dec5e2,ffaba81d44194fbb88eaf9af4133fd0e
734aa673a2644fc4a405553e66baecf6,32f97054c1ec45908f626b078038262f
39399b388b9f42bf998c03336056dfae,7bc3a3bcfe6c453081f02be4cf887720
aada294a5a95411686fa54198a638ab4,cbe36093669f4a9da18ddd029ca90f46
e6a39844d766499ba166dd3ac9000236,7cf6f46230e74bf8a4c594586e14bb1d
f2eaf7ac5eba4ad2a0794c8b035a614d,ef137f7bfa814b1481b3035b1fef6a5e
055d84cc7adc40fd91d4e7ceab72e93e,c951ffb497754685ac53eed9820ab393
db7e9fd648db4bc29d0b25f7547aba42,597b57c878724b7f8ee02ae780717215
ce1622084bb14a31b82cb5b2bd624352,75e532e60091464eae250f0d147cdf98
c83a3db27864449d98d7213dc31c8b85,4c4c9c74023b49c2af65c6554cbffa9f
cfc38067d82a4eb0ae888003c5c8edaf,b604bd825fce4b6d82feb4c25d3c0ad3
e5c5177bc75647478a032669f1e507e2,53eed9511631432dbffe1a0644785570
3a9d9cacd4b54cdc8539d1d37ccba64d,7d269370e9674dce89c87d48e8e8ebca
66f59e3dffa3489282735cc79041cff0,316f6d55168a44268e2a84e3503be34d
e276b26b96bc4646b78fc8162627f095,b9dacbe4641c4f9a9a1419e08351436c
e887fda0ff7347a099b959d6eca72004,c040c02690874cc3be4b86a8bd848ee0
7cc57dab815f42e2a7ce7d27c277ed87,e7a3428a39f14b7582f2b0621dd47fb5
ba85ce3cffc440719b61963fb66b2483,a7c568ce690f4b278ff50e36ebcc618f
ba61e6b505b440ad8c57d7d13a2ed542,c520a2fe80f84daba5cadaecdf27f4f5
