RewardSlotId,RewardItemId,RewardItemCount
1001,G1001,100
1002,M4001,1
1003,M4002,2
1004,M4003,2
1005,G1001,300
1006,G1001,300
1007,G1001,300
1008,G1001,300
1009,M4001,2
1010,M4002,4
1011,M4003,4
1012,G1001,600
1013,G1001,600
1014,G1001,600
1015,G1001,600
1016,M4001,3
1017,M4002,6
1018,M4003,6
1019,G1001,900
1020,G1001,900
1021,G1001,900
1101,G1002,500
1102,G1002,500
1103,G1002,500
1104,G1002,500
1105,G1002,500
1106,G1002,500
1107,G0008,5
1108,G1002,750
1109,G1002,750
1110,G1002,750
1111,G1002,750
1112,G1002,750
1113,G1002,750
1114,G0008,5
1115,G1002,1000
1116,G1002,1000
1117,G1002,1000
1118,G1002,1000
1119,G1002,1000
1120,G1002,1000
1121,G0008,5
1201,G1002,1000
1202,G1002,1000
1203,G1002,1000
1204,G1002,1000
1205,G1002,1000
1206,G1002,1000
1207,G0008,5
1208,G1002,1500
1209,G1002,1500
1210,G1002,1500
1211,G1002,1500
1212,G1002,1500
1213,G1002,1500
1214,G0008,5
1215,G1002,2000
1216,G1002,2000
1217,G1002,2000
1218,G1002,2000
1219,G1002,2000
1220,G1002,2000
1221,G0008,5
2001,G1001,300
2002,M4001,3
2003,M4002,6
2004,M4003,6
2005,G1001,600
2006,G1001,900
2007,G1001,1200
2008,G1001,300
2009,M4001,3
2010,M4002,6
2011,M4003,6
2012,G1001,600
2013,G1001,900
2014,G1001,1200
2015,G1001,300
2016,M4001,3
2017,M4002,6
2018,M4003,6
2019,G1001,600
2020,G1001,900
2021,G1001,1200
2022,G1001,300
2023,M4001,3
2024,M4002,6
2025,M4003,6
2026,G1001,600
2027,G1001,900
2028,G1001,1200
2029,G1001,300
2030,M4001,3
2031,M4002,6
2032,M4003,6
2033,G1001,600
2034,G1001,900
2035,G1001,1200
2101,G1002,1000
2102,G1002,1000
2103,G1002,1000
2104,G1002,1000
2105,G1002,1000
2106,G1002,1000
2107,G0008,5
2108,G1002,1000
2109,G1002,1000
2110,G1002,1000
2111,G1002,1000
2112,G1002,1000
2113,G1002,1000
2114,G0008,5
2115,G1002,1000
2116,G1002,1000
2117,G1002,1000
2118,G1002,1000
2119,G1002,1000
2120,G1002,1000
2121,G0008,5
2122,G1002,1000
2123,G1002,1000
2124,G1002,1000
2125,G1002,1000
2126,G1002,1000
2127,G1002,1000
2128,G0008,5
2129,G1002,1000
2130,G1002,1000
2131,G1002,1000
2132,G1002,1000
2133,G1002,1000
2134,G1002,1000
2135,G0008,5
2201,G1002,2000
2202,G1002,2000
2203,G1002,2000
2204,G1002,2000
2205,G1002,2000
2206,G1002,2000
2207,G0008,5
2208,G1002,2000
2209,G1002,2000
2210,G1002,2000
2211,G1002,2000
2212,G1002,2000
2213,G1002,2000
2214,G0008,5
2215,G1002,2000
2216,G1002,2000
2217,G1002,2000
2218,G1002,2000
2219,G1002,2000
2220,G1002,2000
2221,G0008,5
2222,G1002,2000
2223,G1002,2000
2224,G1002,2000
2225,G1002,2000
2226,G1002,2000
2227,G1002,2000
2228,G0008,5
2229,G1002,2000
2230,G1002,2000
2231,G1002,2000
2232,G1002,2000
2233,G1002,2000
2234,G1002,2000
2235,G0008,5
